date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	31.909	32.407	31.681	31.95	1250996	EUR	
09/11/2001 00:00	31.494	32.075	31.224	31.598	1279804	EUR	
12/11/2001 00:00	31.266	31.764	30.809	31.411	1221891	EUR	
13/11/2001 00:00	31.556	32.573	31.37	32.573	1146288	EUR	
14/11/2001 00:00	32.262	33.195	32.262	32.988	1392846	EUR	
15/11/2001 00:00	33.071	33.361	32.614	33.195	1341373	EUR	
16/11/2001 00:00	32.801	33.506	32.656	32.967	1160392	EUR	
19/11/2001 00:00	33.112	34.025	33.009	34.025	1249341	EUR	
20/11/2001 00:00	33.963	34.025	33.32	33.506	1123524	EUR	
21/11/2001 00:00	33.486	33.963	33.237	33.486	892111	EUR	
22/11/2001 00:00	33.32	33.859	33.278	33.755	855461	EUR	
23/11/2001 00:00	33.506	33.921	33.257	33.61	878307	EUR	
26/11/2001 00:00	33.423	33.984	32.469	32.469	1621725	EUR	
27/11/2001 00:00	32.843	32.988	32.054	32.116	1327964	EUR	
28/11/2001 00:00	31.784	32.407	31.701	32.116	11762367	EUR	
29/11/2001 00:00	31.909	32.137	31.743	31.93	1305325	EUR	
30/11/2001 00:00	31.95	32.884	31.639	32.884	1630858	EUR	
03/12/2001 00:00	32.428	32.697	32.158	32.697	1130790	EUR	
04/12/2001 00:00	32.531	32.884	32.054	32.718	1351988	EUR	
05/12/2001 00:00	32.78	33.486	32.282	33.486	1650268	EUR	
06/12/2001 00:00	32.946	33.569	32.407	32.78	1205017	EUR	
07/12/2001 00:00	32.843	32.843	32.096	32.49	1463055	EUR	
10/12/2001 00:00	32.531	32.677	32.137	32.677	816986	EUR	
11/12/2001 00:00	32.262	32.656	32.241	32.262	1005521	EUR	
12/12/2001 00:00	32.386	32.677	32.303	32.365	970885	EUR	
13/12/2001 00:00	32.22	32.469	32.054	32.054	2752867	EUR	
14/12/2001 00:00	31.971	32.054	31.577	31.577	910251	EUR	
17/12/2001 00:00	31.598	32.22	31.266	31.909	964471	EUR	
18/12/2001 00:00	31.639	32.345	31.639	32.158	931635	EUR	
19/12/2001 00:00	31.888	32.262	31.784	31.95	1109656	EUR	
20/12/2001 00:00	31.847	32.054	31.618	31.701	1021336	EUR	
21/12/2001 00:00	31.556	33.009	31.39	32.573	1594458	EUR	
24/12/2001 00:00	32.179	32.552	32.054	32.552	137017	EUR	
27/12/2001 00:00	32.552	33.195	32.158	33.195	1184666	EUR	
28/12/2001 00:00	33.071	33.403	32.469	32.656	1104839	EUR	
02/01/2002 00:00	32.407	33.195	32.407	33.071	869924	EUR	
03/01/2002 00:00	33.299	33.693	32.884	32.884	1347929	EUR	
04/01/2002 00:00	33.299	33.527	32.594	33.216	1483085	EUR	
07/01/2002 00:00	33.216	33.61	32.199	32.199	1653769	EUR	
08/01/2002 00:00	32.386	32.552	31.39	31.39	2521615	EUR	
09/01/2002 00:00	31.701	32.096	31.37	31.37	2124144	EUR	
10/01/2002 00:00	31.556	32.324	31.307	31.432	2343644	EUR	
11/01/2002 00:00	31.639	32.075	31.349	31.535	1385837	EUR	
14/01/2002 00:00	31.535	31.535	31.162	31.162	1341949	EUR	
15/01/2002 00:00	31.266	31.701	31.079	31.701	1242210	EUR	
16/01/2002 00:00	31.701	31.701	31.121	31.224	1152589	EUR	
17/01/2002 00:00	31.37	31.701	31.1	31.639	1135988	EUR	
18/01/2002 00:00	31.494	31.805	31.349	31.743	1268349	EUR	
21/01/2002 00:00	31.535	31.722	31.224	31.556	833933	EUR	
22/01/2002 00:00	31.535	31.909	31.287	31.701	859703	EUR	
23/01/2002 00:00	31.494	32.49	31.411	32.158	1461620	EUR	
24/01/2002 00:00	32.282	32.697	32.199	32.324	1049784	EUR	
25/01/2002 00:00	32.49	32.511	31.639	32.324	1121084	EUR	
28/01/2002 00:00	32.22	32.614	31.867	32.116	1123572	EUR	
29/01/2002 00:00	31.701	31.909	31.224	31.349	3531111	EUR	
30/01/2002 00:00	31.432	32.137	31.349	32.137	1960634	EUR	
31/01/2002 00:00	32.116	32.967	31.992	32.884	2709582	EUR	
01/02/2002 00:00	33.092	33.299	32.635	32.884	1829775	EUR	
04/02/2002 00:00	32.988	33.216	32.801	33.092	1582385	EUR	
05/02/2002 00:00	32.884	33.133	32.158	32.469	1367818	EUR	
06/02/2002 00:00	32.365	33.278	32.365	33.133	2554430	EUR	
07/02/2002 00:00	33.154	33.278	32.428	32.822	1652873	EUR	
08/02/2002 00:00	32.677	32.822	32.303	32.739	777595	EUR	
11/02/2002 00:00	32.573	33.071	32.49	32.863	1214039	EUR	
12/02/2002 00:00	32.656	33.112	32.552	32.78	1077055	EUR	
13/02/2002 00:00	32.863	33.257	32.656	33.05	1323970	EUR	
14/02/2002 00:00	32.905	33.32	32.801	33.009	1405986	EUR	
15/02/2002 00:00	32.801	33.299	32.801	33.029	812129	EUR	
18/02/2002 00:00	32.884	33.195	32.822	32.926	419448	EUR	
19/02/2002 00:00	32.843	32.946	31.971	32.282	2191677	EUR	
20/02/2002 00:00	32.096	33.112	32.096	32.905	1770414	EUR	
21/02/2002 00:00	32.988	33.195	32.988	33.092	1017065	EUR	
22/02/2002 00:00	32.967	33.195	32.905	33.175	890802	EUR	
25/02/2002 00:00	33.195	33.465	33.154	33.299	1554132	EUR	
26/02/2002 00:00	33.506	33.921	32.511	32.78	3138680	EUR	
27/02/2002 00:00	32.905	33.548	32.697	33.403	1408297	EUR	
28/02/2002 00:00	33.34	34.233	33.112	33.88	1689917	EUR	
01/03/2002 00:00	33.963	34.917	33.61	34.668	1744217	EUR	
04/03/2002 00:00	34.648	35.56	34.648	35.332	2213440	EUR	
05/03/2002 00:00	35.083	35.291	34.772	34.855	2337976	EUR	
06/03/2002 00:00	34.772	35	34.482	35	1848066	EUR	
07/03/2002 00:00	35.145	35.311	34.959	35.311	1518257	EUR	
08/03/2002 00:00	35.062	35.477	34.959	35.457	2605269	EUR	
11/03/2002 00:00	34.938	35.27	34.461	34.544	2667385	EUR	
12/03/2002 00:00	34.502	34.585	33.693	34.15	2035332	EUR	
13/03/2002 00:00	34.025	34.627	34.025	34.565	2334449	EUR	
14/03/2002 00:00	34.544	35.021	34.357	34.585	1041320	EUR	
15/03/2002 00:00	34.44	35.145	34.357	35.104	1079592	EUR	
18/03/2002 00:00	35.062	35.394	34.959	35.021	975446	EUR	
19/03/2002 00:00	34.897	35.145	34.606	34.814	977949	EUR	
20/03/2002 00:00	34.585	35.042	34.399	34.399	1591500	EUR	
21/03/2002 00:00	34.233	34.751	34.025	34.025	1392547	EUR	
22/03/2002 00:00	34.17	34.544	34.17	34.419	958978	EUR	
25/03/2002 00:00	34.44	34.959	34.357	34.648	697007	EUR	
26/03/2002 00:00	34.855	35.021	34.087	34.897	1159396	EUR	
27/03/2002 00:00	34.917	34.938	34.17	34.17	1356675	EUR	
28/03/2002 00:00	34.212	34.897	34.212	34.897	2451015	EUR	
02/04/2002 00:00	34.606	34.959	34.295	34.689	1321029	EUR	
03/04/2002 00:00	34.855	34.917	34.357	34.689	1549644	EUR	
04/04/2002 00:00	34.399	34.834	34.336	34.71	1205661	EUR	
05/04/2002 00:00	34.482	34.855	34.482	34.731	1202142	EUR	
08/04/2002 00:00	34.544	34.751	34.357	34.565	1346516	EUR	
09/04/2002 00:00	34.689	34.897	34.606	34.648	812566	EUR	
10/04/2002 00:00	34.814	35.062	34.648	35.062	1215499	EUR	
11/04/2002 00:00	34.897	35.083	34.606	34.834	1037797	EUR	
12/04/2002 00:00	34.71	34.959	34.565	34.731	890259	EUR	
