date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	13.4	14.35	13.39	14.35	3222978	EUR	
09/11/2001 00:00	13.9	14.34	13.89	13.91	1593059	EUR	
12/11/2001 00:00	0.27	0.27	0.27	0.27	2805	EUR	
13/11/2001 00:00	0.26	0.26	0.26	0.26	300	EUR	
14/11/2001 00:00	0.27	0.27	0.27	0.27	5000	EUR	
15/11/2001 00:00	14	14.12	13.41	13.69	2289116	EUR	
16/11/2001 00:00	13.65	14.2	13.32	13.98	2237454	EUR	
19/11/2001 00:00	0.28	0.28	0.28	0.28	6000	EUR	
20/11/2001 00:00	14.4	14.5	13.5	13.93	1650564	EUR	
21/11/2001 00:00	13.5	13.98	13.45	13.64	1243814	EUR	
22/11/2001 00:00	13.55	13.98	13.53	13.98	575172	EUR	
23/11/2001 00:00	13.75	13.9	13.37	13.7	1502991	EUR	
26/11/2001 00:00	0.26	0.26	0.26	0.26	750	EUR	
27/11/2001 00:00	0.26	0.26	0.26	0.26	80	EUR	
28/11/2001 00:00	13.9	14.12	13.5	13.5	1299161	EUR	
29/11/2001 00:00	13.15	13.67	13.11	13.51	2553882	EUR	
30/11/2001 00:00	13.5	13.59	13.11	13.34	3864448	EUR	
03/12/2001 00:00	13.05	13.55	13.05	13.45	932493	EUR	
04/12/2001 00:00	0.3	0.3	0.3	0.3	4500	EUR	
05/12/2001 00:00	0.3	0.3	0.3	0.3	4500	EUR	
06/12/2001 00:00	0.3	0.3	0.3	0.3	1565	EUR	
07/12/2001 00:00	14.3	14.52	13.5	13.85	2028359	EUR	
10/12/2001 00:00	14.2	14.48	13.62	13.62	1057681	EUR	
11/12/2001 00:00	0.24	0.24	0.24	0.24	2925	EUR	
12/12/2001 00:00	0.24	0.24	0.24	0.24	1450	EUR	
13/12/2001 00:00	13.7	13.88	13.35	13.38	1182564	EUR	
14/12/2001 00:00	0.22	0.22	0.22	0.22	1500	EUR	
17/12/2001 00:00	0.22	0.22	0.22	0.22	500	EUR	
18/12/2001 00:00	0.22	0.22	0.22	0.22	2500	EUR	
19/12/2001 00:00	0.25	0.25	0.25	0.25	1320	EUR	
20/12/2001 00:00	0.27	0.27	0.27	0.27	1500	EUR	
21/12/2001 00:00	13.2	13.75	13.1	13.75	769726	EUR	
24/12/2001 00:00	0.22	0.22	0.22	0.22	4000	EUR	
27/12/2001 00:00	0.21	0.21	0.21	0.21	12300	EUR	
28/12/2001 00:00	13.32	13.83	13.22	13.64	879832	EUR	
02/01/2002 00:00	0.25	0.25	0.25	0.25	2090	EUR	
