date	ouv	haut	bas	clot	vol	devise	
17/12/2004 00:00	86.1	87.75	85.5	85.77	1600	EUR	
20/12/2004 00:00	85.95	90	85.95	88.05	1876	EUR	
21/12/2004 00:00	90.75	91.98	87.51	89.85	634	EUR	
22/12/2004 00:00	88.5	90	88.5	90	99	EUR	
23/12/2004 00:00	89.94	89.94	88.53	88.53	748	EUR	
24/12/2004 00:00	88.53	88.56	86.16	86.16	183	EUR	
27/12/2004 00:00	86.16	89.67	85.5	86.28	1357	EUR	
28/12/2004 00:00	86.7	86.7	85.65	85.95	248	EUR	
29/12/2004 00:00	86.25	86.25	85.74	85.74	686	EUR	
30/12/2004 00:00	84.69	85.5	81	82.83	3973	EUR	
31/12/2004 00:00	82.29	84.45	81.36	81.63	532	EUR	
03/01/2005 00:00	82.74	86.7	82.5	83.52	2053	EUR	
04/01/2005 00:00	82.95	84.21	81.39	81.6	2414	EUR	
05/01/2005 00:00	79.47	79.47	76.5	78	2498	EUR	
06/01/2005 00:00	77.19	79.35	76.5	77.34	2854	EUR	
07/01/2005 00:00	78	80.4	78	78.9	900	EUR	
10/01/2005 00:00	78.75	78.75	76.95	77.1	643	EUR	
11/01/2005 00:00	76.8	77.4	72.9	73.2	5414	EUR	
12/01/2005 00:00	72.3	72.3	67.65	69.24	9055	EUR	
13/01/2005 00:00	71.07	77.31	71.07	77.28	4139	EUR	
14/01/2005 00:00	79.47	84	79.47	80.49	8838	EUR	
17/01/2005 00:00	82.65	84	82.2	83.94	2740	EUR	
18/01/2005 00:00	84	84.45	80.55	82.92	3807	EUR	
19/01/2005 00:00	83.49	83.49	79.8	81.75	1896	EUR	
20/01/2005 00:00	81.33	81.9	78.39	80.7	3794	EUR	
21/01/2005 00:00	81	83.07	81	82.77	1026	EUR	
24/01/2005 00:00	83.94	83.94	81.18	81.18	1839	EUR	
25/01/2005 00:00	81.75	83.7	81	83.7	2369	EUR	
26/01/2005 00:00	84.21	85.08	81.27	81.27	3346	EUR	
27/01/2005 00:00	81.75	82.59	80.46	81.18	1113	EUR	
28/01/2005 00:00	82.5	83.4	82.23	82.35	3051	EUR	
31/01/2005 00:00	83.4	84.57	82.71	82.8	3112	EUR	
01/02/2005 00:00	84.45	85.44	83.25	85.35	2982	EUR	
02/02/2005 00:00	85.65	88.35	85.41	86.88	8592	EUR	
03/02/2005 00:00	87.48	87.6	85.32	85.83	3359	EUR	
04/02/2005 00:00	85.5	86.97	84.36	86.79	2060	EUR	
07/02/2005 00:00	86.85	88.8	86.79	88.5	6261	EUR	
08/02/2005 00:00	88.62	89.79	87.6	89.07	2703	EUR	
09/02/2005 00:00	90	90.57	89.07	89.55	10896	EUR	
10/02/2005 00:00	90.6	91.2	86.58	89.7	9029	EUR	
11/02/2005 00:00	89.85	91.17	87.15	89.1	7554	EUR	
14/02/2005 00:00	90.3	90.3	89.25	90.21	6146	EUR	
15/02/2005 00:00	90.3	90.75	89.7	90	4658	EUR	
16/02/2005 00:00	89.25	90	87.12	88.5	3072	EUR	
17/02/2005 00:00	91.5	94.32	91.05	93.18	12491	EUR	
18/02/2005 00:00	91.5	93.63	90.9	91.95	3064	EUR	
21/02/2005 00:00	91.95	93.3	91.5	92.52	1534	EUR	
22/02/2005 00:00	92.46	92.46	88.5	89.97	2483	EUR	
23/02/2005 00:00	87.75	88.83	87.6	87.93	5918	EUR	
24/02/2005 00:00	88.8	90.45	87	90.45	2659	EUR	
25/02/2005 00:00	91.2	92.55	90.57	92.55	3166	EUR	
28/02/2005 00:00	94.65	98.85	94.5	95.55	13375	EUR	
01/03/2005 00:00	95.55	96.6	90.36	92.55	5989	EUR	
02/03/2005 00:00	92.85	94.98	91.08	94.65	4545	EUR	
03/03/2005 00:00	94.5	96	93.3	95.67	5710	EUR	
04/03/2005 00:00	96.75	97.59	94.8	97.2	2575	EUR	
07/03/2005 00:00	97.68	99.75	94.5	96.48	15709	EUR	
08/03/2005 00:00	95.37	95.64	88.35	90.06	21910	EUR	
09/03/2005 00:00	92.1	92.64	89.82	90.75	3935	EUR	
10/03/2005 00:00	89.85	91.2	87.03	87.3	12482	EUR	
11/03/2005 00:00	86.88	90.12	86.82	88.71	4909	EUR	
14/03/2005 00:00	89.7	89.97	87.48	88.17	2943	EUR	
15/03/2005 00:00	89.1	90	88.41	90	4098	EUR	
16/03/2005 00:00	89.4	89.73	82.5	83.64	7868	EUR	
17/03/2005 00:00	81.6	84.3	80.34	83.88	11092	EUR	
18/03/2005 00:00	84.72	84.72	82.05	82.5	6152	EUR	
21/03/2005 00:00	82.8	83.1	81.42	81.81	5743	EUR	
22/03/2005 00:00	82.5	85.05	82.2	85.05	4916	EUR	
23/03/2005 00:00	85.95	86.19	83.31	83.97	2977	EUR	
24/03/2005 00:00	81.81	82.5	79.8	80.97	9157	EUR	
29/03/2005 00:00	75.75	76.08	73.68	74.79	11429	EUR	
30/03/2005 00:00	71.07	72.27	69.78	70.14	11646	EUR	
31/03/2005 00:00	72	73.62	72	73.62	12841	EUR	
01/04/2005 00:00	75	78.3	75	76.8	7842	EUR	
04/04/2005 00:00	75	76.47	74.37	74.37	4543	EUR	
05/04/2005 00:00	73.95	75.15	73.2	73.89	7003	EUR	
06/04/2005 00:00	73.89	74.55	73.47	73.95	5089	EUR	
07/04/2005 00:00	73.8	74.55	73.23	73.23	3062	EUR	
08/04/2005 00:00	74.1	77.7	72.6	73.29	11479	EUR	
11/04/2005 00:00	73.2	73.65	70.62	71.64	6488	EUR	
12/04/2005 00:00	72.63	73.5	72.45	72.9	5212	EUR	
13/04/2005 00:00	73.65	76.2	71.7	71.7	16759	EUR	
14/04/2005 00:00	71.1	71.67	66.03	68.25	15466	EUR	
15/04/2005 00:00	65.4	66.3	63.03	65.31	16394	EUR	
18/04/2005 00:00	60	65.1	60	63.45	12280	EUR	
19/04/2005 00:00	64.2	65.46	63	65.07	11283	EUR	
20/04/2005 00:00	67.05	67.47	65.04	67.05	8067	EUR	
21/04/2005 00:00	66.03	69.45	65.7	68.37	9281	EUR	
22/04/2005 00:00	70.05	70.05	66.42	66.63	6935	EUR	
25/04/2005 00:00	66.3	68.82	64.53	64.53	8948	EUR	
26/04/2005 00:00	65.25	68.19	58.95	60	28034	EUR	
27/04/2005 00:00	59.31	61.05	54.06	55.23	21113	EUR	
28/04/2005 00:00	57	57.45	53.4	56.55	9120	EUR	
29/04/2005 00:00	54.6	56.85	53.7	54.15	12565	EUR	
02/05/2005 00:00	55.5	56.4	54.9	55.77	6915	EUR	
03/05/2005 00:00	56.37	56.37	53.55	54.06	9175	EUR	
04/05/2005 00:00	54	55.86	51.93	55.86	21692	EUR	
05/05/2005 00:00	57	58.2	52.95	56.28	66850	EUR	
06/05/2005 00:00	57.48	62.55	57.48	61.62	21782	EUR	
09/05/2005 00:00	62.7	63.27	61.65	62.04	12676	EUR	
10/05/2005 00:00	62.4	63	60.99	61.2	5008	EUR	
11/05/2005 00:00	58.8	61.68	58.8	59.88	13800	EUR	
12/05/2005 00:00	60.63	62.64	59.88	60.15	13827	EUR	
13/05/2005 00:00	59.85	59.85	55.95	56.4	11014	EUR	
16/05/2005 00:00	57.6	57.6	54.69	55.2	13449	EUR	
17/05/2005 00:00	57.69	58.98	57.06	57.33	4411	EUR	
18/05/2005 00:00	59.16	62.55	57.63	60	52196	EUR	
19/05/2005 00:00	60.6	61.35	59.7	60	5920	EUR	
20/05/2005 00:00	60.3	61.8	58.8	59.7	3912	EUR	
23/05/2005 00:00	60	60.6	58.5	58.8	12616	EUR	
24/05/2005 00:00	60.6	60.6	59.1	59.61	10214	EUR	
25/05/2005 00:00	59.61	59.61	55.65	55.95	15179	EUR	
26/05/2005 00:00	56.13	58.5	56.13	58.29	16176	EUR	
27/05/2005 00:00	59.07	61.02	58.23	60.15	12853	EUR	
30/05/2005 00:00	60.9	60.9	57	60.03	6602	EUR	
31/05/2005 00:00	59.85	61.92	59.52	60.39	9761	EUR	
01/06/2005 00:00	60.6	62.25	60.6	61.92	4580	EUR	
02/06/2005 00:00	61.8	62.4	60.6	61.8	8341	EUR	
03/06/2005 00:00	62.25	62.7	61.56	61.98	5370	EUR	
06/06/2005 00:00	61.56	62.43	60.78	61.29	3480	EUR	
07/06/2005 00:00	60.78	61.74	60	61.29	3663	EUR	
08/06/2005 00:00	60	61.59	60	61.05	2850	EUR	
09/06/2005 00:00	61.05	61.68	60.48	61.65	35111	EUR	
10/06/2005 00:00	61.65	62.28	61.56	62.22	3719	EUR	
13/06/2005 00:00	60.78	61.35	60.15	61.05	93472	EUR	
14/06/2005 00:00	60.15	60.78	58.53	60.45	47422	EUR	
15/06/2005 00:00	60.45	62.43	60.45	61.95	11490	EUR	
16/06/2005 00:00	62.49	64.5	61.23	64.41	10733	EUR	
17/06/2005 00:00	64.65	65.4	63.93	64.26	12410	EUR	
20/06/2005 00:00	64.71	65.1	63.3	63.6	4316	EUR	
21/06/2005 00:00	62.4	62.7	61.44	61.92	4072	EUR	
22/06/2005 00:00	62.1	62.25	60.75	60.99	3570	EUR	
23/06/2005 00:00	61.47	62.19	58.71	59.16	8043	EUR	
24/06/2005 00:00	59.22	59.37	57	57.45	9063	EUR	
27/06/2005 00:00	56.25	56.25	54.3	55.68	25157	EUR	
28/06/2005 00:00	56.1	58.35	56.1	58.35	7967	EUR	
29/06/2005 00:00	58.86	60.27	58.35	59.28	5023	EUR	
30/06/2005 00:00	60	60	58.89	59.28	1904	EUR	
01/07/2005 00:00	58.89	59.55	57	58.8	7703	EUR	
04/07/2005 00:00	58.65	60.87	57.9	60.87	8039	EUR	
05/07/2005 00:00	61.05	61.47	58.98	60.6	5410	EUR	
06/07/2005 00:00	60.15	61.05	59.58	60.57	1873	EUR	
07/07/2005 00:00	59.67	60.45	57.3	60.09	11584	EUR	
08/07/2005 00:00	60.27	61.95	60.12	61.5	5587	EUR	
11/07/2005 00:00	61.95	63	60.78	62.79	6039	EUR	
12/07/2005 00:00	61.8	63.45	61.11	63.3	9227	EUR	
13/07/2005 00:00	65.28	66.99	64.08	66.24	11954	EUR	
14/07/2005 00:00	67.17	67.2	64.89	67.02	5626	EUR	
15/07/2005 00:00	65.85	65.85	63.36	65.04	8068	EUR	
18/07/2005 00:00	63.03	65.97	63.03	65.13	1954	EUR	
19/07/2005 00:00	65.85	67.05	65.25	66.06	4442	EUR	
20/07/2005 00:00	66.06	68.58	66.03	68.58	6397	EUR	
21/07/2005 00:00	69	70.32	67.89	68.55	6942	EUR	
22/07/2005 00:00	70.5	73.47	70.32	72.51	9882	EUR	
25/07/2005 00:00	72.9	75	71.4	71.7	8661	EUR	
26/07/2005 00:00	70.23	71.67	70.05	70.05	6868	EUR	
27/07/2005 00:00	72.12	73.77	72	72.9	5287	EUR	
28/07/2005 00:00	73.35	73.47	72	72.9	927	EUR	
29/07/2005 00:00	73.38	74.1	71.43	72.15	6066	EUR	
01/08/2005 00:00	73.95	73.95	70.5	72	3280	EUR	
02/08/2005 00:00	72.45	73.8	72	73.8	5089	EUR	
03/08/2005 00:00	73.5	74.85	72.33	72.6	4934	EUR	
04/08/2005 00:00	72.3	73.2	69.93	70.2	10853	EUR	
05/08/2005 00:00	69.93	71.49	68.55	69.12	3866	EUR	
08/08/2005 00:00	69.48	72.57	69.15	72	6007	EUR	
09/08/2005 00:00	72.45	73.11	71.79	72.6	6424	EUR	
10/08/2005 00:00	69.3	71.25	65.7	70.38	14048	EUR	
11/08/2005 00:00	71.67	71.67	69.45	70.5	5191	EUR	
12/08/2005 00:00	70.5	71.64	70.5	71.1	34020	EUR	
15/08/2005 00:00	70.2	71.37	69.81	70.2	6235	EUR	
16/08/2005 00:00	71.55	71.61	70.74	71.34	4677	EUR	
17/08/2005 00:00	70.95	71.25	70.05	71.13	2381	EUR	
18/08/2005 00:00	69.75	71.1	69.75	70.29	589	EUR	
19/08/2005 00:00	69.75	70.8	69.66	69.9	9977	EUR	
22/08/2005 00:00	69.9	70.2	69.18	69.51	1083	EUR	
23/08/2005 00:00	69.51	71.25	69.15	69.15	3833	EUR	
24/08/2005 00:00	68.55	69	66.81	67.5	5447	EUR	
25/08/2005 00:00	66.84	68.25	66	67.98	4205	EUR	
26/08/2005 00:00	66.3	68.7	66.3	67.32	546	EUR	
29/08/2005 00:00	67.2	68.52	66.75	68.37	957	EUR	
30/08/2005 00:00	68.67	70.2	68.4	69.3	1866	EUR	
31/08/2005 00:00	70.5	70.5	67.23	68.1	6784	EUR	
01/09/2005 00:00	69.6	70.71	68.46	69.6	4353	EUR	
02/09/2005 00:00	70.2	70.62	67.8	69.9	1825	EUR	
05/09/2005 00:00	70.2	70.47	67.53	70.47	2238	EUR	
06/09/2005 00:00	70.2	70.47	69	69.45	1700	EUR	
07/09/2005 00:00	70.2	71.7	69.48	71.7	4313	EUR	
08/09/2005 00:00	70.5	71.58	70.2	71.22	2150	EUR	
09/09/2005 00:00	71.52	71.52	70.5	71.1	577	EUR	
12/09/2005 00:00	71.7	73.68	71.7	73.2	16310	EUR	
13/09/2005 00:00	72.75	73.8	72	73.23	5237	EUR	
14/09/2005 00:00	73.5	73.77	72.18	73.2	2758	EUR	
15/09/2005 00:00	72.45	74.7	72.45	74.7	5299	EUR	
16/09/2005 00:00	74.67	75.33	73.8	75.15	13261	EUR	
19/09/2005 00:00	75.24	75.75	74.16	75.21	3763	EUR	
20/09/2005 00:00	75.3	76.02	72.6	73.53	12550	EUR	
21/09/2005 00:00	72.96	74.28	72.63	74.22	2659	EUR	
22/09/2005 00:00	74.4	75.51	72.6	73.8	23358	EUR	
23/09/2005 00:00	74.07	74.4	73.65	74.04	12383	EUR	
26/09/2005 00:00	74.85	75	73.95	74.4	6430	EUR	
27/09/2005 00:00	73.95	75.15	73.95	74.1	4604	EUR	
28/09/2005 00:00	74.67	74.67	73.23	73.5	7109	EUR	
