date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	27.18	28.35	27.11	28.3	7141860	EUR	
09/11/2001 00:00	27.8	28.33	27.45	27.9	6016555	EUR	
12/11/2001 00:00	27.6	27.7	25.02	26.18	7419688	EUR	
13/11/2001 00:00	26.73	27.89	26.63	27.89	6382023	EUR	
14/11/2001 00:00	26.69	27.17	25.65	25.9	19162231	EUR	
15/11/2001 00:00	26.05	26.71	25.18	25.5	8754341	EUR	
16/11/2001 00:00	25.7	25.74	25.11	25.5	6510217	EUR	
19/11/2001 00:00	25.8	26.35	25.61	26.22	3756398	EUR	
20/11/2001 00:00	26.48	26.61	25.38	25.75	4907767	EUR	
21/11/2001 00:00	25.97	26.1	25.11	25.37	5277226	EUR	
22/11/2001 00:00	25.5	25.75	25.15	25.4	3370360	EUR	
23/11/2001 00:00	25.38	25.79	25.11	25.6	4072481	EUR	
26/11/2001 00:00	25.89	26.25	25.61	25.61	3359424	EUR	
27/11/2001 00:00	25.62	25.77	24.34	24.39	7357884	EUR	
28/11/2001 00:00	24.31	24.85	23.85	23.98	5153098	EUR	
29/11/2001 00:00	23.51	24.34	23.4	24.01	8075483	EUR	
30/11/2001 00:00	24.35	25.05	24.18	24.4	4557181	EUR	
03/12/2001 00:00	24	24.36	23.75	24.05	3169232	EUR	
04/12/2001 00:00	24.18	24.3	23.86	24.27	4012742	EUR	
05/12/2001 00:00	24.67	25.92	24.5	25.75	7866315	EUR	
06/12/2001 00:00	25.98	26.36	25.5	25.7	6195314	EUR	
07/12/2001 00:00	25.45	25.89	25.36	25.7	3141434	EUR	
10/12/2001 00:00	25.46	25.5	24.82	24.95	2774066	EUR	
11/12/2001 00:00	24.8	25.54	24.65	25.2	3808446	EUR	
12/12/2001 00:00	25.14	25.54	24.42	24.5	4647985	EUR	
13/12/2001 00:00	24.2	24.55	23.66	23.8	5890533	EUR	
14/12/2001 00:00	23.5	23.88	23.06	23.1	6654541	EUR	
17/12/2001 00:00	23.11	23.82	23	23.7	5739248	EUR	
18/12/2001 00:00	22.38	22.89	21.32	22.2	27557733	EUR	
19/12/2001 00:00	22.45	23.18	22.3	22.85	13944582	EUR	
20/12/2001 00:00	22.77	23.15	22.56	22.77	6465747	EUR	
21/12/2001 00:00	22.66	23.3	22.34	22.88	4896538	EUR	
24/12/2001 00:00	22.88	23.1	22.65	22.99	1076162	EUR	
27/12/2001 00:00	22.99	23.65	22.85	23.65	3979790	EUR	
28/12/2001 00:00	23.7	23.72	23.09	23.47	4373678	EUR	
02/01/2002 00:00	23.77	23.94	23.4	23.56	2715419	EUR	
03/01/2002 00:00	23.79	24.74	23.73	24.68	6121191	EUR	
04/01/2002 00:00	24.77	25.1	24.21	25.1	5593293	EUR	
07/01/2002 00:00	24.92	25.1	24.09	24.4	4722415	EUR	
08/01/2002 00:00	24.26	24.7	23.73	23.99	6327796	EUR	
09/01/2002 00:00	23.98	23.99	22.84	23.24	8833916	EUR	
10/01/2002 00:00	22.96	23.16	22.5	23	6960434	EUR	
11/01/2002 00:00	22.81	23.5	22.81	23.35	3965618	EUR	
14/01/2002 00:00	23.25	23.25	22.12	22.25	4864532	EUR	
15/01/2002 00:00	22.15	22.7	22.01	22.7	5068526	EUR	
16/01/2002 00:00	22.3	22.5	21.96	22.27	6313299	EUR	
17/01/2002 00:00	22.48	22.78	22.2	22.69	6657637	EUR	
18/01/2002 00:00	22.4	22.64	22.15	22.45	4090579	EUR	
21/01/2002 00:00	22.54	22.54	21.96	22.17	3515145	EUR	
22/01/2002 00:00	22.23	22.59	21.96	21.96	4539398	EUR	
23/01/2002 00:00	21.9	22.25	21.78	22	5808531	EUR	
24/01/2002 00:00	22.1	22.75	22.1	22.65	5609830	EUR	
25/01/2002 00:00	22.65	22.87	22.3	22.51	4162321	EUR	
28/01/2002 00:00	22.7	23.1	22.7	23	4443991	EUR	
29/01/2002 00:00	22.94	23.02	22.35	22.54	7564242	EUR	
30/01/2002 00:00	22.11	22.3	21.5	21.8	12262143	EUR	
31/01/2002 00:00	21.99	22.08	21.05	21.46	10832684	EUR	
01/02/2002 00:00	21.51	21.6	20.8	20.83	7990984	EUR	
04/02/2002 00:00	21.15	21.15	20.42	20.58	5211414	EUR	
05/02/2002 00:00	20.4	20.55	19.97	20.2	7414710	EUR	
06/02/2002 00:00	20.2	20.3	19.41	19.6	8916880	EUR	
07/02/2002 00:00	19.69	20.55	19.5	20.34	7462111	EUR	
08/02/2002 00:00	20.2	21.17	20.16	20.9	6090083	EUR	
11/02/2002 00:00	21.3	21.42	20.9	21.31	3974269	EUR	
12/02/2002 00:00	21.35	21.7	20.91	21.02	6719597	EUR	
13/02/2002 00:00	21.03	21.36	20.6	21.3	5450383	EUR	
14/02/2002 00:00	21.5	22.15	21.25	22	8085927	EUR	
15/02/2002 00:00	21.9	22.1	21.55	21.55	4286515	EUR	
18/02/2002 00:00	21.5	21.66	21.26	21.34	2109054	EUR	
19/02/2002 00:00	21.15	21.19	20.42	20.5	8129172	EUR	
20/02/2002 00:00	20.4	20.65	19.92	20.48	7294839	EUR	
21/02/2002 00:00	20.7	20.85	20.32	20.65	4151530	EUR	
22/02/2002 00:00	20.4	20.57	19.81	20.07	6215693	EUR	
25/02/2002 00:00	20.34	20.5	19.8	20.46	5423208	EUR	
26/02/2002 00:00	20.7	21.18	20.5	20.91	22677210	EUR	
27/02/2002 00:00	21.05	21.19	20.72	21.05	4571030	EUR	
28/02/2002 00:00	21.06	21.7	20.45	21.55	7790692	EUR	
01/03/2002 00:00	21.43	22.02	21.26	21.95	5046669	EUR	
04/03/2002 00:00	22.31	23.95	22.3	23.8	13552320	EUR	
05/03/2002 00:00	23.74	24.07	23.51	23.55	8491128	EUR	
06/03/2002 00:00	23.45	24.01	23.4	23.81	5297924	EUR	
07/03/2002 00:00	24	24.27	23.46	23.54	5265646	EUR	
08/03/2002 00:00	23.5	24.28	23.5	24.17	6216507	EUR	
11/03/2002 00:00	23.97	24.16	23.65	23.69	4417118	EUR	
12/03/2002 00:00	23.5	23.57	22.88	23.15	6773607	EUR	
13/03/2002 00:00	23.2	23.2	22.45	22.56	7580302	EUR	
14/03/2002 00:00	22.5	23.56	22.5	23.48	7816020	EUR	
15/03/2002 00:00	24.01	25.2	24	25.2	15547316	EUR	
18/03/2002 00:00	25.18	25.98	25.04	25.5	11350784	EUR	
19/03/2002 00:00	25.55	26.06	25.43	26.02	10598349	EUR	
20/03/2002 00:00	26.02	26.04	25.2	25.2	7068472	EUR	
21/03/2002 00:00	25.02	25.76	24.75	25.45	4998570	EUR	
22/03/2002 00:00	25.51	25.9	25.5	25.65	5041886	EUR	
25/03/2002 00:00	25.8	26.01	25.49	25.49	3950942	EUR	
26/03/2002 00:00	25.4	25.77	25.25	25.53	5857121	EUR	
27/03/2002 00:00	25.65	25.79	25.24	25.31	6773887	EUR	
28/03/2002 00:00	25.2	25.87	25.13	25.87	9992748	EUR	
02/04/2002 00:00	25.77	25.85	25.08	25.1	4806154	EUR	
03/04/2002 00:00	24.85	25.3	24.64	25	6925465	EUR	
04/04/2002 00:00	24.9	25.2	24.4	24.41	6735557	EUR	
05/04/2002 00:00	24.46	24.61	24.13	24.28	4371914	EUR	
08/04/2002 00:00	24.2	24.29	23.38	23.41	6956712	EUR	
09/04/2002 00:00	23.9	23.96	23.64	23.77	5742005	EUR	
10/04/2002 00:00	23.77	24.87	23.55	24.49	6610746	EUR	
11/04/2002 00:00	24.6	24.96	24.18	24.18	5457618	EUR	
12/04/2002 00:00	24.29	24.89	24.03	24.69	5471874	EUR	
15/04/2002 00:00	24.9	25.26	24.52	24.6	3524331	EUR	
16/04/2002 00:00	24.7	25.42	24.7	25.38	5228399	EUR	
17/04/2002 00:00	25.52	25.97	25.52	25.6	6089326	EUR	
18/04/2002 00:00	25.58	26.09	25.15	25.26	5076091	EUR	
19/04/2002 00:00	25	25.45	24.75	25.2	6818562	EUR	
22/04/2002 00:00	25.02	25.18	24.62	24.85	3742182	EUR	
23/04/2002 00:00	24.76	25.18	24.38	24.79	12795402	EUR	
24/04/2002 00:00	24.7	24.8	24.25	24.45	4768619	EUR	
25/04/2002 00:00	24.32	24.4	23.41	23.55	10519138	EUR	
26/04/2002 00:00	23.8	24.14	23.51	23.65	6230831	EUR	
