date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	46.96	47.54	46.67	47.33	4062989	EUR	
09/11/2001 00:00	47.06	47.35	46.75	46.96	1820171	EUR	
12/11/2001 00:00	46.96	47.06	44.98	46.07	2441147	EUR	
13/11/2001 00:00	46.41	47.23	46.38	47.14	2736808	EUR	
14/11/2001 00:00	47.38	48.74	47.38	48.19	7886742	EUR	
15/11/2001 00:00	48.58	48.89	47.91	48.42	4028094	EUR	
16/11/2001 00:00	48.55	48.55	47.64	47.87	2971935	EUR	
19/11/2001 00:00	48.06	48.52	47.8	48.19	3825696	EUR	
20/11/2001 00:00	48.4	48.4	47.45	48.21	3586274	EUR	
21/11/2001 00:00	48.32	48.4	47.96	48.38	4471531	EUR	
22/11/2001 00:00	48.42	49.08	48.21	48.93	2738608	EUR	
23/11/2001 00:00	48.98	49.08	48.21	48.28	2431275	EUR	
26/11/2001 00:00	48.48	48.79	48.4	48.59	3398586	EUR	
27/11/2001 00:00	48.79	48.79	47.77	47.96	2680091	EUR	
28/11/2001 00:00	48.01	48.28	47.48	47.7	2659447	EUR	
29/11/2001 00:00	47.62	47.89	47.16	47.87	3514836	EUR	
30/11/2001 00:00	48.11	48.11	47.41	47.62	2614804	EUR	
03/12/2001 00:00	47.38	47.67	47.12	47.28	2212730	EUR	
04/12/2001 00:00	47.38	47.57	47.14	47.43	2778166	EUR	
05/12/2001 00:00	47.64	48.74	47.64	48.74	4093576	EUR	
06/12/2001 00:00	48.69	49.23	48.4	48.84	4326249	EUR	
07/12/2001 00:00	48.5	48.84	48.5	48.69	3190781	EUR	
10/12/2001 00:00	48.3	48.52	47.96	48.01	2524812	EUR	
11/12/2001 00:00	47.96	48.58	47.8	48.4	2098044	EUR	
12/12/2001 00:00	48.59	48.59	48.01	48.11	2335353	EUR	
13/12/2001 00:00	48.35	48.5	47.14	47.14	3999249	EUR	
14/12/2001 00:00	46.92	47.7	46.67	46.67	2955466	EUR	
17/12/2001 00:00	47.09	48.28	46.7	48.28	2891117	EUR	
18/12/2001 00:00	47.99	48.69	47.77	48.45	4287076	EUR	
19/12/2001 00:00	48.52	48.64	48.01	48.38	2936122	EUR	
20/12/2001 00:00	48.32	48.58	47.8	48.01	2938172	EUR	
21/12/2001 00:00	47.72	48.59	47.62	48.58	3142210	EUR	
24/12/2001 00:00	48.59	48.59	48.32	48.55	335176	EUR	
27/12/2001 00:00	48.59	48.74	48.5	48.74	2711690	EUR	
28/12/2001 00:00	48.84	48.98	48.59	48.84	2321275	EUR	
02/01/2002 00:00	48.79	49.03	48.38	48.74	2016131	EUR	
03/01/2002 00:00	49.08	49.27	48.84	49.23	3814014	EUR	
04/01/2002 00:00	49.52	50.25	49.23	49.61	4415002	EUR	
07/01/2002 00:00	49.96	50.3	49.47	49.47	2830287	EUR	
08/01/2002 00:00	49.81	50.54	49.57	49.57	5146097	EUR	
09/01/2002 00:00	50	50.73	49.96	50.64	6016136	EUR	
10/01/2002 00:00	50.68	50.93	50	50.39	4295013	EUR	
11/01/2002 00:00	50.83	51.07	50.39	50.83	3801391	EUR	
14/01/2002 00:00	50.88	50.88	50.25	50.34	4105199	EUR	
15/01/2002 00:00	50.54	50.88	49.66	50.2	10586550	EUR	
16/01/2002 00:00	50.49	50.64	49.37	49.61	3898034	EUR	
17/01/2002 00:00	49.86	51.75	49.47	51.56	5484324	EUR	
18/01/2002 00:00	51.7	51.8	50.49	50.49	3860844	EUR	
21/01/2002 00:00	50.83	50.83	50.15	50.54	1905742	EUR	
22/01/2002 00:00	50.78	51.95	50.3	51.61	4140884	EUR	
23/01/2002 00:00	51.7	52.29	51.61	52.09	5456455	EUR	
24/01/2002 00:00	52.48	52.68	52.04	52.34	3372425	EUR	
25/01/2002 00:00	52.58	52.58	51.7	52	2881201	EUR	
28/01/2002 00:00	52.29	53.31	52.19	53.07	4218253	EUR	
