date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	33.5	35.14	33.42	34.78	1418161	EUR	
09/11/2001 00:00	35	35	34	34.29	957650	EUR	
12/11/2001 00:00	34.68	34.68	31.7	33.47	819268	EUR	
13/11/2001 00:00	33.97	34.58	33.82	34.37	1462832	EUR	
14/11/2001 00:00	34.66	36.66	34.54	36.3	2761726	EUR	
15/11/2001 00:00	37	37.5	36.78	37.32	2008314	EUR	
16/11/2001 00:00	37.17	37.49	36.5	36.99	1569665	EUR	
19/11/2001 00:00	37.4	38.48	36.81	37.82	1403655	EUR	
20/11/2001 00:00	38.46	38.55	36.43	37.21	1015823	EUR	
21/11/2001 00:00	36.7	37.5	36.3	36.55	1036766	EUR	
22/11/2001 00:00	36.5	36.7	36	36.6	818375	EUR	
23/11/2001 00:00	36.9	36.9	35.9	36.33	664651	EUR	
26/11/2001 00:00	36.94	37.03	36.35	36.45	689076	EUR	
27/11/2001 00:00	36.9	37.44	36.6	36.9	1049573	EUR	
28/11/2001 00:00	36.64	37.6	36.64	37.15	1039155	EUR	
29/11/2001 00:00	36.78	37.42	36.5	37.29	1523232	EUR	
30/11/2001 00:00	37.8	39.22	37.75	38.5	2270245	EUR	
03/12/2001 00:00	38.5	38.64	37.43	38.46	871034	EUR	
04/12/2001 00:00	38.48	39.4	38.09	39.33	1188670	EUR	
05/12/2001 00:00	39.6	40.4	39.5	40.19	1600926	EUR	
06/12/2001 00:00	40.44	40.8	40.25	40.3	1220556	EUR	
07/12/2001 00:00	40.1	40.5	39.52	40.5	856571	EUR	
10/12/2001 00:00	40.1	40.1	39.56	40.03	825194	EUR	
11/12/2001 00:00	39.6	40.09	39.45	40.05	701698	EUR	
12/12/2001 00:00	40	40.07	39.1	39.82	606710	EUR	
13/12/2001 00:00	39.32	39.6	37.85	37.96	1125822	EUR	
14/12/2001 00:00	37.7	38.34	37.54	38.15	891601	EUR	
17/12/2001 00:00	38.2	39.1	37.52	38	748323	EUR	
18/12/2001 00:00	38.2	38.35	37.6	38.07	919835	EUR	
19/12/2001 00:00	38	38.05	36.88	37.5	789370	EUR	
20/12/2001 00:00	36.98	37.7	36.12	36.25	695385	EUR	
21/12/2001 00:00	36	36.22	35.8	35.85	856716	EUR	
24/12/2001 00:00	35.9	36.04	35.81	35.92	187317	EUR	
27/12/2001 00:00	36	36.9	35.8	36.82	612207	EUR	
28/12/2001 00:00	36.99	37.1	36.13	36.8	596309	EUR	
02/01/2002 00:00	37.27	37.27	36.5	36.82	338236	EUR	
03/01/2002 00:00	37.19	38.25	36.77	38.14	916161	EUR	
04/01/2002 00:00	38.8	38.8	38.2	38.5	1054651	EUR	
07/01/2002 00:00	38.5	38.5	37.76	38	515381	EUR	
08/01/2002 00:00	37.49	38.29	37.31	38.2	1511466	EUR	
09/01/2002 00:00	38.23	38.78	37.71	38.6	821278	EUR	
10/01/2002 00:00	38	38	37	37.2	988418	EUR	
11/01/2002 00:00	37.1	37.5	36.08	36.4	876978	EUR	
14/01/2002 00:00	36.05	36.2	35.3	35.45	751241	EUR	
15/01/2002 00:00	35.35	36.38	34.75	36.31	799775	EUR	
16/01/2002 00:00	35.6	35.69	34.96	35.11	791253	EUR	
17/01/2002 00:00	35	35.6	34.7	35.06	709235	EUR	
18/01/2002 00:00	34.9	35	34.21	34.31	565544	EUR	
21/01/2002 00:00	34.31	34.39	32.97	33.15	1036681	EUR	
22/01/2002 00:00	33.45	34.48	33.33	34.2	1276152	EUR	
23/01/2002 00:00	33.5	34.42	33.5	34.41	783474	EUR	
24/01/2002 00:00	34.8	35.65	34.51	35.28	730428	EUR	
25/01/2002 00:00	35.02	35.5	34.7	34.9	1006858	EUR	
28/01/2002 00:00	34.95	35.75	34.94	35.51	499517	EUR	
29/01/2002 00:00	35.06	35.74	34.62	34.62	1895787	EUR	
30/01/2002 00:00	34.08	34.32	33.75	34.11	1144581	EUR	
31/01/2002 00:00	34.67	34.89	34.01	34.43	869241	EUR	
01/02/2002 00:00	34.1	34.84	33.86	33.86	781023	EUR	
04/02/2002 00:00	33.6	34.65	33.54	34.17	666251	EUR	
05/02/2002 00:00	33.6	33.73	32.61	32.65	1089346	EUR	
06/02/2002 00:00	32.7	33	30.88	31.01	1616156	EUR	
07/02/2002 00:00	31.32	32.05	31.05	31.69	1006526	EUR	
