date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	66.4	72.65	64.8	71.65	1430228	EUR	
09/11/2001 00:00	69.15	70.75	69.15	70.75	672253	EUR	
12/11/2001 00:00	69.8	70	64.9	65.7	708519	EUR	
13/11/2001 00:00	67.5	70.9	67.3	70	621313	EUR	
14/11/2001 00:00	72	75.5	71.55	74.55	1632945	EUR	
15/11/2001 00:00	76.2	79.15	75.35	77.6	973558	EUR	
16/11/2001 00:00	77.3	78.7	75.05	77	812251	EUR	
19/11/2001 00:00	77	82.9	77	81.75	1498166	EUR	
20/11/2001 00:00	82.8	82.8	76.2	76.6	1745991	EUR	
21/11/2001 00:00	74.1	75	72.35	73.95	820955	EUR	
22/11/2001 00:00	73.95	77.25	73.95	76	485103	EUR	
23/11/2001 00:00	75.5	76.5	72.35	72.6	912322	EUR	
26/11/2001 00:00	73.5	75.85	73.35	73.55	924383	EUR	
27/11/2001 00:00	74.4	75.75	72.25	73.1	1179502	EUR	
28/11/2001 00:00	72.55	74.2	70.1	71.5	1646102	EUR	
29/11/2001 00:00	69.95	70.6	68.6	70	1149119	EUR	
30/11/2001 00:00	71	72.8	71	71.6	684878	EUR	
03/12/2001 00:00	70.6	72.5	69.6	72.5	598288	EUR	
04/12/2001 00:00	74	78	73.8	78	1968142	EUR	
05/12/2001 00:00	80.5	89.5	80	89	2750426	EUR	
06/12/2001 00:00	90	92.5	83.6	84.6	2336820	EUR	
07/12/2001 00:00	86	86.15	82.5	84.6	470777	EUR	
10/12/2001 00:00	82.15	84.6	81.85	82.4	515215	EUR	
11/12/2001 00:00	81.9	83.5	80.4	81.15	543238	EUR	
12/12/2001 00:00	82	84	79.7	80.5	889605	EUR	
13/12/2001 00:00	79	81.5	75.75	77.1	1921264	EUR	
14/12/2001 00:00	75.4	79.6	74.3	77.4	680778	EUR	
17/12/2001 00:00	77.5	83.2	76	82.7	723120	EUR	
18/12/2001 00:00	82.7	85.35	81.65	82.9	780772	EUR	
19/12/2001 00:00	81.8	83.4	77.3	80	919636	EUR	
20/12/2001 00:00	78.6	82.4	77.95	79.05	691902	EUR	
21/12/2001 00:00	78	80.4	77.55	77.9	374446	EUR	
24/12/2001 00:00	77.65	78.55	77.3	77.9	111787	EUR	
27/12/2001 00:00	78.5	80.4	77.9	79.05	292761	EUR	
28/12/2001 00:00	79.95	81.8	78.4	81.1	697773	EUR	
02/01/2002 00:00	81	82.35	79.65	81	267748	EUR	
03/01/2002 00:00	82.9	89.4	82.2	88.05	888524	EUR	
04/01/2002 00:00	89.2	90.7	84.75	85	1557673	EUR	
07/01/2002 00:00	85	85.2	83.25	84.6	432924	EUR	
08/01/2002 00:00	84	84.95	82.2	82.6	566634	EUR	
09/01/2002 00:00	84.1	89	83.55	89	2372903	EUR	
10/01/2002 00:00	86.55	87.5	85.1	85.6	1337429	EUR	
11/01/2002 00:00	85.05	87.2	84.05	86	715983	EUR	
14/01/2002 00:00	84.5	84.8	82.55	83.1	564397	EUR	
