date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	53.437	54.831	53.251	54.181	2260074	EUR	
09/11/2001 00:00	53.902	54.181	53.344	53.344	1706540	EUR	
12/11/2001 00:00	53.019	53.53	49.813	51.16	1977223	EUR	
13/11/2001 00:00	52.229	53.763	51.857	53.484	2505728	EUR	
14/11/2001 00:00	53.066	54.041	52.973	53.623	2176556	EUR	
15/11/2001 00:00	53.948	54.785	52.833	53.437	1776905	EUR	
16/11/2001 00:00	53.066	53.716	52.973	53.251	1378496	EUR	
19/11/2001 00:00	53.856	54.46	53.344	53.809	2576749	EUR	
20/11/2001 00:00	53.902	54.227	52.787	53.577	1457484	EUR	
21/11/2001 00:00	53.856	54.599	53.484	53.716	1893315	EUR	
22/11/2001 00:00	53.902	54.32	53.716	54.088	1331717	EUR	
23/11/2001 00:00	53.995	54.367	53.53	53.809	1463392	EUR	
26/11/2001 00:00	54.367	55.621	54.181	54.645	3288366	EUR	
27/11/2001 00:00	55.203	55.714	53.159	53.159	3710817	EUR	
28/11/2001 00:00	53.066	53.577	52.694	52.973	10956102	EUR	
29/11/2001 00:00	52.322	53.716	52.322	53.577	2028204	EUR	
30/11/2001 00:00	53.716	54.274	53.159	53.763	1979812	EUR	
03/12/2001 00:00	53.159	53.809	52.787	53.809	1295708	EUR	
04/12/2001 00:00	53.856	54.831	53.484	54.831	1676145	EUR	
05/12/2001 00:00	54.924	55.575	54.041	55.296	2028357	EUR	
06/12/2001 00:00	55.296	56.458	55.157	56.458	3127949	EUR	
07/12/2001 00:00	55.854	56.783	55.389	55.528	2031484	EUR	
10/12/2001 00:00	55.668	55.807	54.831	54.878	1322351	EUR	
11/12/2001 00:00	54.599	55.25	54.274	54.553	1770961	EUR	
12/12/2001 00:00	54.367	54.692	53.159	53.344	2306517	EUR	
13/12/2001 00:00	53.53	53.716	52.601	52.973	1982488	EUR	
14/12/2001 00:00	52.508	53.251	51.857	52.043	1722297	EUR	
17/12/2001 00:00	52.415	53.716	51.718	52.973	1613733	EUR	
18/12/2001 00:00	52.88	52.973	51.625	51.857	2778317	EUR	
19/12/2001 00:00	52.043	52.74	50.882	52.043	2730835	EUR	
20/12/2001 00:00	51.579	52.369	51.253	51.718	1979536	EUR	
21/12/2001 00:00	51.3	52.88	51.114	52.554	1621035	EUR	
24/12/2001 00:00	52.136	52.554	52.09	52.508	223833	EUR	
27/12/2001 00:00	52.601	53.856	52.508	53.716	1596870	EUR	
28/12/2001 00:00	53.902	54.274	53.437	54.274	1577412	EUR	
02/01/2002 00:00	53.902	54.367	53.205	53.484	1272808	EUR	
03/01/2002 00:00	53.716	53.856	52.508	53.344	2154584	EUR	
04/01/2002 00:00	53.344	53.809	52.276	52.926	2920277	EUR	
07/01/2002 00:00	52.88	53.159	52.043	52.322	1817738	EUR	
08/01/2002 00:00	52.694	52.74	51.579	51.718	2387496	EUR	
09/01/2002 00:00	51.765	52.043	50.556	51.625	2607434	EUR	
10/01/2002 00:00	51.207	51.718	50.231	50.928	1990613	EUR	
11/01/2002 00:00	52.694	54.274	52.601	53.67	7597352	EUR	
14/01/2002 00:00	53.437	53.623	52.694	52.973	2390345	EUR	
15/01/2002 00:00	52.973	53.577	52.787	53.577	2965420	EUR	
16/01/2002 00:00	53.112	53.623	52.322	52.647	1779079	EUR	
17/01/2002 00:00	52.833	53.344	52.322	52.787	1926488	EUR	
18/01/2002 00:00	52.276	53.391	52.136	53.066	2044649	EUR	
21/01/2002 00:00	53.112	53.205	52.322	52.88	1196133	EUR	
