date	ouv	haut	bas	clot	vol	devise	
13/12/2001 00:00	15.605	15.605	15.605	15.605	0	EUR	
14/12/2001 00:00	17.156	17.203	16.479	16.479	44686585	EUR	
17/12/2001 00:00	16.62	16.827	16.498	16.827	5189870	EUR	
18/12/2001 00:00	16.723	16.817	16.507	16.639	3765099	EUR	
19/12/2001 00:00	16.479	16.639	16.451	16.582	5013320	EUR	
20/12/2001 00:00	16.479	16.573	16.46	16.479	2931795	EUR	
21/12/2001 00:00	16.46	16.874	16.46	16.874	2751235	EUR	
24/12/2001 00:00	16.836	16.874	16.601	16.733	323661	EUR	
27/12/2001 00:00	16.686	16.686	16.601	16.686	921974	EUR	
28/12/2001 00:00	16.592	16.723	16.488	16.723	679688	EUR	
02/01/2002 00:00	16.714	16.817	16.573	16.639	741147	EUR	
03/01/2002 00:00	16.686	16.723	16.601	16.667	758794	EUR	
04/01/2002 00:00	16.639	16.676	16.592	16.629	2627128	EUR	
07/01/2002 00:00	16.667	17.109	16.639	17.09	2093218	EUR	
08/01/2002 00:00	17.015	17.475	16.996	17.391	3844682	EUR	
09/01/2002 00:00	17.381	17.438	17.259	17.391	2041537	EUR	
10/01/2002 00:00	17.344	17.381	16.977	17.109	1658302	EUR	
11/01/2002 00:00	17.118	17.287	16.921	17.128	1182592	EUR	
14/01/2002 00:00	17.099	17.099	16.836	17.034	842885	EUR	
15/01/2002 00:00	16.958	17.344	16.958	17.344	1159608	EUR	
16/01/2002 00:00	17.203	17.297	17.015	17.297	2145293	EUR	
17/01/2002 00:00	17.203	17.692	17.165	17.692	3517428	EUR	
18/01/2002 00:00	17.485	17.654	17.438	17.485	1589290	EUR	
21/01/2002 00:00	17.466	17.475	17.109	17.344	1180840	EUR	
22/01/2002 00:00	17.334	17.494	17.203	17.316	1784542	EUR	
23/01/2002 00:00	17.325	17.616	17.25	17.494	1922765	EUR	
24/01/2002 00:00	17.438	17.851	17.4	17.748	3677715	EUR	
25/01/2002 00:00	17.579	17.776	17.485	17.673	1151527	EUR	
28/01/2002 00:00	17.673	17.71	17.494	17.626	1196124	EUR	
29/01/2002 00:00	17.588	17.767	17.588	17.673	1220758	EUR	
30/01/2002 00:00	17.513	17.682	17.475	17.485	799533	EUR	
31/01/2002 00:00	17.541	17.607	17.485	17.485	995963	EUR	
01/02/2002 00:00	17.494	17.579	17.325	17.41	569500	EUR	
04/02/2002 00:00	17.297	17.372	16.686	16.874	990621	EUR	
05/02/2002 00:00	16.827	16.968	16.78	16.921	954906	EUR	
06/02/2002 00:00	16.827	16.902	16.526	16.827	1883089	EUR	
07/02/2002 00:00	16.592	16.827	16.592	16.639	476701	EUR	
08/02/2002 00:00	16.733	17.344	16.658	17.024	661270	EUR	
11/02/2002 00:00	16.949	17.485	16.949	17.438	450390	EUR	
12/02/2002 00:00	17.466	17.645	17.391	17.522	1162879	EUR	
13/02/2002 00:00	17.41	18.03	17.41	18.03	2295498	EUR	
14/02/2002 00:00	17.391	18.002	17.391	17.917	1535597	EUR	
15/02/2002 00:00	17.682	17.908	17.682	17.814	691430	EUR	
18/02/2002 00:00	17.814	17.861	17.692	17.833	463865	EUR	
19/02/2002 00:00	17.767	17.814	17.344	17.391	565401	EUR	
20/02/2002 00:00	17.297	17.767	16.93	17.541	747847	EUR	
21/02/2002 00:00	17.588	17.757	17.203	17.306	525324	EUR	
22/02/2002 00:00	17.156	17.626	17.156	17.391	547722	EUR	
25/02/2002 00:00	17.391	17.72	17.344	17.663	179527	EUR	
26/02/2002 00:00	17.457	17.626	17.391	17.569	415868	EUR	
27/02/2002 00:00	17.494	17.673	17.428	17.673	445478	EUR	
28/02/2002 00:00	17.579	17.814	17.579	17.814	483758	EUR	
01/03/2002 00:00	17.729	17.917	17.72	17.908	604761	EUR	
04/03/2002 00:00	17.748	17.908	17.579	17.579	2064531	EUR	
05/03/2002 00:00	17.579	17.786	17.372	17.654	1405838	EUR	
06/03/2002 00:00	17.626	17.739	17.419	17.579	840901	EUR	
07/03/2002 00:00	17.579	17.814	17.579	17.72	563441	EUR	
08/03/2002 00:00	17.814	17.889	17.532	17.72	1058735	EUR	
11/03/2002 00:00	17.673	17.842	17.419	17.466	912342	EUR	
12/03/2002 00:00	17.532	17.673	17.475	17.485	757408	EUR	
13/03/2002 00:00	17.485	17.767	17.466	17.616	772303	EUR	
14/03/2002 00:00	17.541	17.936	17.513	17.936	934271	EUR	
15/03/2002 00:00	17.861	18.049	17.71	18.049	2342531	EUR	
18/03/2002 00:00	17.673	18.566	17.673	18.378	2496229	EUR	
19/03/2002 00:00	18.444	18.97	18.444	18.707	3852723	EUR	
20/03/2002 00:00	18.942	18.97	18.34	18.791	2472772	EUR	
21/03/2002 00:00	18.707	19.168	18.444	19.13	1956928	EUR	
22/03/2002 00:00	18.848	19.497	18.81	19.459	2114858	EUR	
