date	ouv	haut	bas	clot	vol	devise	
06/07/2005 00:00	23.2	23.2	23.2	23.2	1	EUR	
08/07/2005 00:00	27.8	28.5	27.44	28.5	45739739	EUR	
11/07/2005 00:00	28.01	28.29	27.8	27.8	10347684	EUR	
12/07/2005 00:00	27.76	27.8	27.25	27.26	6966257	EUR	
13/07/2005 00:00	27.25	27.78	27.25	27.65	4313099	EUR	
14/07/2005 00:00	27.61	27.9	27.5	27.75	1828597	EUR	
15/07/2005 00:00	27.55	27.7	27.25	27.44	1600592	EUR	
18/07/2005 00:00	27.25	27.55	27.25	27.28	1528654	EUR	
19/07/2005 00:00	27.28	27.34	27.1	27.29	2611001	EUR	
20/07/2005 00:00	27.1	27.19	26.53	26.65	4188568	EUR	
21/07/2005 00:00	26.65	27.28	26.61	27.1	2039648	EUR	
22/07/2005 00:00	27	27.03	26.61	26.7	910653	EUR	
25/07/2005 00:00	26.6	27	26.6	26.85	999072	EUR	
26/07/2005 00:00	26.83	27	26.72	26.92	971733	EUR	
27/07/2005 00:00	26.85	27.33	26.84	27.33	1579014	EUR	
28/07/2005 00:00	27.4	27.57	27.01	27.21	1369821	EUR	
29/07/2005 00:00	27.1	27.23	26.7	27.08	1026326	EUR	
01/08/2005 00:00	26.72	27.4	26.72	27	679565	EUR	
02/08/2005 00:00	26.97	27	26.69	26.75	1287552	EUR	
03/08/2005 00:00	26.59	26.8	26.5	26.67	1476794	EUR	
04/08/2005 00:00	26.53	26.98	26.52	26.98	577464	EUR	
05/08/2005 00:00	27.5	27.88	27.15	27.8	1775014	EUR	
08/08/2005 00:00	27.65	28	27.65	27.8	862777	EUR	
09/08/2005 00:00	27.9	27.97	27.46	27.97	985279	EUR	
10/08/2005 00:00	27.91	28	27.53	27.71	1125737	EUR	
11/08/2005 00:00	27.78	28.44	27.65	28.43	974637	EUR	
12/08/2005 00:00	28.42	29	28.3	28.5	1491111	EUR	
15/08/2005 00:00	28.5	28.75	28.48	28.54	865184	EUR	
16/08/2005 00:00	28.62	28.71	28.35	28.48	990301	EUR	
