date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	15.432	16.256	15.432	15.819	553688	EUR	
09/11/2001 00:00	15.819	16.057	15.66	16.057	182565	EUR	
12/11/2001 00:00	15.502	15.879	15.482	15.482	193303	EUR	
13/11/2001 00:00	15.502	15.819	15.502	15.799	204348	EUR	
14/11/2001 00:00	15.879	16.345	15.631	16.345	764711	EUR	
15/11/2001 00:00	16.315	16.365	15.78	16.365	810002	EUR	
16/11/2001 00:00	16.375	16.623	16.276	16.603	309467	EUR	
19/11/2001 00:00	16.554	16.702	16.296	16.444	315346	EUR	
20/11/2001 00:00	16.385	16.564	15.879	15.879	257601	EUR	
21/11/2001 00:00	16.177	16.544	15.899	16.355	324711	EUR	
22/11/2001 00:00	16.286	16.415	16.226	16.276	295172	EUR	
23/11/2001 00:00	16.177	16.474	15.978	16.375	184919	EUR	
26/11/2001 00:00	16.375	16.97	16.355	16.97	376324	EUR	
27/11/2001 00:00	16.673	16.921	16.375	16.921	358309	EUR	
28/11/2001 00:00	16.712	16.851	16.375	16.822	276140	EUR	
29/11/2001 00:00	16.375	16.871	16.375	16.772	328199	EUR	
30/11/2001 00:00	16.822	16.822	16.226	16.226	602910	EUR	
03/12/2001 00:00	16.256	16.722	16.226	16.554	285766	EUR	
04/12/2001 00:00	16.375	16.97	16.266	16.97	718488	EUR	
05/12/2001 00:00	16.871	17.109	16.444	16.871	622353	EUR	
06/12/2001 00:00	16.911	16.911	16.325	16.325	275737	EUR	
07/12/2001 00:00	16.603	16.722	16.028	16.216	314555	EUR	
10/12/2001 00:00	16.375	16.524	15.909	15.909	523327	EUR	
11/12/2001 00:00	16.325	16.474	15.978	16.028	605040	EUR	
12/12/2001 00:00	16.028	16.524	16.028	16.226	556521	EUR	
13/12/2001 00:00	16.127	16.425	16.077	16.266	343999	EUR	
14/12/2001 00:00	16.077	16.623	16.028	16.375	728990	EUR	
17/12/2001 00:00	16.375	16.395	15.958	15.958	720699	EUR	
18/12/2001 00:00	16.226	16.325	16.018	16.157	319156	EUR	
19/12/2001 00:00	16.256	16.454	16.127	16.395	635904	EUR	
20/12/2001 00:00	16.196	16.564	16.087	16.534	422107	EUR	
21/12/2001 00:00	16.395	16.573	16.276	16.573	161204	EUR	
24/12/2001 00:00	16.375	16.375	16.216	16.375	23837	EUR	
27/12/2001 00:00	16.375	16.573	16.276	16.573	172341	EUR	
28/12/2001 00:00	16.306	16.851	16.226	16.851	183180	EUR	
02/01/2002 00:00	16.474	16.851	16.296	16.494	127216	EUR	
03/01/2002 00:00	16.375	16.554	16.256	16.425	146107	EUR	
