date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	49.5	49.93	48.77	49.83	22863	EUR	
09/11/2001 00:00	49.73	51.3	49.43	49.67	124438	EUR	
12/11/2001 00:00	49.67	49.67	47.33	48.5	170552	EUR	
13/11/2001 00:00	48.4	51	48.4	50	109291	EUR	
14/11/2001 00:00	50	54.4	49.9	54.4	339129	EUR	
15/11/2001 00:00	55.17	55.7	53.33	55.2	137104	EUR	
16/11/2001 00:00	54.4	54.97	53.43	54.03	82528	EUR	
19/11/2001 00:00	54.67	56	53.93	55.87	135883	EUR	
20/11/2001 00:00	56	56.17	54	54	45867	EUR	
21/11/2001 00:00	54	54.73	53.9	54.17	23517	EUR	
22/11/2001 00:00	54.13	55	53.83	54.03	47556	EUR	
23/11/2001 00:00	54.97	57.27	54.53	57.27	98788	EUR	
26/11/2001 00:00	56.33	58.33	56.33	58.03	118753	EUR	
27/11/2001 00:00	58.33	58.67	56.37	56.97	187391	EUR	
28/11/2001 00:00	56.67	56.67	54.03	54.27	91246	EUR	
29/11/2001 00:00	54.33	56.93	54.27	56	59452	EUR	
30/11/2001 00:00	56.17	56.27	55.1	56	49668	EUR	
03/12/2001 00:00	55.87	56	54.6	54.97	68191	EUR	
04/12/2001 00:00	54.53	57.6	54.53	56.67	262494	EUR	
05/12/2001 00:00	56.07	60	56.07	60	154559	EUR	
06/12/2001 00:00	59.97	61.53	58.33	59.4	243329	EUR	
07/12/2001 00:00	59.8	59.8	58.83	59.27	41631	EUR	
10/12/2001 00:00	58.47	59.33	57.73	58.17	115324	EUR	
11/12/2001 00:00	58.33	58.73	57.43	58	121153	EUR	
12/12/2001 00:00	58	58.33	56.67	58.33	72643	EUR	
13/12/2001 00:00	58.33	58.33	57.1	57.67	67948	EUR	
14/12/2001 00:00	57.67	57.67	54.33	54.33	79684	EUR	
17/12/2001 00:00	57.33	57.33	54.83	56.93	219350	EUR	
18/12/2001 00:00	55.67	56.9	55.4	55.67	92539	EUR	
19/12/2001 00:00	55	55.67	54.17	54.67	156521	EUR	
20/12/2001 00:00	54.33	56.33	54.17	56.33	137812	EUR	
21/12/2001 00:00	54.33	55.33	54.23	54.83	49377	EUR	
24/12/2001 00:00	54.67	55.67	54.67	55.67	20997	EUR	
27/12/2001 00:00	56.63	56.63	55.2	56.43	104413	EUR	
28/12/2001 00:00	57.13	57.67	56.4	57.67	50695	EUR	
02/01/2002 00:00	57.67	57.67	57.1	57.2	18003	EUR	
03/01/2002 00:00	57.2	57.63	56.83	57.5	55471	EUR	
04/01/2002 00:00	57.33	60.33	57.33	60.1	156182	EUR	
07/01/2002 00:00	59.33	59.83	58.33	58.97	122635	EUR	
08/01/2002 00:00	58.97	59.13	57.37	58.67	184925	EUR	
09/01/2002 00:00	58.67	59.3	57.8	58.53	84106	EUR	
10/01/2002 00:00	58.53	59.8	58.53	59	74395	EUR	
11/01/2002 00:00	59.67	59.8	58.67	59.5	82081	EUR	
14/01/2002 00:00	58.7	59.5	58.17	58.17	42546	EUR	
15/01/2002 00:00	58.63	59.33	57.33	59.33	147520	EUR	
16/01/2002 00:00	58.17	59.47	58.17	59.33	37086	EUR	
17/01/2002 00:00	58.67	59.17	57.63	58.67	70909	EUR	
18/01/2002 00:00	57.67	60.57	57.67	60.23	221600	EUR	
21/01/2002 00:00	60	60.2	59.03	60	136177	EUR	
22/01/2002 00:00	59.93	60.2	59	60	134584	EUR	
23/01/2002 00:00	60	60	59.23	59.5	65848	EUR	
24/01/2002 00:00	58.7	59.6	57.33	57.83	123052	EUR	
25/01/2002 00:00	58	58.33	57.43	57.83	99925	EUR	
28/01/2002 00:00	58.3	58.33	57.17	57.5	22653	EUR	
29/01/2002 00:00	57.67	57.77	57.57	57.63	103432	EUR	
30/01/2002 00:00	57.67	58.93	57.2	58.93	113047	EUR	
31/01/2002 00:00	58.97	59.1	57.6	59.1	34203	EUR	
01/02/2002 00:00	57.77	59.07	57.77	58.73	16785	EUR	
04/02/2002 00:00	58.5	58.5	56.7	56.87	41244	EUR	
05/02/2002 00:00	56.83	58.13	56.83	57.07	48399	EUR	
06/02/2002 00:00	57.17	58.07	56.83	57.63	190316	EUR	
07/02/2002 00:00	56.83	57.17	56.77	57.1	51913	EUR	
08/02/2002 00:00	57.1	57.1	56.17	56.83	169475	EUR	
11/02/2002 00:00	56.1	56.67	56	56.33	54181	EUR	
12/02/2002 00:00	56.6	56.6	55.67	56.13	54025	EUR	
13/02/2002 00:00	53.9	53.9	50.4	53.33	607272	EUR	
14/02/2002 00:00	53.33	53.53	52.17	52.6	156827	EUR	
15/02/2002 00:00	52.97	53.33	52.33	52.33	101668	EUR	
18/02/2002 00:00	53.3	53.67	53.17	53.5	103831	EUR	
19/02/2002 00:00	53.33	53.73	52.5	53.5	129643	EUR	
20/02/2002 00:00	53.37	53.9	52.5	52.63	80515	EUR	
21/02/2002 00:00	52.63	54.47	52.63	53.87	63805	EUR	
22/02/2002 00:00	54	54	52.73	52.77	21996	EUR	
25/02/2002 00:00	52.63	54	52.63	54	17271	EUR	
26/02/2002 00:00	54.33	54.67	53.43	54.63	774011	EUR	
27/02/2002 00:00	54.8	54.83	53.77	54.47	23784	EUR	
28/02/2002 00:00	53.83	54.83	53.83	54.83	46140	EUR	
01/03/2002 00:00	55.13	56.33	54.17	56	162245	EUR	
04/03/2002 00:00	55.4	57	55.4	57	105376	EUR	
05/03/2002 00:00	57	57	55.07	56.4	78172	EUR	
06/03/2002 00:00	56.33	56.7	53.83	54.67	165005	EUR	
07/03/2002 00:00	54.67	56.33	54.67	56.33	269394	EUR	
08/03/2002 00:00	56.5	59.27	56.13	59.27	50500	EUR	
11/03/2002 00:00	58.67	58.67	56.5	56.67	57319	EUR	
12/03/2002 00:00	57.73	58.47	57.33	57.9	124870	EUR	
13/03/2002 00:00	57.03	57.8	55.13	56.67	84289	EUR	
14/03/2002 00:00	56.67	57.27	56.17	56.83	59095	EUR	
15/03/2002 00:00	57.33	57.33	56.23	56.83	20241	EUR	
18/03/2002 00:00	56.83	59.17	56.83	59.17	77881	EUR	
19/03/2002 00:00	58.53	59.2	57.77	58.03	68512	EUR	
20/03/2002 00:00	58.33	59.23	57.9	59.13	68752	EUR	
21/03/2002 00:00	59.27	59.27	55	55	195872	EUR	
22/03/2002 00:00	56.57	57.77	55.67	55.67	267675	EUR	
25/03/2002 00:00	55.67	56.33	54.73	55.17	161957	EUR	
26/03/2002 00:00	55.53	56.77	55.53	56.67	69811	EUR	
27/03/2002 00:00	56.67	56.83	56.03	56.67	263031	EUR	
28/03/2002 00:00	56.5	56.93	55.83	55.83	63172	EUR	
02/04/2002 00:00	56.67	56.67	55.87	56	37890	EUR	
03/04/2002 00:00	56	57	55.43	56.9	69361	EUR	
04/04/2002 00:00	56.03	56.5	55.37	55.37	71191	EUR	
05/04/2002 00:00	55.33	55.97	55.03	55.67	30351	EUR	
08/04/2002 00:00	55.67	55.8	55	55.33	45468	EUR	
09/04/2002 00:00	56	56.33	55.4	55.83	145213	EUR	
10/04/2002 00:00	56	57.13	55.5	57.13	14481	EUR	
11/04/2002 00:00	57.33	58.1	56.2	57.9	102016	EUR	
12/04/2002 00:00	57.83	57.83	56.67	57.77	47616	EUR	
15/04/2002 00:00	57.33	57.83	57.33	57.8	46896	EUR	
16/04/2002 00:00	57	57.77	56.93	56.93	57040	EUR	
17/04/2002 00:00	57.5	57.5	56.1	56.2	80695	EUR	
18/04/2002 00:00	56	56.67	56	56.53	52282	EUR	
19/04/2002 00:00	56.33	56.93	56.33	56.73	60355	EUR	
22/04/2002 00:00	56.03	56.67	56.03	56.6	21939	EUR	
23/04/2002 00:00	56.67	56.67	56	56.4	14991	EUR	
24/04/2002 00:00	56.03	56.6	54.2	54.2	147913	EUR	
25/04/2002 00:00	54.1	56.13	54.1	55.53	101602	EUR	
26/04/2002 00:00	55.67	56.67	55.67	56.63	74332	EUR	
29/04/2002 00:00	56	56.67	55.83	56.67	39156	EUR	
30/04/2002 00:00	56.67	57.17	56.33	57.1	141472	EUR	
02/05/2002 00:00	57.07	57.6	57.07	57.5	62653	EUR	
03/05/2002 00:00	56.9	57.8	56.9	57.33	87892	EUR	
06/05/2002 00:00	57.8	57.8	56.07	56.97	35793	EUR	
07/05/2002 00:00	56.5	56.67	55.6	55.83	52150	EUR	
08/05/2002 00:00	55.87	57.83	55.87	57.17	45342	EUR	
09/05/2002 00:00	57.17	57.67	56.67	57.17	10551	EUR	
10/05/2002 00:00	57.63	57.63	55.7	57.1	35520	EUR	
13/05/2002 00:00	57.1	57.1	56.33	56.67	27921	EUR	
14/05/2002 00:00	56.83	58.17	56.83	58.13	103525	EUR	
15/05/2002 00:00	57.83	58.17	57.33	58.17	35919	EUR	
16/05/2002 00:00	58.17	58.47	57.67	58	50428	EUR	
17/05/2002 00:00	58.33	58.33	57.67	57.67	27594	EUR	
20/05/2002 00:00	57.67	58	57.17	57.67	18522	EUR	
21/05/2002 00:00	56.73	58.17	56.73	57.83	402169	EUR	
22/05/2002 00:00	57.93	57.93	56.83	57.43	21495	EUR	
23/05/2002 00:00	57	58	56.83	58	55474	EUR	
24/05/2002 00:00	57.5	58.67	57.37	58.33	36411	EUR	
27/05/2002 00:00	58.33	58.6	58.33	58.47	210650	EUR	
28/05/2002 00:00	58.57	59.47	58.43	59	126373	EUR	
29/05/2002 00:00	59	59.37	58.5	58.5	385519	EUR	
30/05/2002 00:00	58.5	59.13	58.33	58.37	43992	EUR	
31/05/2002 00:00	58.83	58.83	57.87	58.33	97798	EUR	
03/06/2002 00:00	58.67	58.67	57	58.4	22191	EUR	
04/06/2002 00:00	57.33	57.83	56.7	56.93	59944	EUR	
05/06/2002 00:00	57.97	57.97	56.63	57.83	73951	EUR	
06/06/2002 00:00	57.63	57.93	57.33	57.67	47244	EUR	
07/06/2002 00:00	56.83	57.6	55.53	57.3	85159	EUR	
10/06/2002 00:00	56.7	57.33	56.67	56.67	18633	EUR	
11/06/2002 00:00	56.67	57.93	56.5	57.53	51502	EUR	
12/06/2002 00:00	57.03	57.67	55.63	55.63	101668	EUR	
13/06/2002 00:00	55.73	56.63	55.43	55.5	43521	EUR	
14/06/2002 00:00	55.33	56	53.93	54.57	334458	EUR	
17/06/2002 00:00	55.33	55.33	53.53	54.77	155213	EUR	
18/06/2002 00:00	55	55.43	54.17	54.9	137356	EUR	
19/06/2002 00:00	54.9	54.9	53.67	53.8	42204	EUR	
20/06/2002 00:00	53.67	54	52.9	52.9	83671	EUR	
21/06/2002 00:00	52.87	53.6	52.33	52.7	66286	EUR	
24/06/2002 00:00	53.33	53.33	51.17	51.67	76360	EUR	
25/06/2002 00:00	51.33	53.33	51.33	53.33	57832	EUR	
26/06/2002 00:00	51.5	52.93	51.17	52.93	64060	EUR	
27/06/2002 00:00	52.13	53.33	51.83	52.83	43605	EUR	
28/06/2002 00:00	53.17	53.77	52.03	53.3	63694	EUR	
01/07/2002 00:00	54	54	53.2	53.53	38313	EUR	
02/07/2002 00:00	53.2	53.67	53	53.1	116437	EUR	
03/07/2002 00:00	52.73	52.9	51.33	51.33	45876	EUR	
04/07/2002 00:00	52.33	52.33	51	51.33	36603	EUR	
05/07/2002 00:00	52.33	52.43	51.33	52	64330	EUR	
08/07/2002 00:00	51.07	52.13	51.07	51.77	35202	EUR	
09/07/2002 00:00	51.77	52.8	51.77	52.43	24183	EUR	
10/07/2002 00:00	53.2	53.2	50	50.03	119959	EUR	
11/07/2002 00:00	49.17	51	48.33	49.23	133462	EUR	
12/07/2002 00:00	50.67	51.17	48.33	49.33	118969	EUR	
15/07/2002 00:00	50	50	47.9	48	95104	EUR	
16/07/2002 00:00	48	49.67	47.53	48.33	66049	EUR	
17/07/2002 00:00	48.33	49.97	48	49.5	84886	EUR	
18/07/2002 00:00	50	51.67	49.33	51.67	90412	EUR	
19/07/2002 00:00	51.3	51.97	49.67	51	56002	EUR	
22/07/2002 00:00	49.2	50.93	48.5	48.5	87859	EUR	
23/07/2002 00:00	48.4	49.9	48	48	55813	EUR	
24/07/2002 00:00	47.73	48.27	45.67	47.73	176387	EUR	
25/07/2002 00:00	49	51	47.4	47.43	77413	EUR	
26/07/2002 00:00	49	49.67	47.27	48.17	108637	EUR	
29/07/2002 00:00	48.83	49.83	48	49.6	140596	EUR	
30/07/2002 00:00	49.63	49.67	48.27	48.9	45885	EUR	
31/07/2002 00:00	47.67	49	47.67	48.5	102553	EUR	
01/08/2002 00:00	49	49	47	47.03	73333	EUR	
02/08/2002 00:00	46.5	48.3	46.5	46.7	55906	EUR	
05/08/2002 00:00	47.6	48.13	46.37	48.13	278082	EUR	
06/08/2002 00:00	46.67	46.77	45.23	46.4	185348	EUR	
07/08/2002 00:00	46.6	47.17	45.1	46	237068	EUR	
08/08/2002 00:00	46.03	46.97	45.07	45.07	188549	EUR	
09/08/2002 00:00	46.6	46.6	44.33	45.93	276108	EUR	
12/08/2002 00:00	46	46	44.2	44.67	296793	EUR	
13/08/2002 00:00	45.83	45.83	44.67	45	87043	EUR	
14/08/2002 00:00	44.33	45.63	44.33	45.3	26637	EUR	
15/08/2002 00:00	46	47	45.33	45.5	37662	EUR	
16/08/2002 00:00	46.3	46.3	45.37	45.5	51370	EUR	
19/08/2002 00:00	45.83	46.43	45.5	45.67	42015	EUR	
20/08/2002 00:00	46.97	47.13	46.6	46.7	31278	EUR	
21/08/2002 00:00	46.7	48.4	46.7	47.27	48807	EUR	
22/08/2002 00:00	47.43	49	47.4	48.53	48912	EUR	
23/08/2002 00:00	48.97	48.97	47.67	47.73	30465	EUR	
26/08/2002 00:00	48.97	48.97	47.43	47.67	28125	EUR	
27/08/2002 00:00	47.67	48.3	47.37	48.2	178364	EUR	
28/08/2002 00:00	48.2	48.57	47.73	47.97	713119	EUR	
29/08/2002 00:00	48	48.3	47.4	48	61846	EUR	
