date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	122.874	126.267	122.599	124.433	476178	EUR	
09/11/2001 00:00	123.974	125.35	123.424	123.791	578490	EUR	
12/11/2001 00:00	122.14	122.14	117.556	119.206	632492	EUR	
13/11/2001 00:00	120.49	122.782	120.49	122.691	462370	EUR	
14/11/2001 00:00	121.957	125.442	121.957	124.158	502599	EUR	
15/11/2001 00:00	125.258	130.485	124.708	129.293	1254929	EUR	
16/11/2001 00:00	129.293	131.952	128.559	131.127	859265	EUR	
19/11/2001 00:00	132.686	138.646	131.769	137.546	775161	EUR	
20/11/2001 00:00	140.021	140.572	134.886	136.904	810288	EUR	
21/11/2001 00:00	136.17	136.72	135.07	136.262	452580	EUR	
22/11/2001 00:00	134.978	139.196	134.978	137.27	382437	EUR	
23/11/2001 00:00	137.27	137.27	133.969	135.895	326967	EUR	
26/11/2001 00:00	137.362	137.546	131.585	131.585	617653	EUR	
27/11/2001 00:00	133.236	134.52	131.677	132.777	521399	EUR	
28/11/2001 00:00	132.044	133.878	131.86	132.227	1656167	EUR	
29/11/2001 00:00	131.585	135.07	130.852	133.052	466344	EUR	
30/11/2001 00:00	134.52	135.436	133.236	134.703	588942	EUR	
03/12/2001 00:00	133.236	134.336	131.769	133.603	342520	EUR	
04/12/2001 00:00	134.336	139.379	133.603	138.829	848584	EUR	
05/12/2001 00:00	140.113	141.305	138.462	139.746	612211	EUR	
06/12/2001 00:00	141.122	143.873	139.838	142.681	656171	EUR	
07/12/2001 00:00	142.314	143.506	140.48	142.039	247332	EUR	
10/12/2001 00:00	140.938	142.864	140.296	140.755	234255	EUR	
11/12/2001 00:00	140.388	142.314	138.279	138.921	275707	EUR	
12/12/2001 00:00	140.296	141.488	138.187	139.379	242864	EUR	
13/12/2001 00:00	140.113	141.03	135.436	136.812	500624	EUR	
14/12/2001 00:00	135.62	135.62	131.585	132.044	561100	EUR	
17/12/2001 00:00	133.603	134.061	131.677	132.869	361873	EUR	
18/12/2001 00:00	133.603	136.904	132.502	133.878	431588	EUR	
19/12/2001 00:00	132.227	133.878	128.743	130.393	835086	EUR	
20/12/2001 00:00	130.393	131.585	128.376	129.293	434305	EUR	
21/12/2001 00:00	128.101	131.952	128.101	129.293	373350	EUR	
24/12/2001 00:00	128.101	130.577	128.009	129.568	47983	EUR	
27/12/2001 00:00	128.651	133.327	128.559	132.869	321356	EUR	
28/12/2001 00:00	133.878	134.428	131.127	132.594	363941	EUR	
