date	ouv	haut	bas	clot	vol	devise	
05/04/2006 00:00	19.75	19.75	19.75	19.75	0	EUR	
07/04/2006 00:00	24	24.3	22.81	23.22	18686826	EUR	
10/04/2006 00:00	23.9	23.94	22.52	23.07	3397581	EUR	
11/04/2006 00:00	23.29	23.29	22.5	22.5	1706141	EUR	
12/04/2006 00:00	22.52	23.2	22.11	23.2	2491148	EUR	
13/04/2006 00:00	23.45	23.46	22.56	22.99	827982	EUR	
18/04/2006 00:00	23.37	23.37	22.9	22.9	775003	EUR	
19/04/2006 00:00	23.08	23.2	22.93	23.1	1003250	EUR	
20/04/2006 00:00	23.2	23.5	23	23.5	729609	EUR	
21/04/2006 00:00	23.5	23.7	22.92	23	800760	EUR	
24/04/2006 00:00	23	23.05	22.9	23	917858	EUR	
25/04/2006 00:00	23.02	23.7	22.96	23.6	1169239	EUR	
26/04/2006 00:00	23.68	23.75	23.35	23.75	398160	EUR	
27/04/2006 00:00	23.75	23.76	23.3	23.35	763525	EUR	
28/04/2006 00:00	23.45	23.45	23.08	23.2	1150591	EUR	
02/05/2006 00:00	23.1	24	23.1	24	501897	EUR	
03/05/2006 00:00	23.75	25.75	23.66	25	1490409	EUR	
04/05/2006 00:00	25.25	25.4	24.51	25	436066	EUR	
05/05/2006 00:00	24.88	25.32	24.65	25.32	465447	EUR	
08/05/2006 00:00	25.4	25.4	24.51	25.3	218112	EUR	
09/05/2006 00:00	25.31	25.45	25	25.3	761385	EUR	
10/05/2006 00:00	25.29	26.06	25	25.99	503578	EUR	
11/05/2006 00:00	26	26.1	25.71	25.75	436592	EUR	
12/05/2006 00:00	25.75	25.85	24.91	25	840981	EUR	
15/05/2006 00:00	25.46	25.46	24.5	24.5	1391802	EUR	
16/05/2006 00:00	25	25.05	24.11	24.7	479946	EUR	
17/05/2006 00:00	25	25.15	24.1	24.14	529898	EUR	
18/05/2006 00:00	24	24.1	22.95	23	1562151	EUR	
19/05/2006 00:00	22.95	23.4	22.9	23.1	598064	EUR	
22/05/2006 00:00	23.18	23.19	22.63	22.63	658806	EUR	
23/05/2006 00:00	22.62	24	22.62	23.6	518358	EUR	
24/05/2006 00:00	23.8	23.91	23.07	23.8	437771	EUR	
25/05/2006 00:00	23.9	23.9	23.5	23.57	344347	EUR	
26/05/2006 00:00	23.7	23.8	23.45	23.7	94285	EUR	
29/05/2006 00:00	23.7	23.7	23.42	23.42	133456	EUR	
30/05/2006 00:00	23.41	23.67	22.81	22.8	280151	EUR	
31/05/2006 00:00	22.63	23.25	22.5	22.83	612098	EUR	
01/06/2006 00:00	23.5	23.5	22.59	22.75	192113	EUR	
02/06/2006 00:00	22.65	23	22.61	22.63	226371	EUR	
05/06/2006 00:00	22.7	22.95	22.7	22.8	52629	EUR	
06/06/2006 00:00	22.57	22.69	22.22	22.39	757437	EUR	
07/06/2006 00:00	22.24	22.6	21.9	21.97	380998	EUR	
08/06/2006 00:00	21.75	21.77	20.81	20.81	990991	EUR	
09/06/2006 00:00	21	21.42	20.95	21.34	366538	EUR	
12/06/2006 00:00	21.5	21.7	21.1	21.2	268798	EUR	
13/06/2006 00:00	21	21.95	20.59	21.3	591748	EUR	
14/06/2006 00:00	21.3	21.5	20.7	20.85	466678	EUR	
15/06/2006 00:00	21.16	21.75	21	21.65	459609	EUR	
16/06/2006 00:00	22	22.59	21.56	21.75	331767	EUR	
19/06/2006 00:00	22.1	22.1	21.44	21.44	185779	EUR	
20/06/2006 00:00	21.28	21.8	21.28	21.5	137648	EUR	
21/06/2006 00:00	21.85	21.85	21.05	21.06	144180	EUR	
22/06/2006 00:00	21.49	21.55	20.87	21.55	355617	EUR	
23/06/2006 00:00	21.51	21.59	21	21.23	289107	EUR	
26/06/2006 00:00	21.44	22.15	21.3	21.73	322601	EUR	
27/06/2006 00:00	21.81	22.08	21.77	22	542973	EUR	
28/06/2006 00:00	21.81	22.05	21.81	21.85	325038	EUR	
29/06/2006 00:00	21.8	22.09	21.8	22.05	282258	EUR	
30/06/2006 00:00	22.13	22.24	21.96	22	545000	EUR	
03/07/2006 00:00	22.25	22.25	21.8	21.9	345415	EUR	
