date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	79.4	80.9	78.75	79.7	1071817	EUR	
09/11/2001 00:00	78.2	80.25	77.2	77.55	947354	EUR	
12/11/2001 00:00	77.75	78	75.05	75.7	953088	EUR	
13/11/2001 00:00	77	78	75.8	77.5	956100	EUR	
14/11/2001 00:00	78.1	79	75.45	76.2	1628927	EUR	
15/11/2001 00:00	76.8	78	75.1	76.45	1219945	EUR	
16/11/2001 00:00	76.65	77.3	74.9	75.45	901610	EUR	
19/11/2001 00:00	76.4	78.25	76	77.35	797270	EUR	
20/11/2001 00:00	78.5	78.8	76	76.15	799514	EUR	
21/11/2001 00:00	76.95	78.25	76.35	77.75	964629	EUR	
22/11/2001 00:00	78	78.15	76.55	77	526138	EUR	
23/11/2001 00:00	77.5	77.9	75.5	75.5	954109	EUR	
26/11/2001 00:00	76.8	77.3	74.2	74.2	1576443	EUR	
27/11/2001 00:00	75.45	76.7	74.7	75.15	1280730	EUR	
28/11/2001 00:00	75	75.9	74.05	74.05	1209830	EUR	
29/11/2001 00:00	74.15	75.45	73.8	75.2	1501118	EUR	
30/11/2001 00:00	76.1	77.25	75.5	76.85	1973379	EUR	
03/12/2001 00:00	75.85	76.95	75.2	76.95	826179	EUR	
04/12/2001 00:00	76.15	77.95	76.1	77.95	1293888	EUR	
05/12/2001 00:00	78.15	79.2	77.25	78.9	1254497	EUR	
06/12/2001 00:00	79.7	80.35	77.5	79.6	1422241	EUR	
07/12/2001 00:00	78.55	79.75	77.9	79.75	1081017	EUR	
10/12/2001 00:00	79	79	77.25	78.6	564404	EUR	
11/12/2001 00:00	78.6	79.25	77.3	79.25	810163	EUR	
12/12/2001 00:00	79	79.6	77.6	77.65	848342	EUR	
13/12/2001 00:00	77.7	78	76.55	77.25	897723	EUR	
14/12/2001 00:00	76.55	77.4	74.85	74.9	1280199	EUR	
17/12/2001 00:00	75.35	77.1	74.2	77	736695	EUR	
18/12/2001 00:00	77.1	78.55	76.1	77.2	810616	EUR	
19/12/2001 00:00	77	78.9	77	77.7	954929	EUR	
20/12/2001 00:00	77.05	77.9	76.2	76.6	810895	EUR	
21/12/2001 00:00	75.55	79.3	75.55	78.6	928201	EUR	
24/12/2001 00:00	78.3	79.35	78	78.9	157701	EUR	
27/12/2001 00:00	79.5	80	78.9	79.95	543255	EUR	
28/12/2001 00:00	80	81	79.8	80.9	978924	EUR	
02/01/2002 00:00	80.95	80.95	77.8	77.8	614389	EUR	
03/01/2002 00:00	78.75	80.35	77.45	80	890740	EUR	
04/01/2002 00:00	80.4	81.9	79.4	79.4	1187394	EUR	
07/01/2002 00:00	79.15	80.95	78.9	79.7	659170	EUR	
08/01/2002 00:00	79.15	79.4	76.6	76.75	1452111	EUR	
09/01/2002 00:00	77.35	78.85	76.6	78.45	1022916	EUR	
10/01/2002 00:00	78	78.45	76	76.05	1163164	EUR	
11/01/2002 00:00	76.25	77.1	75.8	76.9	803709	EUR	
14/01/2002 00:00	76.2	76.65	75.2	75.2	864059	EUR	
15/01/2002 00:00	75.15	77.65	75.15	77.5	1145563	EUR	
16/01/2002 00:00	76.85	77.05	75.5	76	1005320	EUR	
17/01/2002 00:00	76.3	77.8	75.9	77.75	1103184	EUR	
18/01/2002 00:00	76.9	77.35	76.1	76.45	784631	EUR	
21/01/2002 00:00	76.45	77.5	75.5	77.25	828096	EUR	
22/01/2002 00:00	76.95	78.5	76.65	77.75	690152	EUR	
23/01/2002 00:00	76.9	79.35	76.8	78.2	1313842	EUR	
24/01/2002 00:00	78.9	80.4	78.6	79.55	961616	EUR	
25/01/2002 00:00	79.65	79.8	77.45	78.3	948533	EUR	
28/01/2002 00:00	78.6	80.45	78.2	78.4	724481	EUR	
29/01/2002 00:00	78.5	79.3	77.5	77.5	1666500	EUR	
30/01/2002 00:00	77.15	79.3	76.6	78.55	1457337	EUR	
31/01/2002 00:00	79.7	79.7	77.5	78.8	1534433	EUR	
01/02/2002 00:00	79	79.95	78.2	78.3	698768	EUR	
04/02/2002 00:00	78.9	78.9	77.6	78	862885	EUR	
05/02/2002 00:00	77.3	77.8	75.8	76.9	1064338	EUR	
06/02/2002 00:00	76.7	77.4	75.6	76	1243927	EUR	
07/02/2002 00:00	76	77.4	75.35	76.3	1097254	EUR	
08/02/2002 00:00	76.65	77.3	75.7	76.2	713850	EUR	
11/02/2002 00:00	76.5	77.2	76.3	76.75	556073	EUR	
12/02/2002 00:00	77.3	77.5	75.75	76.85	840746	EUR	
13/02/2002 00:00	76.7	77.45	76.05	77.3	632681	EUR	
14/02/2002 00:00	77.3	78.3	76.35	78.15	901430	EUR	
15/02/2002 00:00	77.2	78.35	76.75	76.85	778750	EUR	
18/02/2002 00:00	76.5	77.3	76.2	76.9	353564	EUR	
19/02/2002 00:00	76.3	77.8	76.1	76.75	2487039	EUR	
20/02/2002 00:00	76.8	78.1	76.6	76.7	1073659	EUR	
21/02/2002 00:00	76.9	77.65	76.4	77.45	1043474	EUR	
22/02/2002 00:00	76.75	77.1	75.65	76.35	974448	EUR	
25/02/2002 00:00	77	77.25	75.45	77.1	1190671	EUR	
26/02/2002 00:00	77.4	78.65	77.15	77.3	5794708	EUR	
27/02/2002 00:00	78	79.3	77.95	79.3	863786	EUR	
28/02/2002 00:00	79	80.9	78.7	80.8	1613233	EUR	
01/03/2002 00:00	80.2	81	79.7	80.5	1105985	EUR	
04/03/2002 00:00	81.05	83.1	80.75	80.75	1593045	EUR	
05/03/2002 00:00	80.75	81.45	79.4	79.65	1338889	EUR	
06/03/2002 00:00	79.6	81.75	79.25	80.8	1187250	EUR	
07/03/2002 00:00	82	82.5	80.6	81.1	1240491	EUR	
08/03/2002 00:00	80.55	82.4	80.55	81.65	1295062	EUR	
11/03/2002 00:00	81	82.55	80.9	81.2	1181334	EUR	
12/03/2002 00:00	81.05	82.35	80.7	82.25	1231074	EUR	
13/03/2002 00:00	81.5	82.45	80.4	81.15	1236631	EUR	
14/03/2002 00:00	81.5	82.8	81.3	82.1	667584	EUR	
15/03/2002 00:00	81.8	82.7	81.4	82.5	842920	EUR	
18/03/2002 00:00	82.8	83.8	82.45	83.55	799265	EUR	
19/03/2002 00:00	83.75	85.2	83.2	84.35	1289705	EUR	
20/03/2002 00:00	84.15	84.75	82.2	82.2	1436372	EUR	
21/03/2002 00:00	82	83.9	81.9	81.9	906365	EUR	
22/03/2002 00:00	82.4	83	80.8	82.1	1051838	EUR	
25/03/2002 00:00	81.85	83.6	81	81.35	783767	EUR	
26/03/2002 00:00	81.8	83.4	81.1	83.05	909771	EUR	
27/03/2002 00:00	83.55	83.55	81.55	82.1	1798330	EUR	
28/03/2002 00:00	82.6	85.1	82.15	84.75	3064057	EUR	
02/04/2002 00:00	84.2	84.6	81.55	81.65	1488752	EUR	
03/04/2002 00:00	82.1	82.2	81	82.1	1431264	EUR	
04/04/2002 00:00	83.1	84.5	82.2	82.35	1986487	EUR	
05/04/2002 00:00	82.9	84.9	82.1	84	1440661	EUR	
08/04/2002 00:00	84.75	84.75	82.4	82.45	962827	EUR	
09/04/2002 00:00	82.85	84.85	82.75	84.35	1109044	EUR	
10/04/2002 00:00	84.2	87.25	83.7	87	1405761	EUR	
11/04/2002 00:00	87.9	87.9	84.8	85.1	1106569	EUR	
12/04/2002 00:00	85.4	86.6	84.85	86.55	1298294	EUR	
15/04/2002 00:00	86.6	86.7	85.1	85.5	886823	EUR	
16/04/2002 00:00	85.5	86.65	85.45	86.25	1291884	EUR	
17/04/2002 00:00	86.8	87.05	85.75	85.75	801012	EUR	
18/04/2002 00:00	86.15	87.8	86	86.55	1099850	EUR	
19/04/2002 00:00	86.45	87.45	85.8	87	577951	EUR	
22/04/2002 00:00	87	87.4	86.05	87.35	814341	EUR	
23/04/2002 00:00	86.95	87.85	85.15	86.4	1000623	EUR	
24/04/2002 00:00	86.8	87	85.65	86.3	913590	EUR	
