date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	41.95	43.27	41.51	43.23	2469368	EUR	
09/11/2001 00:00	41.76	43.1	41.76	42.09	1792269	EUR	
12/11/2001 00:00	40	40.78	38.3	40.78	5328984	EUR	
13/11/2001 00:00	40.51	44.1	40.51	43.59	3501648	EUR	
14/11/2001 00:00	43.59	46.2	43.59	46.2	3138362	EUR	
15/11/2001 00:00	45.85	47.74	45.85	46.8	1947783	EUR	
16/11/2001 00:00	46.95	47	44.81	45.8	1800624	EUR	
19/11/2001 00:00	46.2	50	45.81	49.3	1850333	EUR	
20/11/2001 00:00	49.75	49.75	46.34	47.3	1962802	EUR	
21/11/2001 00:00	46.83	47.94	46.04	46.05	4467779	EUR	
22/11/2001 00:00	46	47.6	45.93	47.09	773488	EUR	
23/11/2001 00:00	47.31	47.61	45.85	46.4	1333374	EUR	
26/11/2001 00:00	46.9	47.47	46.85	47.42	1608778	EUR	
27/11/2001 00:00	47.65	47.69	45.8	46.09	1272122	EUR	
28/11/2001 00:00	45.25	46.1	43.7	44.1	1743460	EUR	
29/11/2001 00:00	43.95	44.8	43.25	43.56	1875778	EUR	
30/11/2001 00:00	43.7	45.69	43.7	45.33	2648358	EUR	
03/12/2001 00:00	45	45.1	43.01	44.1	1400502	EUR	
04/12/2001 00:00	43.64	44.68	43.62	44.68	803148	EUR	
05/12/2001 00:00	45.55	49.45	45.22	48.4	1961839	EUR	
06/12/2001 00:00	49.25	49.5	48.31	49.17	1815385	EUR	
07/12/2001 00:00	48.71	50.15	48.71	49.65	1178723	EUR	
10/12/2001 00:00	48.51	48.99	47.2	47.5	1240655	EUR	
11/12/2001 00:00	47.98	48.25	46.5	47.9	1278073	EUR	
12/12/2001 00:00	48.69	48.97	47.15	47.15	841702	EUR	
13/12/2001 00:00	47.5	47.75	44.8	45.69	2279482	EUR	
14/12/2001 00:00	44.65	44.8	43.33	43.7	1417602	EUR	
17/12/2001 00:00	43.8	45.83	43.11	45.83	975381	EUR	
18/12/2001 00:00	45.1	46.4	44.62	44.85	1663626	EUR	
19/12/2001 00:00	45	45.55	44.01	44.85	749898	EUR	
20/12/2001 00:00	43.76	44.59	43.5	44.25	1001184	EUR	
21/12/2001 00:00	43.2	44.1	42.75	43.62	1242182	EUR	
24/12/2001 00:00	43.62	44.95	43.51	44.27	169825	EUR	
27/12/2001 00:00	44.3	45.4	44.25	44.92	1202159	EUR	
28/12/2001 00:00	45.5	46.2	45.16	45.7	900405	EUR	
02/01/2002 00:00	45.68	47.23	45.37	46.6	888681	EUR	
03/01/2002 00:00	47.5	48.75	47.22	48.16	1440337	EUR	
04/01/2002 00:00	48.18	49.88	48.18	49.27	2540557	EUR	
07/01/2002 00:00	49.3	49.66	48.34	48.65	1238131	EUR	
08/01/2002 00:00	47.7	48.1	46.45	47.25	2489086	EUR	
09/01/2002 00:00	47.06	47.6	46.44	47.58	1133471	EUR	
10/01/2002 00:00	46	46.8	45.32	45.9	2016232	EUR	
11/01/2002 00:00	45.72	46.28	45	45.35	1435885	EUR	
14/01/2002 00:00	45.39	45.48	44.71	45	961612	EUR	
15/01/2002 00:00	44.9	46.19	44.03	45.21	1551194	EUR	
16/01/2002 00:00	44.71	45.2	43.6	44.56	1373020	EUR	
17/01/2002 00:00	44.56	44.9	43.4	44	1419336	EUR	
18/01/2002 00:00	43.49	43.89	42.23	43.16	1294255	EUR	
21/01/2002 00:00	42.9	44	42.16	43.12	1098770	EUR	
22/01/2002 00:00	43.11	44.53	42.58	43.86	1475455	EUR	
23/01/2002 00:00	42.7	45.4	42.15	45	2156400	EUR	
24/01/2002 00:00	45.62	47.75	45.35	47.14	4107581	EUR	
25/01/2002 00:00	47	47.55	46.22	47.01	1438273	EUR	
28/01/2002 00:00	47.25	47.96	47.13	47.22	1142654	EUR	
29/01/2002 00:00	46.8	47.9	45.63	46.1	1343951	EUR	
30/01/2002 00:00	45.2	45.88	44.91	45.79	1310689	EUR	
31/01/2002 00:00	46	46.86	45.16	46.7	1394209	EUR	
01/02/2002 00:00	46.4	47.77	46.4	47.2	932747	EUR	
04/02/2002 00:00	47.09	47.2	46.22	46.9	892231	EUR	
05/02/2002 00:00	46	46.5	44.91	45.85	1182177	EUR	
06/02/2002 00:00	45.53	45.53	43.8	44	1949340	EUR	
07/02/2002 00:00	44	44.6	42.99	44.6	2186923	EUR	
08/02/2002 00:00	44.5	45.1	43.56	45.1	1266160	EUR	
11/02/2002 00:00	45.2	46.89	45.08	46.83	1093124	EUR	
12/02/2002 00:00	46.5	47.19	46.07	46.59	1338983	EUR	
13/02/2002 00:00	46.35	48.27	46.24	47.25	1481167	EUR	
14/02/2002 00:00	47.6	49.44	47.01	48.99	2111054	EUR	
15/02/2002 00:00	48.6	48.89	48.02	48.07	1506447	EUR	
18/02/2002 00:00	47.42	48.48	47.42	48	480971	EUR	
19/02/2002 00:00	47.77	47.77	45.81	46.3	2748460	EUR	
20/02/2002 00:00	47	48.08	46.96	47.85	2503196	EUR	
21/02/2002 00:00	48.5	48.6	48	48.25	1471408	EUR	
22/02/2002 00:00	47.85	48.95	47.75	48.5	1111586	EUR	
25/02/2002 00:00	48.88	51.5	48.8	51.5	2735457	EUR	
26/02/2002 00:00	52.3	54.15	51.85	52.5	3897617	EUR	
27/02/2002 00:00	52.5	53.9	52.35	53.5	1429422	EUR	
28/02/2002 00:00	53.6	54.9	52.7	54	2116389	EUR	
01/03/2002 00:00	53.45	54.7	53.4	54.25	998346	EUR	
04/03/2002 00:00	54.35	58.2	54.3	57.8	2804393	EUR	
05/03/2002 00:00	58.35	58.75	56.65	58.4	2885669	EUR	
06/03/2002 00:00	58	58.1	56.1	57.25	2535693	EUR	
07/03/2002 00:00	57.6	60.5	57	59.8	3341365	EUR	
08/03/2002 00:00	58.45	60	56.7	59.85	4964606	EUR	
11/03/2002 00:00	59	59.7	58.5	59.25	2185789	EUR	
12/03/2002 00:00	59	59.05	57.4	58.1	1847852	EUR	
13/03/2002 00:00	57.8	58.5	56.85	57.8	1431956	EUR	
14/03/2002 00:00	57.35	58.65	57.35	58.3	1157496	EUR	
15/03/2002 00:00	58.1	60.1	58	60.1	1535240	EUR	
18/03/2002 00:00	59.9	61.6	59.9	60.95	2086709	EUR	
19/03/2002 00:00	60.6	60.95	60.15	60.95	1348222	EUR	
20/03/2002 00:00	60.4	61	59.65	59.8	1437955	EUR	
21/03/2002 00:00	59.25	59.8	58.5	59.35	1896267	EUR	
22/03/2002 00:00	59.3	59.85	58.6	59.45	1223046	EUR	
25/03/2002 00:00	59.7	60.4	59	59.5	960073	EUR	
26/03/2002 00:00	58.85	59.85	58.2	58.5	1464740	EUR	
27/03/2002 00:00	58.5	58.55	57.2	57.95	1571734	EUR	
28/03/2002 00:00	58.4	58.5	57.8	58.4	2960076	EUR	
02/04/2002 00:00	57.9	58.6	57.2	57.95	1141330	EUR	
03/04/2002 00:00	57.95	59	56.45	58.6	1792561	EUR	
04/04/2002 00:00	58	58.5	56.6	57.05	1138310	EUR	
05/04/2002 00:00	56.5	57.35	56	56.6	963341	EUR	
08/04/2002 00:00	55.85	56.6	54.7	54.8	1034552	EUR	
09/04/2002 00:00	53.8	55.45	53.3	55.05	5568353	EUR	
10/04/2002 00:00	55	56.1	54.2	56	1754962	EUR	
11/04/2002 00:00	56.25	56.25	54.9	54.9	1125829	EUR	
12/04/2002 00:00	55	56.55	54.7	55.6	1142239	EUR	
15/04/2002 00:00	56.3	56.75	55.9	56.35	782054	EUR	
16/04/2002 00:00	56.3	57.2	56.25	57.2	1652384	EUR	
17/04/2002 00:00	57.25	58	57.05	57.1	1224783	EUR	
18/04/2002 00:00	57	57.75	56.3	56.8	996542	EUR	
19/04/2002 00:00	56.3	56.5	55.55	56.5	799788	EUR	
22/04/2002 00:00	56.6	57	55.8	56.55	761145	EUR	
23/04/2002 00:00	57	58.2	56.6	57.5	1918891	EUR	
24/04/2002 00:00	57.7	58.15	56.3	56.75	1361876	EUR	
25/04/2002 00:00	56.9	57.6	55.9	57.5	1553552	EUR	
26/04/2002 00:00	57.6	58	57.15	57.25	2154432	EUR	
29/04/2002 00:00	57.5	57.55	56.85	57.2	1328468	EUR	
30/04/2002 00:00	57.2	58.2	56.75	58.05	3708511	EUR	
02/05/2002 00:00	58.25	59.3	58.1	58.7	1396729	EUR	
03/05/2002 00:00	58.75	60.1	58.1	58.25	1900305	EUR	
06/05/2002 00:00	58.65	58.65	57.6	57.9	930946	EUR	
07/05/2002 00:00	57.5	57.8	56.1	57.2	1820171	EUR	
08/05/2002 00:00	57.9	58.35	57.65	58.05	1150122	EUR	
09/05/2002 00:00	58.15	58.3	57.95	58.3	570312	EUR	
10/05/2002 00:00	58.05	58.55	58	58.3	904785	EUR	
13/05/2002 00:00	57.8	59.3	57.8	59.3	1396933	EUR	
14/05/2002 00:00	59.3	60	58.9	59.75	1297988	EUR	
15/05/2002 00:00	60	60.6	57.05	59.15	2824791	EUR	
16/05/2002 00:00	59.1	59.7	58.85	59.7	956756	EUR	
17/05/2002 00:00	59.7	61.55	59.5	60.5	1829115	EUR	
20/05/2002 00:00	60.95	60.95	59.15	59.35	664353	EUR	
21/05/2002 00:00	59.45	60.7	59.15	60.7	1299554	EUR	
22/05/2002 00:00	60.3	60.95	58.8	58.8	1491118	EUR	
23/05/2002 00:00	59.25	59.25	58.1	58.35	1768213	EUR	
24/05/2002 00:00	59.5	61.1	59.3	60.8	3884707	EUR	
27/05/2002 00:00	60.3	61.45	60.25	60.5	986844	EUR	
28/05/2002 00:00	60.45	61.3	59.8	59.9	1992542	EUR	
29/05/2002 00:00	59.6	60.3	59.15	59.8	3495446	EUR	
30/05/2002 00:00	59.95	59.95	57.5	57.5	1899418	EUR	
31/05/2002 00:00	57.5	57.75	56.55	56.75	2933278	EUR	
03/06/2002 00:00	56.3	57.85	56.3	57.05	962218	EUR	
04/06/2002 00:00	56	56	54.15	54.15	2123810	EUR	
05/06/2002 00:00	54.75	55.4	54.15	54.2	2724186	EUR	
06/06/2002 00:00	54.3	56	54.2	54.6	2368501	EUR	
07/06/2002 00:00	53.55	53.6	52.3	52.5	2224272	EUR	
10/06/2002 00:00	53.1	53.85	52.6	53	891665	EUR	
11/06/2002 00:00	53	54.7	52.8	54.45	1810917	EUR	
12/06/2002 00:00	53.95	54	52.75	53.15	1236002	EUR	
13/06/2002 00:00	53.75	53.75	50.2	50.5	1888513	EUR	
14/06/2002 00:00	50.2	50.6	47.9	48.64	3355349	EUR	
17/06/2002 00:00	49.1	51.3	48.8	50.3	1361312	EUR	
18/06/2002 00:00	51.5	51.9	50.5	51.7	1598919	EUR	
19/06/2002 00:00	50.45	51.4	49.75	51.4	2028998	EUR	
20/06/2002 00:00	50.7	51.4	49.15	49.65	2127874	EUR	
21/06/2002 00:00	48.86	49.85	47.9	48.63	2670238	EUR	
24/06/2002 00:00	48.82	48.82	46.5	47.24	2314792	EUR	
25/06/2002 00:00	47.64	48.5	47.11	48.36	1774892	EUR	
26/06/2002 00:00	47	48.49	45.55	48.06	2944532	EUR	
27/06/2002 00:00	48.9	50.1	47.79	49	2227545	EUR	
28/06/2002 00:00	50.2	51	49.1	51	2095762	EUR	
01/07/2002 00:00	50.05	51.7	50.05	50.45	1172767	EUR	
02/07/2002 00:00	49.5	50.7	48.73	49.39	1292581	EUR	
03/07/2002 00:00	48.8	48.9	46.5	47.3	2408034	EUR	
04/07/2002 00:00	48.1	48.5	45.52	46.25	1996459	EUR	
05/07/2002 00:00	46.99	47.34	45.8	47.33	2211398	EUR	
08/07/2002 00:00	47.33	47.33	45.5	46.88	2008427	EUR	
09/07/2002 00:00	46.51	47.97	45.7	46.52	1277795	EUR	
10/07/2002 00:00	45	45.4	43.55	43.85	2520532	EUR	
11/07/2002 00:00	42.8	44.77	42.02	43.52	2382069	EUR	
12/07/2002 00:00	45.2	45.35	41.5	42.09	2108367	EUR	
15/07/2002 00:00	42.09	42.91	39.55	39.81	1895410	EUR	
16/07/2002 00:00	40.68	41.98	38.5	41.25	3333633	EUR	
17/07/2002 00:00	40.54	44.88	40.54	43.4	4189855	EUR	
18/07/2002 00:00	44.1	47.11	43.83	46.32	3425124	EUR	
19/07/2002 00:00	46.5	46.5	44.2	44.95	2296117	EUR	
22/07/2002 00:00	44	44.38	42.32	42.32	2116540	EUR	
23/07/2002 00:00	42.32	43.42	40.28	40.96	2253572	EUR	
24/07/2002 00:00	40.03	41.8	38.86	41.6	3799191	EUR	
25/07/2002 00:00	43.76	44.4	41.8	42.74	2781598	EUR	
26/07/2002 00:00	42.68	43.3	40.7	42.5	1482447	EUR	
29/07/2002 00:00	43.15	45.76	42.55	45.76	2446125	EUR	
30/07/2002 00:00	46.59	46.9	44.4	45.15	2094616	EUR	
31/07/2002 00:00	46.21	47.4	44.11	45.1	2233030	EUR	
01/08/2002 00:00	45.1	45.6	42.23	42.35	2110411	EUR	
02/08/2002 00:00	42.89	43.6	41.7	42.44	1867307	EUR	
05/08/2002 00:00	42.75	42.75	39.55	39.55	2205414	EUR	
06/08/2002 00:00	38.75	42	38.15	41.55	3522197	EUR	
07/08/2002 00:00	41.5	43.29	41.29	42.23	2006364	EUR	
08/08/2002 00:00	42.53	44.1	41.11	42	1943058	EUR	
09/08/2002 00:00	42.88	43.68	42.35	43.51	1257473	EUR	
12/08/2002 00:00	43.47	43.49	42	42.23	728517	EUR	
13/08/2002 00:00	42.89	43.2	41.2	42.73	725503	EUR	
14/08/2002 00:00	41.47	42	40.84	41.33	1039096	EUR	
15/08/2002 00:00	42.6	43.86	42.5	43.15	1045742	EUR	
16/08/2002 00:00	43.4	43.75	41.81	42.85	920389	EUR	
19/08/2002 00:00	43.1	44.22	41.93	43.99	1180013	EUR	
20/08/2002 00:00	43.59	44.35	42.5	42.79	958643	EUR	
21/08/2002 00:00	42.69	44.83	42.69	44.35	1309030	EUR	
22/08/2002 00:00	43.62	47.19	43.62	46.48	2291784	EUR	
23/08/2002 00:00	47.1	47.4	45.02	45.65	899967	EUR	
26/08/2002 00:00	45	45.88	44.7	44.75	632562	EUR	
27/08/2002 00:00	45.5	46.3	44.65	45.5	1056284	EUR	
28/08/2002 00:00	44.6	44.8	43.5	43.93	3970215	EUR	
29/08/2002 00:00	43.07	43.9	42.17	42.55	1496357	EUR	
30/08/2002 00:00	43.4	43.44	41.8	42.47	1331497	EUR	
02/09/2002 00:00	42.4	42.5	41.51	41.8	871325	EUR	
03/09/2002 00:00	41.39	41.75	40.07	40.07	1934083	EUR	
04/09/2002 00:00	40.57	41.16	39.35	40.85	1872752	EUR	
05/09/2002 00:00	41.28	41.61	39.13	39.5	1905931	EUR	
06/09/2002 00:00	40.29	41.05	38.7	40.9	1649614	EUR	
09/09/2002 00:00	40.6	40.84	40.1	40.36	879708	EUR	
10/09/2002 00:00	40.95	42.47	40.61	42.15	1331539	EUR	
11/09/2002 00:00	42.6	44.16	42.02	43.75	1540189	EUR	
12/09/2002 00:00	44.05	44.7	42.75	43.5	2517889	EUR	
13/09/2002 00:00	43.44	43.64	41.62	41.78	1624577	EUR	
16/09/2002 00:00	42.1	42.9	41	41.18	1219525	EUR	
17/09/2002 00:00	43.2	43.3	41.25	41.57	1531402	EUR	
18/09/2002 00:00	40.98	41.79	40	40.36	1920280	EUR	
19/09/2002 00:00	40.53	41.1	38.59	38.6	2237472	EUR	
20/09/2002 00:00	38.45	39.9	38	38.54	1847387	EUR	
