date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	34.25	35.22	34.12	35.05	240561	EUR	
09/11/2001 00:00	34.4	35.3	34.35	34.59	255347	EUR	
12/11/2001 00:00	34.07	35.12	34.07	34.65	1196119	EUR	
13/11/2001 00:00	34.37	35.6	34.37	35.43	175200	EUR	
14/11/2001 00:00	35.21	36.7	35.21	36.65	343686	EUR	
15/11/2001 00:00	36.15	37.35	36.15	37.03	286582	EUR	
16/11/2001 00:00	37.49	38.7	37.45	37.75	1133899	EUR	
19/11/2001 00:00	38.3	39.1	37.82	38.8	279582	EUR	
20/11/2001 00:00	39.15	39.22	38.3	38.84	457831	EUR	
21/11/2001 00:00	38.82	39.1	36.8	37.4	551800	EUR	
22/11/2001 00:00	37.3	37.4	36.92	37.25	296245	EUR	
23/11/2001 00:00	36.72	37.68	36.1	37.5	506116	EUR	
26/11/2001 00:00	37.5	39.1	37.5	38.85	456860	EUR	
27/11/2001 00:00	39.18	39.18	37.52	38.28	413280	EUR	
28/11/2001 00:00	37.41	38	36.7	36.95	2118924	EUR	
29/11/2001 00:00	36.45	37.1	36.45	37	246053	EUR	
30/11/2001 00:00	36.53	36.99	36.1	36.53	352429	EUR	
03/12/2001 00:00	36	36.8	35.62	36.8	349351	EUR	
04/12/2001 00:00	36.16	36.49	35.85	36.49	403346	EUR	
05/12/2001 00:00	36.6	38	35.99	38	434174	EUR	
06/12/2001 00:00	37.6	38.4	37.12	38.08	352707	EUR	
07/12/2001 00:00	38.1	38.68	37.95	38.12	319932	EUR	
10/12/2001 00:00	37.28	38.76	37.2	38.1	270621	EUR	
11/12/2001 00:00	38	39	37.71	38.09	523705	EUR	
12/12/2001 00:00	38.48	38.6	37.11	37.32	504864	EUR	
13/12/2001 00:00	37.1	37.97	35.7	37.32	582034	EUR	
14/12/2001 00:00	37	37.5	36.21	36.6	244896	EUR	
17/12/2001 00:00	35.89	37.38	35.82	37.07	328427	EUR	
18/12/2001 00:00	36.25	36.9	36.25	36.5	494032	EUR	
19/12/2001 00:00	35.65	36.87	35.65	36.87	366143	EUR	
20/12/2001 00:00	36.04	36.6	36.04	36.37	256751	EUR	
21/12/2001 00:00	35.65	36.5	35.65	36.42	210543	EUR	
24/12/2001 00:00	36.15	36.4	36.06	36.21	36399	EUR	
27/12/2001 00:00	35.74	37.45	35.74	37.16	373955	EUR	
28/12/2001 00:00	36.42	37.35	36.42	37.05	272825	EUR	
02/01/2002 00:00	37.94	37.94	36.36	36.85	230429	EUR	
03/01/2002 00:00	36.85	37.5	36.61	37.25	353305	EUR	
04/01/2002 00:00	37.95	39.25	37.81	38.47	522591	EUR	
07/01/2002 00:00	38	38.75	37.61	38.2	242108	EUR	
08/01/2002 00:00	37.45	38.95	37.33	38.2	458523	EUR	
09/01/2002 00:00	37.62	38.75	37.62	38.22	356475	EUR	
10/01/2002 00:00	38.68	39	38.23	38.55	670092	EUR	
11/01/2002 00:00	38.4	39.8	38.4	39.5	643120	EUR	
14/01/2002 00:00	39.05	39.85	38.61	39.11	415772	EUR	
15/01/2002 00:00	38.8	39.2	38.65	38.84	382870	EUR	
16/01/2002 00:00	38.55	38.8	38.1	38.3	577772	EUR	
17/01/2002 00:00	38.3	39.24	38.19	39.04	474109	EUR	
18/01/2002 00:00	39	39.45	38.6	38.76	396987	EUR	
21/01/2002 00:00	38.36	40.1	38.36	39.66	437624	EUR	
22/01/2002 00:00	39.15	40	39.15	40	405841	EUR	
23/01/2002 00:00	39.94	41.03	39.7	40.99	620916	EUR	
24/01/2002 00:00	40.98	41.54	40.72	40.8	855674	EUR	
25/01/2002 00:00	40.62	40.98	40.41	40.78	400639	EUR	
28/01/2002 00:00	40.4	41.48	40.4	41.3	341291	EUR	
29/01/2002 00:00	40.61	41.35	40.59	41.25	397026	EUR	
30/01/2002 00:00	40.41	41.44	40.41	41	581551	EUR	
31/01/2002 00:00	41.03	41.4	40.53	41.13	423358	EUR	
01/02/2002 00:00	40.5	41.99	40.5	41.86	660908	EUR	
04/02/2002 00:00	41	42	41	41.5	392588	EUR	
05/02/2002 00:00	40.68	41.23	40.11	40.63	605237	EUR	
06/02/2002 00:00	40.06	41.2	39.78	39.78	657596	EUR	
07/02/2002 00:00	39.1	39.68	39.1	39.5	837498	EUR	
08/02/2002 00:00	39.5	40.36	38.8	39.73	495077	EUR	
11/02/2002 00:00	39.31	40.7	39.31	40	644970	EUR	
12/02/2002 00:00	39.85	40.13	39.29	39.6	549317	EUR	
13/02/2002 00:00	40	40.2	39.31	40.15	458462	EUR	
14/02/2002 00:00	39.5	41.11	39.5	40.88	393220	EUR	
15/02/2002 00:00	40.48	40.9	40.42	40.6	308368	EUR	
18/02/2002 00:00	40.1	40.25	39.86	39.99	118330	EUR	
19/02/2002 00:00	39.72	40.19	39.21	39.39	475834	EUR	
20/02/2002 00:00	39.05	39.72	39.04	39.43	199169	EUR	
21/02/2002 00:00	39.5	40.25	39.25	39.5	234936	EUR	
22/02/2002 00:00	39.15	39.48	38.73	39.37	113431	EUR	
25/02/2002 00:00	39.2	40	39.07	39.88	375415	EUR	
26/02/2002 00:00	41.6	41.9	40.75	41.9	2545738	EUR	
27/02/2002 00:00	42	43.84	41.6	43.8	1505433	EUR	
28/02/2002 00:00	43.69	44.09	43.3	43.9	1150906	EUR	
01/03/2002 00:00	43.95	44.4	42.71	43.1	611048	EUR	
04/03/2002 00:00	43	44.43	42.81	44.1	952096	EUR	
05/03/2002 00:00	43.5	44.59	43.5	44.45	620294	EUR	
06/03/2002 00:00	44.3	44.3	43.6	43.9	563888	EUR	
07/03/2002 00:00	43.85	44.14	43.83	44.02	631197	EUR	
08/03/2002 00:00	43.05	44.49	43.05	44.35	630931	EUR	
11/03/2002 00:00	44	44.28	43.7	43.85	719977	EUR	
12/03/2002 00:00	43.11	44	43.11	43.84	463504	EUR	
13/03/2002 00:00	43.45	45	43.45	44.99	639503	EUR	
14/03/2002 00:00	44.92	45	44.25	45	550592	EUR	
15/03/2002 00:00	44.5	45.05	44.1	44.7	636389	EUR	
18/03/2002 00:00	44.02	45	44.02	44.3	375169	EUR	
19/03/2002 00:00	44.5	45	44.31	44.99	448112	EUR	
20/03/2002 00:00	44.99	44.99	43.73	44.59	592344	EUR	
21/03/2002 00:00	43.75	44.48	43.71	43.8	625485	EUR	
22/03/2002 00:00	43.85	44.2	43.76	44	651510	EUR	
25/03/2002 00:00	43.6	44.8	43.59	43.91	402908	EUR	
26/03/2002 00:00	43.35	43.9	43.15	43.3	373565	EUR	
27/03/2002 00:00	43.17	43.36	42.61	43.18	478122	EUR	
28/03/2002 00:00	43.5	43.94	42.8	43.54	810472	EUR	
02/04/2002 00:00	43.51	43.85	42.9	43	737935	EUR	
03/04/2002 00:00	43.1	43.1	42.26	42.7	863950	EUR	
04/04/2002 00:00	42	42.35	41.2	41.9	744306	EUR	
05/04/2002 00:00	42.5	42.96	42.11	42.5	287702	EUR	
08/04/2002 00:00	42.5	42.9	41.5	41.85	415194	EUR	
09/04/2002 00:00	42.3	42.65	41.65	41.87	230029	EUR	
10/04/2002 00:00	41.65	42.95	41.65	42.43	497834	EUR	
11/04/2002 00:00	43.19	43.2	42.52	43	480614	EUR	
12/04/2002 00:00	42.3	42.9	42.25	42.9	465471	EUR	
15/04/2002 00:00	43	44.1	42.85	43.37	695465	EUR	
16/04/2002 00:00	43.5	43.5	43	43.1	453639	EUR	
17/04/2002 00:00	43.5	43.69	43.18	43.4	609580	EUR	
18/04/2002 00:00	43.4	43.6	42.72	43.28	320124	EUR	
19/04/2002 00:00	42.91	43.5	42.91	42.99	302200	EUR	
22/04/2002 00:00	43	43.2	41.72	43.05	390001	EUR	
23/04/2002 00:00	42.55	43.95	42.55	43.31	469871	EUR	
24/04/2002 00:00	43.35	44	43	43.2	670228	EUR	
25/04/2002 00:00	43.88	43.88	41.78	42.9	971735	EUR	
26/04/2002 00:00	42.65	43.48	42.6	43.4	666108	EUR	
29/04/2002 00:00	43	43.7	42.8	43.3	626261	EUR	
30/04/2002 00:00	42.8	43.3	42.6	43	503895	EUR	
02/05/2002 00:00	42.25	43.2	42.25	42.78	558709	EUR	
03/05/2002 00:00	43.2	43.74	42.91	43.22	2874899	EUR	
06/05/2002 00:00	42.45	43.58	42.45	43.3	1409728	EUR	
07/05/2002 00:00	42.77	43.45	42.77	43.23	538084	EUR	
08/05/2002 00:00	43.32	43.8	43.21	43.7	598592	EUR	
09/05/2002 00:00	43.32	43.94	43.32	43.54	299373	EUR	
10/05/2002 00:00	43	44	43	43.61	321090	EUR	
13/05/2002 00:00	43.5	43.9	43.34	43.62	231699	EUR	
14/05/2002 00:00	43.4	43.9	43.32	43.74	847408	EUR	
15/05/2002 00:00	43.83	43.9	43.5	43.7	1597641	EUR	
16/05/2002 00:00	43.51	43.8	43.51	43.7	572147	EUR	
17/05/2002 00:00	44	44	43.21	43.88	428596	EUR	
20/05/2002 00:00	44	44	43.5	43.95	178431	EUR	
21/05/2002 00:00	43.56	43.94	43.44	43.51	344335	EUR	
22/05/2002 00:00	42.58	43.2	42	43.05	1410221	EUR	
23/05/2002 00:00	43.02	43.55	42.32	42.4	333050	EUR	
24/05/2002 00:00	42.65	42.78	41.66	42.26	1032492	EUR	
27/05/2002 00:00	41.65	43.18	41.65	42.43	182994	EUR	
28/05/2002 00:00	42.45	43.39	41.86	42.16	400463	EUR	
29/05/2002 00:00	42	42.8	41.8	41.81	3903462	EUR	
30/05/2002 00:00	41.8	42.04	41.11	41.64	550283	EUR	
31/05/2002 00:00	41.5	42	41.5	41.8	349540	EUR	
03/06/2002 00:00	41.8	42.25	41.3	41.7	260345	EUR	
04/06/2002 00:00	41.1	41.99	40.8	41.5	540114	EUR	
05/06/2002 00:00	41.16	41.5	40.61	41	682700	EUR	
06/06/2002 00:00	41.1	41.69	41.01	41.6	768995	EUR	
07/06/2002 00:00	41.1	42	41.08	42	634876	EUR	
10/06/2002 00:00	41.79	43.02	41.75	42.59	565661	EUR	
11/06/2002 00:00	42.55	43.5	42.49	42.85	540957	EUR	
12/06/2002 00:00	42.5	42.71	42.11	42.27	375298	EUR	
13/06/2002 00:00	42.04	42.75	41.23	41.92	311242	EUR	
14/06/2002 00:00	41.69	42	40.15	40.2	1800244	EUR	
17/06/2002 00:00	40	41	39.5	40.45	668863	EUR	
18/06/2002 00:00	40.5	41	39.93	40.75	593835	EUR	
19/06/2002 00:00	39	41.09	38.81	40.75	662033	EUR	
20/06/2002 00:00	40.2	40.7	38.75	39.25	824018	EUR	
21/06/2002 00:00	38.56	40.19	36.28	39.6	1429955	EUR	
24/06/2002 00:00	40.4	40.4	39.1	39.45	878513	EUR	
25/06/2002 00:00	39.51	40.23	39.4	40.09	651990	EUR	
26/06/2002 00:00	38.45	41.9	38.45	40.71	919226	EUR	
27/06/2002 00:00	40.81	41.29	40.02	40.06	722425	EUR	
28/06/2002 00:00	40.5	41.45	40.01	41.03	672932	EUR	
01/07/2002 00:00	41.03	41.66	39.69	40.7	382026	EUR	
02/07/2002 00:00	40.5	40.5	39.7	40	672826	EUR	
03/07/2002 00:00	40	40.1	38.55	39.53	967089	EUR	
04/07/2002 00:00	39.9	40.1	39.26	39.86	607353	EUR	
05/07/2002 00:00	39.8	40.9	39.78	40.7	942525	EUR	
08/07/2002 00:00	40.69	40.8	39.16	39.5	597426	EUR	
09/07/2002 00:00	39	40.15	38.46	39.38	659415	EUR	
10/07/2002 00:00	39.4	39.6	38.46	38.76	302151	EUR	
11/07/2002 00:00	36.05	38.38	36.05	38	535981	EUR	
12/07/2002 00:00	37.5	38.91	36.65	37.36	461566	EUR	
15/07/2002 00:00	36.7	37.6	35	35.46	454857	EUR	
16/07/2002 00:00	36.13	36.25	35	35.02	542099	EUR	
