date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	39.17	42.03	38.48	42.02	8013146	EUR	
09/11/2001 00:00	40.81	41.69	40.57	40.68	5128304	EUR	
12/11/2001 00:00	40.94	40.94	38.5	38.87	5485369	EUR	
13/11/2001 00:00	39.44	41.82	39.44	41.34	6201110	EUR	
14/11/2001 00:00	41.69	43.33	41.69	42.03	6420414	EUR	
15/11/2001 00:00	43.03	43.85	42.47	43.33	5631415	EUR	
16/11/2001 00:00	43.38	43.64	42.39	42.86	3303785	EUR	
19/11/2001 00:00	43.16	44.76	42.9	44.2	3568057	EUR	
20/11/2001 00:00	44.03	44.03	42.13	42.47	3904303	EUR	
21/11/2001 00:00	38.39	40.42	38.39	39.45	27820585	EUR	
22/11/2001 00:00	40	40.73	39.8	40.39	5639843	EUR	
23/11/2001 00:00	40.55	40.55	39.24	39.56	4957907	EUR	
26/11/2001 00:00	40.13	40.15	38.06	38.32	6898027	EUR	
27/11/2001 00:00	38.48	38.65	36.94	37.02	7044872	EUR	
28/11/2001 00:00	36.83	37.82	36.67	37.14	7514033	EUR	
29/11/2001 00:00	36.95	38.31	36.82	37.35	5541346	EUR	
30/11/2001 00:00	37.95	38.77	37.37	38.22	8283150	EUR	
03/12/2001 00:00	37.96	38.32	37.33	37.96	2715177	EUR	
04/12/2001 00:00	38.13	39.21	38	38.99	3832112	EUR	
05/12/2001 00:00	39.87	41.6	39.78	41.33	7315491	EUR	
06/12/2001 00:00	41.6	42.45	40.84	41.59	6933177	EUR	
07/12/2001 00:00	41.73	42.09	41.18	41.25	3575122	EUR	
10/12/2001 00:00	41.16	41.37	40.14	40.51	2882961	EUR	
11/12/2001 00:00	40.22	40.97	39.56	40.57	4371399	EUR	
12/12/2001 00:00	40.86	41.6	40.27	40.39	4121896	EUR	
13/12/2001 00:00	40.08	40.73	38.39	38.39	6059939	EUR	
14/12/2001 00:00	38.31	38.35	37.2	37.31	4908714	EUR	
17/12/2001 00:00	37.7	38.97	36.88	38.96	3443460	EUR	
18/12/2001 00:00	38.83	38.98	38.31	38.86	3049489	EUR	
19/12/2001 00:00	38.41	38.74	37.77	38.47	3362729	EUR	
20/12/2001 00:00	37.83	38.65	37.38	37.74	2799433	EUR	
21/12/2001 00:00	37.17	38.45	36.96	38.38	4503415	EUR	
24/12/2001 00:00	38.38	38.38	38.01	38.26	750075	EUR	
27/12/2001 00:00	38.91	39.1	38.4	39.03	3082531	EUR	
28/12/2001 00:00	39.35	39.56	38.7	38.91	2609792	EUR	
02/01/2002 00:00	38.9	39.35	38.57	38.65	1466282	EUR	
03/01/2002 00:00	39.17	40.82	39.09	40.47	3624472	EUR	
04/01/2002 00:00	40.97	41.74	40.75	40.86	4881542	EUR	
07/01/2002 00:00	40.73	41.51	39.45	39.52	4083394	EUR	
08/01/2002 00:00	39.22	40.05	38.84	39.43	4699412	EUR	
09/01/2002 00:00	39.48	40.02	38.66	39.03	4730755	EUR	
10/01/2002 00:00	38.56	38.97	37.19	37.7	6680050	EUR	
11/01/2002 00:00	37.79	38.43	36.97	37.61	3918987	EUR	
14/01/2002 00:00	37.09	37.22	36.26	36.44	4093380	EUR	
15/01/2002 00:00	35.97	36.82	35.75	36.53	5569778	EUR	
16/01/2002 00:00	36.1	36.3	34.98	35.26	5299802	EUR	
17/01/2002 00:00	35.26	35.91	34.75	34.8	5266039	EUR	
18/01/2002 00:00	34.41	34.75	33.58	34.15	7740641	EUR	
21/01/2002 00:00	34.39	34.39	33.24	33.89	3650099	EUR	
22/01/2002 00:00	33.8	35.08	33.58	34.19	5078552	EUR	
23/01/2002 00:00	33.84	34.71	33.8	33.8	4121812	EUR	
24/01/2002 00:00	34.35	34.81	34.02	34.36	4509439	EUR	
25/01/2002 00:00	34.36	34.58	33.58	33.97	3335686	EUR	
28/01/2002 00:00	33.79	34.19	33.45	34.16	4144961	EUR	
29/01/2002 00:00	34.49	34.88	32.93	33.02	6327597	EUR	
30/01/2002 00:00	32.5	32.54	31.2	31.29	9699049	EUR	
31/01/2002 00:00	31.82	32.56	31.63	32.21	5778939	EUR	
01/02/2002 00:00	32.33	32.46	30.2	30.3	7978031	EUR	
04/02/2002 00:00	30.33	30.33	29.08	29.48	7653292	EUR	
05/02/2002 00:00	28.86	29.8	28.65	29.29	8241922	EUR	
06/02/2002 00:00	29.08	29.97	27.73	27.73	11009234	EUR	
07/02/2002 00:00	27.47	28.98	26.78	28.9	13787686	EUR	
08/02/2002 00:00	28.25	29.64	28.08	28.6	8478207	EUR	
11/02/2002 00:00	29.29	30	29.09	29.51	5152452	EUR	
12/02/2002 00:00	29.99	30.25	28.41	28.56	6645044	EUR	
13/02/2002 00:00	28.43	28.43	27.09	27.6	10194497	EUR	
14/02/2002 00:00	27.9	28.27	27.17	27.79	7992657	EUR	
15/02/2002 00:00	27.04	27.51	26.17	26.17	7566446	EUR	
18/02/2002 00:00	26.17	26.78	25.71	25.74	7235533	EUR	
19/02/2002 00:00	25.56	25.56	24.53	24.53	16902301	EUR	
20/02/2002 00:00	24.44	25.31	24.4	24.52	11394984	EUR	
21/02/2002 00:00	25.31	25.87	24.74	25.85	12795680	EUR	
22/02/2002 00:00	25.22	25.54	24.65	24.79	7814206	EUR	
25/02/2002 00:00	25.09	25.22	24.48	24.81	6331421	EUR	
26/02/2002 00:00	25.22	25.94	25.09	25.26	7917111	EUR	
27/02/2002 00:00	25.57	26.35	25.25	26.35	8501868	EUR	
28/02/2002 00:00	26.09	27	25.67	26.39	8270594	EUR	
01/03/2002 00:00	26	26.74	26	26.52	5442073	EUR	
04/03/2002 00:00	27.39	28.24	27.13	28.18	7761375	EUR	
05/03/2002 00:00	28.17	28.38	27.4	27.61	6554471	EUR	
06/03/2002 00:00	27.56	28.21	26.95	27.47	5452298	EUR	
07/03/2002 00:00	27.39	29.02	27.39	28.86	8359571	EUR	
08/03/2002 00:00	28.69	29.88	28.62	29.37	5612088	EUR	
11/03/2002 00:00	29.47	29.54	28.01	28.21	6372807	EUR	
12/03/2002 00:00	27.74	27.95	26.87	27.28	8611213	EUR	
13/03/2002 00:00	27.29	27.95	26.62	26.71	5976668	EUR	
14/03/2002 00:00	26.43	27.1	26.3	26.68	3372724	EUR	
15/03/2002 00:00	26.95	27.02	26.22	26.86	7234849	EUR	
18/03/2002 00:00	27.13	27.55	26.61	26.65	5955199	EUR	
19/03/2002 00:00	26.57	26.98	26.18	26.91	5219622	EUR	
20/03/2002 00:00	27.91	28.81	27.56	28.43	18706034	EUR	
21/03/2002 00:00	28.99	29.32	28.46	28.86	11179391	EUR	
22/03/2002 00:00	29.12	29.75	28.99	29.38	7219131	EUR	
