date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	25.515	25.665	23.765	25.365	1147744	EUR	
09/11/2001 00:00	25.685	25.685	25.085	25.315	267508	EUR	
12/11/2001 00:00	25.485	25.615	25.165	25.285	149040	EUR	
13/11/2001 00:00	25.215	25.935	25.15	25.335	271868	EUR	
14/11/2001 00:00	26	26.3	25.665	25.9	476508	EUR	
15/11/2001 00:00	26	26.135	25.335	26	233310	EUR	
16/11/2001 00:00	25.5	25.865	25.315	25.335	666542	EUR	
19/11/2001 00:00	25.4	25.885	25.285	25.665	573552	EUR	
20/11/2001 00:00	25.335	25.65	25.215	25.35	316912	EUR	
21/11/2001 00:00	25.335	25.665	25.015	25.665	315140	EUR	
22/11/2001 00:00	25.965	26.665	25.615	26.165	623150	EUR	
23/11/2001 00:00	26.4	26.865	26.165	26.665	385660	EUR	
26/11/2001 00:00	26.835	26.95	26.05	26.135	333174	EUR	
27/11/2001 00:00	26.115	26.915	26.115	26.9	318088	EUR	
28/11/2001 00:00	26.7	26.985	26.5	26.9	3050158	EUR	
29/11/2001 00:00	26.685	27.865	26.685	27.515	942674	EUR	
30/11/2001 00:00	27.665	27.665	26.915	27.5	455750	EUR	
03/12/2001 00:00	27.485	27.8	27.365	27.65	281326	EUR	
04/12/2001 00:00	27.6	27.835	27.035	27.165	389236	EUR	
05/12/2001 00:00	27.335	27.8	27	27	568104	EUR	
06/12/2001 00:00	27	27.665	26.965	27.335	524700	EUR	
07/12/2001 00:00	27.665	28.335	27.35	27.35	456720	EUR	
10/12/2001 00:00	27.665	27.985	27.35	27.35	238182	EUR	
11/12/2001 00:00	27.185	27.95	27.185	27.335	309322	EUR	
12/12/2001 00:00	27.335	27.735	27.265	27.4	277230	EUR	
13/12/2001 00:00	27.335	27.465	26.9	26.9	317956	EUR	
14/12/2001 00:00	26.7	27.735	26.7	27.335	607222	EUR	
17/12/2001 00:00	27.635	28.335	26.665	28.015	307390	EUR	
18/12/2001 00:00	28.035	28.265	27.415	27.465	263710	EUR	
19/12/2001 00:00	27.9	28.135	27.565	28	499872	EUR	
20/12/2001 00:00	28.335	28.765	27.65	28.765	1005104	EUR	
21/12/2001 00:00	28.215	29.45	28.215	29.45	585564	EUR	
24/12/2001 00:00	29.635	29.635	29.085	29.085	200752	EUR	
27/12/2001 00:00	28.865	29.285	28.335	28.665	144154	EUR	
28/12/2001 00:00	28.435	29	28.35	29	172556	EUR	
02/01/2002 00:00	29	29	28.7	28.735	288520	EUR	
03/01/2002 00:00	28.965	28.965	28.065	28.35	315454	EUR	
04/01/2002 00:00	28.665	29.15	27.6	28.315	660918	EUR	
07/01/2002 00:00	28.535	28.535	28.035	28.4	1308542	EUR	
08/01/2002 00:00	28.265	28.3	27.85	27.965	357630	EUR	
09/01/2002 00:00	28.4	28.55	27.935	28.465	569936	EUR	
10/01/2002 00:00	28.335	28.365	27.835	28.085	265220	EUR	
11/01/2002 00:00	28.085	28.2	27.585	27.885	711314	EUR	
14/01/2002 00:00	28	28.365	27.885	27.985	381558	EUR	
15/01/2002 00:00	27.85	28.765	27.85	28.635	384002	EUR	
16/01/2002 00:00	28.665	28.935	28.4	28.765	381884	EUR	
17/01/2002 00:00	28.665	28.8	28.165	28.335	820278	EUR	
18/01/2002 00:00	28.35	28.6	27.75	28.215	610212	EUR	
21/01/2002 00:00	28.335	28.4	27.835	28.165	1442044	EUR	
22/01/2002 00:00	28	28.665	27.9	28.165	856010	EUR	
23/01/2002 00:00	28	29.135	28	28.765	709962	EUR	
24/01/2002 00:00	28.935	28.965	28.365	28.535	507270	EUR	
25/01/2002 00:00	28.5	28.665	28.385	28.515	375342	EUR	
28/01/2002 00:00	28.665	28.665	28.05	28.3	269986	EUR	
29/01/2002 00:00	28.415	28.5	28.035	28.315	496342	EUR	
