date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	21.573	22.322	21.406	21.498	414461	EUR	
09/11/2001 00:00	21.573	22.489	21.281	22.072	513122	EUR	
12/11/2001 00:00	22.031	22.031	20.823	20.823	493186	EUR	
13/11/2001 00:00	21.531	23.738	21.498	23.33	1308620	EUR	
14/11/2001 00:00	23.363	25.696	23.363	24.696	1306790	EUR	
15/11/2001 00:00	24.821	25.404	24.363	24.696	1227959	EUR	
16/11/2001 00:00	24.654	24.696	23.663	23.863	1175377	EUR	
19/11/2001 00:00	23.988	24.155	23.78	23.905	1029421	EUR	
20/11/2001 00:00	23.913	24.155	23.597	23.988	889864	EUR	
21/11/2001 00:00	23.372	24.155	23.347	23.738	613451	EUR	
22/11/2001 00:00	23.405	24.155	23.405	23.863	378308	EUR	
23/11/2001 00:00	23.788	24.155	23.363	23.363	246601	EUR	
26/11/2001 00:00	23.338	24.246	23.338	24.238	732815	EUR	
27/11/2001 00:00	24.405	24.53	23.88	24.146	902600	EUR	
28/11/2001 00:00	23.413	24.238	23.072	23.613	564387	EUR	
29/11/2001 00:00	22.989	23.905	22.655	23.53	865822	EUR	
30/11/2001 00:00	24.088	24.305	23.247	23.247	640656	EUR	
03/12/2001 00:00	22.614	23.114	22.114	22.222	510798	EUR	
04/12/2001 00:00	22.222	23.872	22.222	23.863	508331	EUR	
05/12/2001 00:00	23.988	27.237	23.988	26.653	726370	EUR	
06/12/2001 00:00	27.087	27.653	25.412	25.737	1260316	EUR	
07/12/2001 00:00	25.737	25.97	24.988	25.362	593396	EUR	
10/12/2001 00:00	25.562	25.929	25.054	25.571	292740	EUR	
11/12/2001 00:00	25.571	25.821	25.013	25.404	207814	EUR	
12/12/2001 00:00	25.238	25.487	24.521	24.888	178620	EUR	
13/12/2001 00:00	24.971	24.971	23.305	23.322	639436	EUR	
14/12/2001 00:00	24.971	24.971	22.905	23.322	386541	EUR	
17/12/2001 00:00	23.572	23.647	22.93	23.405	419304	EUR	
18/12/2001 00:00	23.872	24.521	23.78	24.155	845430	EUR	
19/12/2001 00:00	24.005	24.471	23.622	24.405	286591	EUR	
20/12/2001 00:00	23.738	24.896	23.738	23.738	305353	EUR	
21/12/2001 00:00	23.405	24.363	23.405	24.213	297739	EUR	
24/12/2001 00:00	23.822	24.571	23.822	24.096	50881	EUR	
27/12/2001 00:00	24.405	24.488	23.405	24.163	199091	EUR	
28/12/2001 00:00	25.612	25.612	23.946	24.779	281915	EUR	
02/01/2002 00:00	24.988	25.213	24.53	24.671	373039	EUR	
03/01/2002 00:00	24.671	25.562	24.671	25.471	511093	EUR	
04/01/2002 00:00	25.337	27.361	25.238	26.678	497260	EUR	
07/01/2002 00:00	26.445	26.778	26.07	26.07	582712	EUR	
08/01/2002 00:00	26.07	26.195	25.654	25.746	547505	EUR	
09/01/2002 00:00	25.821	26.02	25.229	25.404	574629	EUR	
10/01/2002 00:00	23.738	24.53	23.672	24.488	5615252	EUR	
11/01/2002 00:00	24.571	24.571	24.03	24.146	3465902	EUR	
14/01/2002 00:00	24.155	24.155	23.838	23.905	845314	EUR	
15/01/2002 00:00	23.755	24.146	23.73	24.071	1051403	EUR	
16/01/2002 00:00	24.113	24.338	23.863	24.071	1177798	EUR	
17/01/2002 00:00	23.822	24.071	23.822	23.863	358606	EUR	
18/01/2002 00:00	23.863	23.98	23.322	23.322	549654	EUR	
21/01/2002 00:00	23.655	23.655	23.03	23.03	448144	EUR	
22/01/2002 00:00	23.28	23.905	22.905	22.989	660702	EUR	
23/01/2002 00:00	22.989	23.272	22.322	22.322	635031	EUR	
24/01/2002 00:00	22.78	23.247	22.614	23.03	988460	EUR	
25/01/2002 00:00	23.155	23.405	22.78	23.322	494268	EUR	
28/01/2002 00:00	23.322	24.121	23.322	24.021	684565	EUR	
29/01/2002 00:00	23.488	24.155	23.488	23.78	516378	EUR	
30/01/2002 00:00	24.13	24.13	23.08	23.53	948879	EUR	
31/01/2002 00:00	23.572	24.021	23.572	23.805	381554	EUR	
01/02/2002 00:00	23.447	24.196	23.447	24.063	582174	EUR	
04/02/2002 00:00	23.572	23.813	23.255	23.63	363360	EUR	
05/02/2002 00:00	23.238	23.73	22.822	22.989	696499	EUR	
06/02/2002 00:00	22.597	23.238	22.364	22.397	526661	EUR	
07/02/2002 00:00	23.114	23.114	22.406	22.664	314216	EUR	
08/02/2002 00:00	22.489	23.122	22.489	23.064	336393	EUR	
11/02/2002 00:00	22.572	23.647	22.572	23.272	358538	EUR	
12/02/2002 00:00	23.08	23.405	22.997	23.347	313740	EUR	
13/02/2002 00:00	23.497	23.813	23.338	23.655	727392	EUR	
14/02/2002 00:00	23.455	24.571	23.455	24.571	1853736	EUR	
15/02/2002 00:00	24.821	24.821	23.905	23.988	440816	EUR	
18/02/2002 00:00	24.596	24.596	23.921	24.43	397032	EUR	
19/02/2002 00:00	24.48	24.48	23.763	23.905	318793	EUR	
20/02/2002 00:00	23.572	24.071	22.905	23.897	383256	EUR	
21/02/2002 00:00	23.588	24.238	23.588	24.155	442959	EUR	
22/02/2002 00:00	23.613	24.03	23.455	23.738	819527	EUR	
25/02/2002 00:00	23.738	24.321	23.738	24.171	602568	EUR	
26/02/2002 00:00	24.238	25.146	24.238	24.796	1045701	EUR	
