date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	35.25	36.59	35.04	36.39	920741	EUR	
09/11/2001 00:00	36.39	36.51	35.25	35.8	791571	EUR	
12/11/2001 00:00	35.8	36.39	34.51	34.72	530429	EUR	
13/11/2001 00:00	35.28	36.81	35.27	36.57	621736	EUR	
14/11/2001 00:00	36.75	37.8	36.36	37.7	807491	EUR	
15/11/2001 00:00	38.49	39.99	37.2	38.74	1297468	EUR	
16/11/2001 00:00	39	40.63	38.54	40.4	857896	EUR	
19/11/2001 00:00	40.85	41.7	39.82	40.5	1094298	EUR	
20/11/2001 00:00	40.97	40.99	39.55	39.75	886242	EUR	
21/11/2001 00:00	40.47	40.47	38.81	39.21	526567	EUR	
22/11/2001 00:00	39.9	39.9	38.23	38.62	618579	EUR	
23/11/2001 00:00	39.05	40.27	38.53	39.28	602654	EUR	
26/11/2001 00:00	39.88	41.48	39.88	41.11	932924	EUR	
27/11/2001 00:00	41.5	42.7	41	41.72	1777253	EUR	
28/11/2001 00:00	41.1	41.78	40	40.4	668935	EUR	
29/11/2001 00:00	40.9	41.24	38.9	39.3	745122	EUR	
30/11/2001 00:00	39.3	40	38.41	38.41	1278084	EUR	
03/12/2001 00:00	38.82	39	36.43	37	824703	EUR	
04/12/2001 00:00	37.12	38.6	37.12	38.6	1150526	EUR	
05/12/2001 00:00	39.71	40.08	38.51	39.81	992878	EUR	
06/12/2001 00:00	40.8	41.63	40.3	40.53	715673	EUR	
07/12/2001 00:00	40.97	41.2	39.1	39.39	514240	EUR	
10/12/2001 00:00	39	39.6	38.6	39.22	416214	EUR	
11/12/2001 00:00	39.19	39.8	38.7	38.7	625229	EUR	
12/12/2001 00:00	39.02	39.25	38.05	38.56	503829	EUR	
13/12/2001 00:00	38.56	39	38.12	38.9	760108	EUR	
14/12/2001 00:00	38	38.8	37.25	37.25	414543	EUR	
17/12/2001 00:00	37.68	37.98	37.26	37.93	382013	EUR	
18/12/2001 00:00	38.4	39.75	38	39.29	763305	EUR	
19/12/2001 00:00	38.51	39.4	37.5	38.95	727814	EUR	
20/12/2001 00:00	38.9	39.2	37.35	37.42	741967	EUR	
21/12/2001 00:00	37.2	38.38	37.01	37.79	614608	EUR	
24/12/2001 00:00	37.79	37.98	37.38	37.81	66338	EUR	
27/12/2001 00:00	37.3	39.8	37.3	39.3	373679	EUR	
28/12/2001 00:00	39.5	39.79	39.31	39.61	412687	EUR	
02/01/2002 00:00	39.63	41.23	39.3	40.45	630577	EUR	
03/01/2002 00:00	40.55	42.95	40.55	42.5	1141310	EUR	
04/01/2002 00:00	42.7	44.1	42.6	42.65	881649	EUR	
07/01/2002 00:00	43	43.65	42.05	42.38	567819	EUR	
08/01/2002 00:00	42.1	42.75	41.76	42.15	794472	EUR	
09/01/2002 00:00	42.15	43.05	42.15	42.51	1101338	EUR	
10/01/2002 00:00	42.15	43.88	42.15	43.2	1078367	EUR	
11/01/2002 00:00	43.3	44.4	43.06	43.56	1393562	EUR	
14/01/2002 00:00	43.25	43.9	42.68	43.36	944932	EUR	
15/01/2002 00:00	43	43.46	42.72	43.3	764147	EUR	
16/01/2002 00:00	43.3	43.3	41.9	42	1003959	EUR	
17/01/2002 00:00	41.9	42.76	41.8	42.63	657067	EUR	
18/01/2002 00:00	42.3	43.3	42.21	43.05	376189	EUR	
21/01/2002 00:00	42.55	43.38	42.55	43.25	523077	EUR	
22/01/2002 00:00	43	44.09	43	43.4	496698	EUR	
23/01/2002 00:00	43.08	44.5	43.08	44.1	1002155	EUR	
24/01/2002 00:00	44.25	44.65	43.81	44.51	812137	EUR	
25/01/2002 00:00	44.53	44.53	43.81	44.25	844912	EUR	
28/01/2002 00:00	44.5	44.99	44.12	44.9	830100	EUR	
29/01/2002 00:00	45	45.75	44.8	45	1285804	EUR	
30/01/2002 00:00	44.4	44.59	43.12	43.75	1329116	EUR	
31/01/2002 00:00	44.62	44.62	44.01	44.4	695005	EUR	
01/02/2002 00:00	43.75	44.5	43.16	44.25	797789	EUR	
04/02/2002 00:00	43.5	44.3	43.05	43.66	1003840	EUR	
05/02/2002 00:00	42.76	43	41.89	42.29	1475985	EUR	
06/02/2002 00:00	42.21	42.9	41.02	41.3	1530780	EUR	
07/02/2002 00:00	41.29	41.29	40.4	40.68	1052521	EUR	
08/02/2002 00:00	40.15	42.05	40.15	41.8	920310	EUR	
11/02/2002 00:00	41.5	42.15	40.15	40.6	877990	EUR	
12/02/2002 00:00	41	41.89	41	41.83	918422	EUR	
13/02/2002 00:00	42.7	44.43	42.7	44.11	2024576	EUR	
14/02/2002 00:00	43.81	46.8	43.75	46.12	2629189	EUR	
15/02/2002 00:00	45.51	46.43	45.41	45.99	1488137	EUR	
18/02/2002 00:00	45.5	46.55	45.4	45.6	461434	EUR	
19/02/2002 00:00	45.5	46.35	44.71	45.4	1528473	EUR	
20/02/2002 00:00	44.9	46.35	44.9	46.17	1348425	EUR	
21/02/2002 00:00	46.51	47.48	46.5	47.42	899643	EUR	
22/02/2002 00:00	47	47.29	46.32	47.05	542517	EUR	
25/02/2002 00:00	47.2	48.1	47.1	47.81	763198	EUR	
26/02/2002 00:00	48.81	49.11	48.33	49	1970227	EUR	
27/02/2002 00:00	49.2	50.2	48.7	49.85	1262576	EUR	
28/02/2002 00:00	49.79	50.9	49.36	50.25	1080709	EUR	
01/03/2002 00:00	50.45	52.5	49.41	52.2	1215716	EUR	
04/03/2002 00:00	53	53.75	52.4	52.8	1423155	EUR	
05/03/2002 00:00	52.05	53.4	52.05	53	903364	EUR	
06/03/2002 00:00	52.4	53.15	51.35	52.2	877822	EUR	
07/03/2002 00:00	52.6	53	51.05	51.9	1321256	EUR	
08/03/2002 00:00	51.1	52	50.6	52	1295262	EUR	
11/03/2002 00:00	51.2	52.9	51.1	51.8	997098	EUR	
12/03/2002 00:00	51.85	52.05	51.25	51.8	860639	EUR	
13/03/2002 00:00	52	53.45	52	52.3	784327	EUR	
14/03/2002 00:00	52.05	53.6	52.05	52.75	526888	EUR	
15/03/2002 00:00	53	55.35	53	55.3	1382713	EUR	
18/03/2002 00:00	54.75	56.1	54.75	55	778121	EUR	
19/03/2002 00:00	55.05	56.3	55.05	56	717909	EUR	
20/03/2002 00:00	55.95	56.45	55.25	55.55	657732	EUR	
21/03/2002 00:00	55.25	57.35	55.25	56.3	715199	EUR	
22/03/2002 00:00	56	56.85	55.65	56.1	775718	EUR	
25/03/2002 00:00	55.55	56.8	55.45	55.9	706061	EUR	
26/03/2002 00:00	55.4	56.6	54.8	56.3	747913	EUR	
27/03/2002 00:00	56.25	56.25	53.7	54.9	2104036	EUR	
28/03/2002 00:00	54.2	55.4	54.2	55	2101403	EUR	
02/04/2002 00:00	55	56	51.55	51.55	4187312	EUR	
03/04/2002 00:00	51.45	51.9	51.3	51.3	7715983	EUR	
04/04/2002 00:00	51.1	51.5	50.5	50.9	2894369	EUR	
05/04/2002 00:00	51.05	51.35	50.5	50.7	1745625	EUR	
08/04/2002 00:00	51.15	51.3	50.2	50.65	1513886	EUR	
09/04/2002 00:00	50.9	51	50.1	51	1539183	EUR	
10/04/2002 00:00	51.4	51.45	50.45	51.4	1511555	EUR	
11/04/2002 00:00	51.6	51.6	51	51.4	978457	EUR	
12/04/2002 00:00	51	51.4	50.55	51.25	879314	EUR	
15/04/2002 00:00	51.75	51.95	51.2	51.6	487514	EUR	
16/04/2002 00:00	51.9	52.6	51.75	52.35	1699353	EUR	
17/04/2002 00:00	52.8	53.3	52.4	52.7	1345074	EUR	
18/04/2002 00:00	52.1	53.7	52.1	53	1789695	EUR	
19/04/2002 00:00	53.05	53.2	52.7	52.7	776789	EUR	
22/04/2002 00:00	52.5	52.95	52.1	52.2	863835	EUR	
23/04/2002 00:00	52.2	52.65	51.55	52.15	1182173	EUR	
24/04/2002 00:00	52.1	53.1	51.6	51.8	1273218	EUR	
25/04/2002 00:00	51.8	52.4	50	51.25	1913245	EUR	
26/04/2002 00:00	51.15	51.45	50.55	51.1	938727	EUR	
29/04/2002 00:00	50.5	50.85	50	50.75	896552	EUR	
30/04/2002 00:00	51.1	51.95	49.8	51.45	2889918	EUR	
02/05/2002 00:00	51.45	52.9	51.25	52.45	1208288	EUR	
03/05/2002 00:00	52.85	53.4	51.05	52	1500674	EUR	
06/05/2002 00:00	51.45	53.4	51.35	52.8	753131	EUR	
07/05/2002 00:00	51.9	53	51.25	52.25	1490434	EUR	
08/05/2002 00:00	51.55	53.85	51.55	53.35	1036204	EUR	
09/05/2002 00:00	54.55	56.15	54.55	54.65	1843385	EUR	
10/05/2002 00:00	54.3	55.95	54.3	55.8	1795341	EUR	
13/05/2002 00:00	55.1	56.05	55.1	55.55	1616791	EUR	
14/05/2002 00:00	55.5	56.15	55.15	56.15	1284087	EUR	
15/05/2002 00:00	56.4	56.4	54.75	55	1472018	EUR	
