date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	8.98	9	8.59	8.9	317470	EUR	
09/11/2001 00:00	8.82	8.88	8.51	8.56	156970	EUR	
12/11/2001 00:00	8.5	8.83	8.25	8.37	294015	EUR	
13/11/2001 00:00	8.42	9.26	8.37	9.09	1051140	EUR	
14/11/2001 00:00	9.07	9.43	9.03	9.19	605235	EUR	
15/11/2001 00:00	9.18	11.1	9.17	11.06	1873070	EUR	
16/11/2001 00:00	11.06	11.55	10.54	11.32	836030	EUR	
19/11/2001 00:00	11.12	11.32	10.82	10.97	468395	EUR	
20/11/2001 00:00	10.98	11.06	10.3	10.3	457210	EUR	
21/11/2001 00:00	10.29	10.94	10.29	10.8	407825	EUR	
22/11/2001 00:00	10.85	10.97	10.82	10.97	264070	EUR	
23/11/2001 00:00	10.89	10.97	10.61	10.83	180390	EUR	
26/11/2001 00:00	10.63	11.23	10.63	10.77	495290	EUR	
27/11/2001 00:00	10.81	11.16	10.73	10.77	478370	EUR	
28/11/2001 00:00	10.81	10.96	10.31	10.55	218050	EUR	
29/11/2001 00:00	10.42	10.43	10.3	10.3	189395	EUR	
30/11/2001 00:00	10.46	10.61	10.41	10.53	696870	EUR	
03/12/2001 00:00	10.41	10.57	10.29	10.29	283235	EUR	
04/12/2001 00:00	10.29	10.78	10.29	10.73	337400	EUR	
05/12/2001 00:00	10.89	11.47	10.89	11.43	426250	EUR	
06/12/2001 00:00	11.57	12.03	11.48	11.48	704645	EUR	
07/12/2001 00:00	11.49	12.43	11.49	12.14	851755	EUR	
10/12/2001 00:00	12.14	12.82	11.83	12.3	801135	EUR	
11/12/2001 00:00	12.57	12.94	12.09	12.31	1094180	EUR	
12/12/2001 00:00	11.69	12.31	11.56	11.56	382440	EUR	
13/12/2001 00:00	11.57	11.65	11	11.13	429900	EUR	
14/12/2001 00:00	10.96	11.4	10.8	11.07	316895	EUR	
17/12/2001 00:00	10.97	11.62	10.89	11.49	354750	EUR	
18/12/2001 00:00	11.49	11.54	11.14	11.25	159365	EUR	
19/12/2001 00:00	11.14	11.31	10.39	10.61	368120	EUR	
20/12/2001 00:00	10.46	10.9	10.46	10.64	295845	EUR	
21/12/2001 00:00	10.63	11.31	10.54	11.31	328020	EUR	
24/12/2001 00:00	11.31	11.31	10.99	11.31	118065	EUR	
27/12/2001 00:00	11.14	11.37	11.14	11.31	220350	EUR	
28/12/2001 00:00	11.25	11.8	11.18	11.79	195235	EUR	
02/01/2002 00:00	11.64	12.01	11.4	12.01	88470	EUR	
03/01/2002 00:00	11.91	12.6	11.8	12.17	465750	EUR	
04/01/2002 00:00	12.36	12.6	12	12.17	741650	EUR	
07/01/2002 00:00	12.17	12.27	11.85	11.88	287575	EUR	
08/01/2002 00:00	11.76	11.99	11.68	11.9	138635	EUR	
09/01/2002 00:00	11.91	12.51	11.87	12.51	432270	EUR	
10/01/2002 00:00	12.19	12.46	12.1	12.17	201530	EUR	
11/01/2002 00:00	12.28	12.34	12.02	12.26	127365	EUR	
14/01/2002 00:00	12.31	12.31	11.73	11.83	181270	EUR	
15/01/2002 00:00	11.83	12.41	11.57	12.37	484560	EUR	
16/01/2002 00:00	12.1	12.16	11.69	12.06	325875	EUR	
17/01/2002 00:00	11.77	12.34	11.77	12.07	135135	EUR	
18/01/2002 00:00	11.75	12.16	11.55	11.66	197825	EUR	
21/01/2002 00:00	11.83	11.83	11.36	11.65	267345	EUR	
22/01/2002 00:00	11.63	12.15	11.49	11.89	354570	EUR	
23/01/2002 00:00	11.82	12.34	11.72	11.84	415585	EUR	
24/01/2002 00:00	11.95	12.25	11.87	11.97	253860	EUR	
25/01/2002 00:00	12.03	12.03	11.78	11.86	143035	EUR	
28/01/2002 00:00	11.86	12.04	11.86	12	87990	EUR	
29/01/2002 00:00	11.91	12.29	11.91	12.17	312295	EUR	
30/01/2002 00:00	11.97	12.14	11.78	12.03	214280	EUR	
31/01/2002 00:00	12.13	12.26	11.97	12.15	159105	EUR	
01/02/2002 00:00	12.25	12.25	11.97	12.14	144385	EUR	
04/02/2002 00:00	12.15	12.15	11.85	11.91	105100	EUR	
05/02/2002 00:00	11.73	11.98	11.4	11.69	238310	EUR	
06/02/2002 00:00	11.57	11.74	10.89	11.37	667915	EUR	
07/02/2002 00:00	11.14	11.41	10.9	11.37	244130	EUR	
08/02/2002 00:00	11.31	11.91	11.17	11.91	219370	EUR	
11/02/2002 00:00	11.91	11.95	11.52	11.91	299905	EUR	
12/02/2002 00:00	11.91	12	11.67	11.91	125705	EUR	
13/02/2002 00:00	11.75	12.02	11.64	11.91	461280	EUR	
14/02/2002 00:00	11.99	12	11.69	11.83	168830	EUR	
15/02/2002 00:00	11.83	11.83	11.17	11.23	411515	EUR	
18/02/2002 00:00	11.28	11.63	10.88	11.03	539545	EUR	
19/02/2002 00:00	11.13	11.55	11.13	11.45	293670	EUR	
20/02/2002 00:00	11.44	11.54	11.19	11.45	337695	EUR	
21/02/2002 00:00	11.57	11.83	11.46	11.66	133325	EUR	
22/02/2002 00:00	11.66	11.67	11.16	11.66	146690	EUR	
25/02/2002 00:00	11.55	11.71	11.42	11.65	211470	EUR	
26/02/2002 00:00	11.66	11.97	11.53	11.82	3120530	EUR	
27/02/2002 00:00	11.79	12	11.79	12	122065	EUR	
28/02/2002 00:00	11.96	12	11.85	11.96	93845	EUR	
01/03/2002 00:00	12	12.34	11.85	12.33	163165	EUR	
04/03/2002 00:00	12.34	12.94	12.34	12.65	327605	EUR	
05/03/2002 00:00	12.69	12.81	12.29	12.46	193200	EUR	
06/03/2002 00:00	12.51	12.68	12.37	12.68	198355	EUR	
07/03/2002 00:00	12.79	12.93	12.53	12.75	453150	EUR	
08/03/2002 00:00	12.75	12.75	12.37	12.51	280505	EUR	
11/03/2002 00:00	12.62	12.86	12.57	12.62	739980	EUR	
12/03/2002 00:00	12.82	12.82	11.95	12.25	245985	EUR	
13/03/2002 00:00	12.26	12.49	12.26	12.35	129650	EUR	
14/03/2002 00:00	12.5	12.5	12.09	12.37	132915	EUR	
15/03/2002 00:00	12.41	12.48	12.09	12.21	172820	EUR	
18/03/2002 00:00	12.22	12.86	12.22	12.32	297855	EUR	
19/03/2002 00:00	12.57	12.57	12.21	12.22	113185	EUR	
20/03/2002 00:00	12.23	12.33	11.93	12	137240	EUR	
21/03/2002 00:00	11.91	11.91	11.52	11.78	290745	EUR	
22/03/2002 00:00	11.8	11.83	11.4	11.83	310595	EUR	
25/03/2002 00:00	11.83	11.83	11.43	11.63	216435	EUR	
26/03/2002 00:00	11.44	11.93	11.43	11.67	226875	EUR	
27/03/2002 00:00	11.71	11.74	11.62	11.66	75820	EUR	
28/03/2002 00:00	11.78	11.9	11.63	11.85	227250	EUR	
02/04/2002 00:00	11.86	12.17	11.49	11.49	443590	EUR	
03/04/2002 00:00	11.66	11.66	11.16	11.35	251185	EUR	
04/04/2002 00:00	11.18	11.72	11.18	11.44	296270	EUR	
05/04/2002 00:00	11.4	11.71	11.4	11.54	155280	EUR	
08/04/2002 00:00	11.33	11.55	11.01	11.01	383580	EUR	
09/04/2002 00:00	11.07	11.3	11.07	11.14	126410	EUR	
10/04/2002 00:00	11.02	11.48	10.83	11.48	288030	EUR	
11/04/2002 00:00	11.47	11.49	11.16	11.16	95745	EUR	
12/04/2002 00:00	11.14	11.14	10.94	11.02	94210	EUR	
15/04/2002 00:00	10.91	11.16	10.91	11.11	76450	EUR	
16/04/2002 00:00	11.16	11.82	11.09	11.82	311030	EUR	
17/04/2002 00:00	11.83	12.09	11.68	11.73	217100	EUR	
18/04/2002 00:00	11.73	11.8	11.41	11.49	78335	EUR	
19/04/2002 00:00	11.42	11.79	11.16	11.31	209155	EUR	
22/04/2002 00:00	11.19	11.45	11.01	11.14	144500	EUR	
23/04/2002 00:00	11.11	11.66	10.91	11.19	283760	EUR	
24/04/2002 00:00	11.06	11.3	10.76	10.76	175790	EUR	
25/04/2002 00:00	10.7	10.7	10.15	10.37	395740	EUR	
26/04/2002 00:00	10.63	10.65	10.44	10.6	140740	EUR	
29/04/2002 00:00	10.46	10.96	10.44	10.88	117435	EUR	
30/04/2002 00:00	10.66	10.93	10.63	10.89	110770	EUR	
02/05/2002 00:00	10.89	10.96	10.42	10.8	134190	EUR	
03/05/2002 00:00	10.46	10.54	9.94	10.07	696510	EUR	
06/05/2002 00:00	10.11	10.29	10.02	10.13	44210	EUR	
07/05/2002 00:00	9.87	10.49	9.63	10.22	3246755	EUR	
