date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	39.67	40.9	39.52	40.75	1537487	EUR	
09/11/2001 00:00	40.25	41.7	39.8	40.12	2044860	EUR	
12/11/2001 00:00	39.98	40	39.25	39.52	1352163	EUR	
13/11/2001 00:00	39.65	40.33	39.65	40.25	1062806	EUR	
14/11/2001 00:00	40.4	41.22	40	40.92	1133558	EUR	
15/11/2001 00:00	41.25	41.65	41	41.25	817377	EUR	
16/11/2001 00:00	41.25	41.9	40.88	41.58	806169	EUR	
19/11/2001 00:00	41.48	42.25	41.3	42.05	786061	EUR	
20/11/2001 00:00	42.3	42.38	41.45	41.98	746757	EUR	
21/11/2001 00:00	41.52	42.25	41.42	41.52	962358	EUR	
22/11/2001 00:00	41.25	42.12	41.25	42	715845	EUR	
23/11/2001 00:00	42.15	42.15	41.55	42	1041818	EUR	
26/11/2001 00:00	41.8	42.75	41.8	41.88	1048174	EUR	
27/11/2001 00:00	42.12	42.75	41.78	41.82	1568991	EUR	
28/11/2001 00:00	41.38	41.72	40.2	40.88	1099910	EUR	
29/11/2001 00:00	40.38	41.5	40.38	40.58	1171307	EUR	
30/11/2001 00:00	40.52	41.22	40.3	40.72	804894	EUR	
03/12/2001 00:00	40.42	41.12	40.17	40.65	617449	EUR	
04/12/2001 00:00	40.92	41.95	40.3	41.95	1048498	EUR	
05/12/2001 00:00	41.95	42.5	41.55	42.12	1452723	EUR	
06/12/2001 00:00	42.12	42.75	41.08	41.7	1298774	EUR	
07/12/2001 00:00	41.5	42.38	41.5	42.18	1418059	EUR	
10/12/2001 00:00	42	42.38	41.55	42.22	985318	EUR	
11/12/2001 00:00	41.8	42.22	41.62	42.22	1762892	EUR	
12/12/2001 00:00	41.8	42.4	41.65	41.8	978570	EUR	
13/12/2001 00:00	42	42.22	41.12	41.12	1780519	EUR	
14/12/2001 00:00	41	41.62	40.83	40.88	912874	EUR	
17/12/2001 00:00	40.83	41.75	40.25	41.72	1285351	EUR	
18/12/2001 00:00	41.75	41.8	40.85	41.42	1143206	EUR	
19/12/2001 00:00	41	41.58	40.58	41.25	900286	EUR	
20/12/2001 00:00	40.9	41.7	40.83	41.02	860842	EUR	
21/12/2001 00:00	40.75	42.18	40.75	41.8	904318	EUR	
24/12/2001 00:00	41.5	42	41.25	42	115436	EUR	
27/12/2001 00:00	41.7	42.48	41.62	42.38	906190	EUR	
28/12/2001 00:00	42.48	42.72	41.88	42.38	790338	EUR	
02/01/2002 00:00	42.02	42.8	41.5	41.72	469573	EUR	
03/01/2002 00:00	41.88	43.62	41.68	42.88	1445851	EUR	
04/01/2002 00:00	42.88	43.62	42.38	43.58	1288883	EUR	
07/01/2002 00:00	43.2	43.75	42.88	43.75	1109054	EUR	
08/01/2002 00:00	43.25	43.75	42.78	43.68	1468987	EUR	
09/01/2002 00:00	43.28	44.12	42.92	44.12	2216009	EUR	
10/01/2002 00:00	43.75	43.98	42.8	43.55	1791515	EUR	
11/01/2002 00:00	43.25	43.6	42.92	43.38	926485	EUR	
14/01/2002 00:00	43	43.6	42.02	42.28	1334439	EUR	
15/01/2002 00:00	42.25	43.25	42.08	43.25	1548979	EUR	
16/01/2002 00:00	42.68	42.92	41.52	41.72	1108423	EUR	
17/01/2002 00:00	41.88	43.08	41.42	42.68	1391011	EUR	
18/01/2002 00:00	42.38	42.98	42	42	985506	EUR	
21/01/2002 00:00	41.65	41.98	41.1	41.6	1258511	EUR	
22/01/2002 00:00	41.75	41.85	41.2	41.48	2047280	EUR	
23/01/2002 00:00	41.28	41.5	40.88	41.48	1889764	EUR	
24/01/2002 00:00	41.5	41.75	41.08	41.2	1414123	EUR	
25/01/2002 00:00	41.38	41.68	41.12	41.4	1438431	EUR	
28/01/2002 00:00	41.3	42.9	41.3	42.42	1665819	EUR	
29/01/2002 00:00	41.9	42.75	40.62	41	5869863	EUR	
30/01/2002 00:00	40.88	41.75	40.55	40.75	2881189	EUR	
31/01/2002 00:00	41.2	41.82	41.1	41.38	1349575	EUR	
01/02/2002 00:00	42.02	42.42	41.38	42.12	1644656	EUR	
04/02/2002 00:00	42	42.1	40.58	40.62	1872980	EUR	
05/02/2002 00:00	40.5	41.28	40.25	40.75	1962872	EUR	
06/02/2002 00:00	40.75	41.9	40.52	41.5	1605288	EUR	
07/02/2002 00:00	41.15	42.42	41.15	42.22	1828860	EUR	
08/02/2002 00:00	41	41.45	40.75	40.92	5111450	EUR	
11/02/2002 00:00	41.1	41.12	40.8	41.12	2489449	EUR	
12/02/2002 00:00	41.05	41.48	41.05	41.08	1981332	EUR	
13/02/2002 00:00	41.3	41.38	40.88	41.32	1328086	EUR	
14/02/2002 00:00	41.3	42.22	41.18	41.78	1646939	EUR	
15/02/2002 00:00	41.72	42.5	41.58	42	1674663	EUR	
18/02/2002 00:00	41.8	42.18	41.8	41.9	546581	EUR	
19/02/2002 00:00	41.52	42.3	41.5	42	2187573	EUR	
20/02/2002 00:00	42	42.2	41.52	42.02	1149622	EUR	
21/02/2002 00:00	42.4	43.35	42.08	43	2241496	EUR	
22/02/2002 00:00	42.55	43.35	42.52	42.62	1768667	EUR	
25/02/2002 00:00	42.62	43.75	42.55	43.5	1985740	EUR	
26/02/2002 00:00	43.75	44.82	43.45	44.15	7900432	EUR	
27/02/2002 00:00	44.12	44.95	44.12	44.85	2320801	EUR	
28/02/2002 00:00	44.75	45.12	44.58	44.88	2147248	EUR	
01/03/2002 00:00	44.75	44.75	43.4	44	4257688	EUR	
04/03/2002 00:00	44	45.35	44	45	1869168	EUR	
05/03/2002 00:00	45	45.85	44.52	45.48	2253740	EUR	
06/03/2002 00:00	45.25	45.88	45.12	45.75	1584387	EUR	
07/03/2002 00:00	45.75	46.75	45.58	46.3	2447489	EUR	
08/03/2002 00:00	45.9	46.52	45.9	46.5	2073981	EUR	
11/03/2002 00:00	46.12	46.45	45.48	45.68	1750052	EUR	
12/03/2002 00:00	45.4	45.95	45.12	45.9	1768048	EUR	
13/03/2002 00:00	45.8	46.32	45.58	45.88	2358629	EUR	
14/03/2002 00:00	46	46.52	45.85	46.2	1153651	EUR	
15/03/2002 00:00	45.8	46.45	45.75	46	1457475	EUR	
18/03/2002 00:00	46	46.5	45.92	46.3	1100786	EUR	
19/03/2002 00:00	46.4	47.05	46.25	46.98	1418894	EUR	
20/03/2002 00:00	46.7	47.28	46.7	47.02	1880488	EUR	
21/03/2002 00:00	47.12	47.18	46.65	46.95	1223494	EUR	
22/03/2002 00:00	46.8	47.42	46.8	47.25	1940564	EUR	
25/03/2002 00:00	47.18	47.45	46.88	46.88	1761023	EUR	
26/03/2002 00:00	46.88	46.92	46.4	46.85	2072177	EUR	
27/03/2002 00:00	46.98	46.98	46.5	46.72	1659663	EUR	
28/03/2002 00:00	46.75	47.15	46.5	46.78	2182796	EUR	
02/04/2002 00:00	46.6	47.02	46.35	46.4	1246991	EUR	
03/04/2002 00:00	46.4	46.68	46.05	46.4	1650516	EUR	
04/04/2002 00:00	46.25	46.38	45.9	46.18	1869088	EUR	
05/04/2002 00:00	46.02	46.2	45.62	45.98	1704379	EUR	
08/04/2002 00:00	45.85	46.22	45.38	45.55	1329226	EUR	
09/04/2002 00:00	45.52	45.68	44.9	45.12	1341999	EUR	
10/04/2002 00:00	45	45.62	44.85	45.28	1521552	EUR	
11/04/2002 00:00	45.05	45.6	45.05	45.15	1120574	EUR	
12/04/2002 00:00	45.4	45.65	45.05	45.4	1011810	EUR	
15/04/2002 00:00	45.08	46.5	45.08	46.25	1757227	EUR	
16/04/2002 00:00	46.15	47.2	46.15	46.82	2460513	EUR	
17/04/2002 00:00	47.15	47.8	46.75	47.72	2256049	EUR	
18/04/2002 00:00	47.62	48.5	47.62	48	2016452	EUR	
19/04/2002 00:00	47.72	48.48	47.7	47.85	1145550	EUR	
22/04/2002 00:00	48.22	48.68	47.92	48.68	1741211	EUR	
23/04/2002 00:00	48.5	48.7	47.75	48.15	1944260	EUR	
24/04/2002 00:00	47.82	48.58	47.8	48.35	863741	EUR	
25/04/2002 00:00	48.5	48.58	47.18	47.7	1695164	EUR	
26/04/2002 00:00	47.02	47.88	46.95	47.2	2114232	EUR	
29/04/2002 00:00	47	47.72	46.82	47.28	1559511	EUR	
30/04/2002 00:00	47.2	47.62	46.8	47.5	2437189	EUR	
02/05/2002 00:00	47.6	48.05	47.45	47.62	2123752	EUR	
03/05/2002 00:00	47.28	48.2	47.22	47.6	1265651	EUR	
06/05/2002 00:00	47.75	47.95	47.25	47.5	526477	EUR	
07/05/2002 00:00	47.6	47.62	46.35	47	1484075	EUR	
08/05/2002 00:00	47.08	47.6	46.95	47.4	1172839	EUR	
09/05/2002 00:00	47.75	47.88	47.02	47.52	457921	EUR	
10/05/2002 00:00	47.15	48.2	47.08	47.88	1037862	EUR	
13/05/2002 00:00	47.75	48.38	47.75	48.25	1167402	EUR	
14/05/2002 00:00	48.05	48.72	48.05	48.22	895037	EUR	
15/05/2002 00:00	48.45	48.88	48.45	48.75	1336475	EUR	
16/05/2002 00:00	48.62	48.98	48.4	48.62	907905	EUR	
17/05/2002 00:00	48.52	49.05	48.38	48.5	703237	EUR	
20/05/2002 00:00	48.72	48.95	48.38	48.62	427969	EUR	
21/05/2002 00:00	48.6	48.85	48.15	48.48	1107230	EUR	
22/05/2002 00:00	48.5	48.58	48.02	48.15	924742	EUR	
23/05/2002 00:00	48.15	48.48	48.1	48.15	1283819	EUR	
24/05/2002 00:00	48.48	48.58	48.08	48.3	1575959	EUR	
27/05/2002 00:00	48.08	48.7	48.08	48.5	760978	EUR	
28/05/2002 00:00	48.35	48.7	48.35	48.4	1017002	EUR	
29/05/2002 00:00	48.3	48.65	47.95	48.6	7591839	EUR	
30/05/2002 00:00	48.52	48.55	47.38	47.7	2071308	EUR	
31/05/2002 00:00	47.3	47.65	47.18	47.5	1389227	EUR	
03/06/2002 00:00	47.25	47.6	47.12	47.15	626078	EUR	
04/06/2002 00:00	47.08	47.08	46.25	46.48	1278930	EUR	
05/06/2002 00:00	46.68	46.98	45.92	45.98	3058134	EUR	
06/06/2002 00:00	46.08	46.45	45.88	45.88	1479611	EUR	
07/06/2002 00:00	45.88	46	45.08	45.08	1757032	EUR	
10/06/2002 00:00	45.3	45.98	45.2	45.8	1610348	EUR	
11/06/2002 00:00	45.8	46.5	45.5	46.08	4669465	EUR	
12/06/2002 00:00	46.22	46.45	45.75	46.02	1342647	EUR	
13/06/2002 00:00	46.22	46.62	45.2	45.7	1177126	EUR	
14/06/2002 00:00	45.5	45.5	43.62	44.5	2872518	EUR	
17/06/2002 00:00	44.5	45.92	44.3	45.78	1753432	EUR	
18/06/2002 00:00	46.18	46.18	45.38	45.95	3536735	EUR	
19/06/2002 00:00	45.58	46	45.4	46	1472819	EUR	
20/06/2002 00:00	45.78	45.85	45.05	45.08	2032916	EUR	
21/06/2002 00:00	44.82	45.5	44.05	45.4	3149078	EUR	
24/06/2002 00:00	44.95	44.95	42.68	44.48	3131011	EUR	
25/06/2002 00:00	44.48	44.88	43.5	44.05	2117572	EUR	
26/06/2002 00:00	42.62	44.42	42.28	44.38	4413760	EUR	
27/06/2002 00:00	44.31	44.8	43.75	44.1	1373933	EUR	
28/06/2002 00:00	45.3	45.45	44.52	45.45	2588077	EUR	
01/07/2002 00:00	45.08	45.48	44.75	45.05	1487333	EUR	
02/07/2002 00:00	44.8	45.23	44.48	44.87	2182690	EUR	
03/07/2002 00:00	44.56	45.07	43.38	44.04	1563644	EUR	
04/07/2002 00:00	44.64	44.79	43.5	44	990193	EUR	
05/07/2002 00:00	44.39	45.4	44.21	45	1266335	EUR	
08/07/2002 00:00	44.93	46.1	44.5	45.09	1068540	EUR	
09/07/2002 00:00	45.45	45.45	44	44.78	1410887	EUR	
10/07/2002 00:00	44.18	44.74	43.58	43.58	1125891	EUR	
11/07/2002 00:00	42.85	43.3	42.16	42.19	1952148	EUR	
12/07/2002 00:00	42.94	43.29	41.6	42.2	1346232	EUR	
15/07/2002 00:00	42.37	43.08	40.65	40.78	1582870	EUR	
16/07/2002 00:00	41.39	41.69	39.25	39.5	2274584	EUR	
17/07/2002 00:00	39.56	40.51	38.75	40.33	2011156	EUR	
18/07/2002 00:00	40.71	41.19	39.31	39.56	2000872	EUR	
19/07/2002 00:00	40.19	40.19	37.75	38.4	2007661	EUR	
22/07/2002 00:00	38.15	38.87	37.45	37.45	1628540	EUR	
23/07/2002 00:00	37.45	38.37	36.12	36.97	1906720	EUR	
24/07/2002 00:00	36.5	37.38	34.88	36.25	2830115	EUR	
25/07/2002 00:00	37.5	37.95	35.75	36	2376584	EUR	
26/07/2002 00:00	34.98	34.98	24.5	27.9	18049867	EUR	
29/07/2002 00:00	28.9	28.9	27	28.75	4559783	EUR	
30/07/2002 00:00	29.5	30.01	28.8	29.99	5326193	EUR	
31/07/2002 00:00	29.75	31.2	29.42	30.48	4916337	EUR	
