date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	77	79	76.5	77.05	2483983	EUR	
09/11/2001 00:00	76.55	78.45	76.35	77.25	1510213	EUR	
12/11/2001 00:00	77.25	77.4	71.1	75	1426948	EUR	
13/11/2001 00:00	75.4	78.1	75.25	77.75	1349510	EUR	
14/11/2001 00:00	76.9	79.2	76.25	77.15	1358855	EUR	
15/11/2001 00:00	78.2	78.95	74.55	75.9	1445841	EUR	
16/11/2001 00:00	76.9	77	74.1	76.05	1718141	EUR	
19/11/2001 00:00	75.6	77.15	73.65	74	1412410	EUR	
20/11/2001 00:00	73.6	75	73.15	74	1520464	EUR	
21/11/2001 00:00	74	76.5	74	74.75	1518408	EUR	
22/11/2001 00:00	75.7	76.65	75.25	75.8	895306	EUR	
23/11/2001 00:00	76.85	77.3	75.85	76.2	2302987	EUR	
26/11/2001 00:00	76.8	76.8	74.8	75	1826867	EUR	
27/11/2001 00:00	75.3	75.95	74.9	75	1947286	EUR	
28/11/2001 00:00	74.7	77	74.6	76.8	6446082	EUR	
29/11/2001 00:00	76.4	77.25	75.75	76.2	2148257	EUR	
30/11/2001 00:00	77.7	77.9	76.4	77.4	3381389	EUR	
03/12/2001 00:00	76.5	77.6	76	77.4	1243122	EUR	
04/12/2001 00:00	77.35	78.4	76.7	78.4	1649131	EUR	
05/12/2001 00:00	78.55	78.8	77.45	78.3	1489642	EUR	
06/12/2001 00:00	77.75	78.15	77.15	78	2078161	EUR	
07/12/2001 00:00	77.5	78.45	77.15	78.05	1476487	EUR	
10/12/2001 00:00	78.5	79	77.05	77.8	1350694	EUR	
11/12/2001 00:00	78	78.8	77.5	78	1570060	EUR	
12/12/2001 00:00	77.75	77.75	76.05	76.05	2300393	EUR	
13/12/2001 00:00	76.85	77.2	75.25	76.25	1562092	EUR	
14/12/2001 00:00	76.4	76.4	73.8	73.95	2028312	EUR	
17/12/2001 00:00	74.9	77.2	74.25	76	1498042	EUR	
18/12/2001 00:00	76.8	77.4	76.15	76.15	1570766	EUR	
19/12/2001 00:00	77.55	77.55	76.5	77	1389427	EUR	
20/12/2001 00:00	77.3	80.6	77.15	80	1925949	EUR	
21/12/2001 00:00	79.75	83.3	79.1	83.3	2143740	EUR	
24/12/2001 00:00	83.3	83.8	82.2	83.5	386067	EUR	
27/12/2001 00:00	83.7	85.8	83.7	85.8	1319349	EUR	
28/12/2001 00:00	85.5	86.5	83.2	83.8	1053533	EUR	
02/01/2002 00:00	83.75	83.75	81.2	82.5	1200820	EUR	
03/01/2002 00:00	82.75	83	80.9	81.2	1547830	EUR	
04/01/2002 00:00	81.05	81.6	79.65	80.85	1546777	EUR	
07/01/2002 00:00	80.45	80.95	79.2	79.8	878097	EUR	
08/01/2002 00:00	80	80.75	79.1	79.15	1876134	EUR	
09/01/2002 00:00	79.45	80.95	78.6	80.95	1742696	EUR	
10/01/2002 00:00	81	81.45	78.45	79.15	1681714	EUR	
11/01/2002 00:00	79.55	81.15	79.55	80.5	1445397	EUR	
14/01/2002 00:00	80	80	78.65	79	779612	EUR	
