date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	22.51	22.725	22.3	22.7	1814510	EUR	
09/11/2001 00:00	22.25	23.7	22.25	23.5	1657132	EUR	
12/11/2001 00:00	23.5	23.705	22.6	23.325	1462088	EUR	
13/11/2001 00:00	23.5	23.825	23.155	23.825	1588112	EUR	
14/11/2001 00:00	23.9	24.73	23.65	24.625	2254538	EUR	
15/11/2001 00:00	24.91	27	24.77	26.75	3767040	EUR	
16/11/2001 00:00	26.1	28.6	26.1	27.45	2370882	EUR	
19/11/2001 00:00	27.975	27.975	26.325	27.25	1396928	EUR	
20/11/2001 00:00	27.1	27.1	25.125	25.9	2646188	EUR	
21/11/2001 00:00	25.5	26.9	24.81	26.5	2513924	EUR	
22/11/2001 00:00	26.075	26.425	25.35	25.85	1114750	EUR	
23/11/2001 00:00	25.5	26.5	24.825	26.5	1976264	EUR	
26/11/2001 00:00	26.625	27.5	26.025	26.25	2915708	EUR	
27/11/2001 00:00	26	26.1	25.45	25.775	1787394	EUR	
28/11/2001 00:00	25.25	25.85	24.85	25.5	10780090	EUR	
29/11/2001 00:00	25.3	25.85	24.91	24.95	1219688	EUR	
30/11/2001 00:00	24.915	25.65	24.9	25.55	1037936	EUR	
03/12/2001 00:00	25.025	25.6	24.745	25.4	887286	EUR	
04/12/2001 00:00	25.25	25.8	25	25.8	1133584	EUR	
05/12/2001 00:00	26.225	27.95	26	27.475	1787010	EUR	
06/12/2001 00:00	27.5	29.075	27.05	28.25	3160290	EUR	
07/12/2001 00:00	28.025	28.2	26.675	27.75	1398784	EUR	
10/12/2001 00:00	26.8	27.45	26.5	26.675	1288390	EUR	
11/12/2001 00:00	26.925	26.925	26.2	26.4	1123670	EUR	
12/12/2001 00:00	26.45	26.925	25.975	26.5	982200	EUR	
13/12/2001 00:00	26.75	27.05	25.925	26.5	1625708	EUR	
14/12/2001 00:00	26.5	26.7	25.975	26.3	1045090	EUR	
17/12/2001 00:00	25.925	26.575	25.25	26.175	1957414	EUR	
18/12/2001 00:00	26.025	27.525	26.025	27.525	1936624	EUR	
19/12/2001 00:00	27.3	27.5	26.4	27.45	1991882	EUR	
20/12/2001 00:00	27.05	27.35	25.925	26.075	1205290	EUR	
21/12/2001 00:00	25.8	26.3	25.675	26.1	1310350	EUR	
24/12/2001 00:00	25.6	26.1	25.525	25.825	115032	EUR	
27/12/2001 00:00	25.95	26.2	25.275	25.95	1424606	EUR	
28/12/2001 00:00	26.325	27.475	25.8	27	959098	EUR	
02/01/2002 00:00	27.4	27.4	26.325	26.325	793720	EUR	
03/01/2002 00:00	26.5	27.6	26.45	27.6	1685274	EUR	
04/01/2002 00:00	27.5	28.625	27.25	28.2	2214774	EUR	
07/01/2002 00:00	28	28.6	27.55	27.55	1372376	EUR	
08/01/2002 00:00	27.6	28.525	27.1	27.275	1641660	EUR	
09/01/2002 00:00	27.025	27.3	26.7	27.075	1298712	EUR	
10/01/2002 00:00	27	27.975	26.9	27.45	2263672	EUR	
11/01/2002 00:00	27.6	27.9	27.075	27.725	1262258	EUR	
14/01/2002 00:00	27.275	27.35	26.475	26.875	1101950	EUR	
15/01/2002 00:00	26.5	26.875	25.75	26.6	1480538	EUR	
16/01/2002 00:00	26.225	26.8	25.975	26.525	729768	EUR	
17/01/2002 00:00	25.975	26.175	25.225	25.875	3676184	EUR	
18/01/2002 00:00	25.525	26.2	25.5	25.675	1277456	EUR	
21/01/2002 00:00	25.5	25.9	25.5	25.75	1108604	EUR	
22/01/2002 00:00	25.575	26.1	25.45	25.55	1391922	EUR	
23/01/2002 00:00	25.25	25.3	24.14	24.45	3170968	EUR	
24/01/2002 00:00	24.75	25.65	24.55	25	2338364	EUR	
25/01/2002 00:00	25.475	26.425	25.4	25.5	2461566	EUR	
28/01/2002 00:00	25.775	27	25.65	26.125	2124972	EUR	
29/01/2002 00:00	25.95	26.4	25.5	25.65	3537378	EUR	
30/01/2002 00:00	25.5	25.825	25.125	25.675	1499990	EUR	
31/01/2002 00:00	26.3	26.7	25.55	26.25	2895584	EUR	
01/02/2002 00:00	26.25	27.275	26.025	26.5	1504614	EUR	
04/02/2002 00:00	26.875	26.875	25.7	25.9	863300	EUR	
05/02/2002 00:00	25.575	26.1	24.925	24.925	1455786	EUR	
06/02/2002 00:00	24.8	25.25	24.375	24.9	2324626	EUR	
07/02/2002 00:00	24.4	26.35	24.4	26.175	2590884	EUR	
08/02/2002 00:00	25.825	26.3	25.35	25.55	1022260	EUR	
11/02/2002 00:00	25.55	26.75	25.325	26.5	1003504	EUR	
12/02/2002 00:00	26.55	26.7	26.1	26.1	1149152	EUR	
13/02/2002 00:00	26.45	26.45	25.45	25.75	1128056	EUR	
14/02/2002 00:00	26.375	27.575	26.1	26.975	3337790	EUR	
15/02/2002 00:00	27	28.175	27	27.65	2542690	EUR	
18/02/2002 00:00	27.25	27.65	27.25	27.325	1073670	EUR	
19/02/2002 00:00	27.4	27.65	27.025	27.25	2473044	EUR	
20/02/2002 00:00	27.15	27.25	26.1	26.5	2215288	EUR	
21/02/2002 00:00	27.15	27.55	27.15	27.15	1343862	EUR	
22/02/2002 00:00	26.9	27.3	26.25	26.675	1159204	EUR	
25/02/2002 00:00	26.55	27.025	25.9	27.025	1576406	EUR	
26/02/2002 00:00	27.45	28.275	27.275	28.1	2139654	EUR	
27/02/2002 00:00	28.3	28.725	28.2	28.2	2621372	EUR	
28/02/2002 00:00	27.9	29	27.9	29	2206790	EUR	
01/03/2002 00:00	28.65	29.1	28.6	28.825	1687454	EUR	
04/03/2002 00:00	28.975	29.2	28.05	28.85	2949030	EUR	
