date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	47.551	48.881	47.424	48.881	2822484	EUR	
09/11/2001 00:00	48.07	48.48	47.67	48.234	1783151	EUR	
12/11/2001 00:00	48.07	48.07	44.846	46.859	1711945	EUR	
13/11/2001 00:00	47.424	48.845	46.777	48.562	1890562	EUR	
14/11/2001 00:00	48.799	49.528	48.799	49.528	2959453	EUR	
15/11/2001 00:00	50.22	52.515	49.163	51.795	3505028	EUR	
16/11/2001 00:00	52.114	52.843	50.903	52.515	2005656	EUR	
19/11/2001 00:00	52.925	54.009	52.515	53.326	1971880	EUR	
20/11/2001 00:00	54.091	54.091	50.903	52.114	1617279	EUR	
21/11/2001 00:00	51.714	52.032	51.103	51.868	1292264	EUR	
22/11/2001 00:00	51.868	52.515	51.349	51.914	779087	EUR	
23/11/2001 00:00	51.795	52.196	51.103	51.468	878709	EUR	
26/11/2001 00:00	52.032	52.515	51.468	51.468	865154	EUR	
27/11/2001 00:00	51.431	52.114	50.457	50.575	1568148	EUR	
28/11/2001 00:00	50.857	51.185	49.856	50.293	7241413	EUR	
29/11/2001 00:00	49.692	50.857	48.927	50.056	2633195	EUR	
30/11/2001 00:00	50.092	50.502	49.127	49.127	1739753	EUR	
03/12/2001 00:00	49.045	49.528	48.234	49.327	1220648	EUR	
04/12/2001 00:00	49.573	50.174	48.845	50.174	1156898	EUR	
05/12/2001 00:00	50.502	51.504	50.375	51.222	2842913	EUR	
06/12/2001 00:00	51.304	52.515	51.267	52.278	1790537	EUR	
07/12/2001 00:00	51.504	52.114	51.067	52.032	1912531	EUR	
10/12/2001 00:00	51.386	51.632	50.22	50.256	1149725	EUR	
11/12/2001 00:00	49.692	50.138	48.881	50.056	1454535	EUR	
12/12/2001 00:00	49.892	50.092	48.881	49.127	1221463	EUR	
13/12/2001 00:00	49.045	50.092	48.799	48.881	1317475	EUR	
14/12/2001 00:00	49.245	49.491	48.07	48.07	825800	EUR	
17/12/2001 00:00	48.799	50.539	47.715	50.22	1001570	EUR	
18/12/2001 00:00	49.974	51.067	49.209	49.892	1153782	EUR	
19/12/2001 00:00	49.491	50.138	49.163	49.528	1100918	EUR	
20/12/2001 00:00	49.364	49.774	48.116	48.599	1780723	EUR	
21/12/2001 00:00	48.234	49.774	47.715	49.081	1381355	EUR	
24/12/2001 00:00	49.291	49.61	49.081	49.327	181910	EUR	
27/12/2001 00:00	49.409	50.174	48.799	50.056	1356996	EUR	
28/12/2001 00:00	50.338	50.857	50.056	50.785	1448693	EUR	
02/01/2002 00:00	51.349	51.714	50.092	50.657	717355	EUR	
03/01/2002 00:00	51.267	52.114	50.939	51.714	1687769	EUR	
04/01/2002 00:00	51.304	53.571	51.304	53.371	1575561	EUR	
07/01/2002 00:00	53.162	53.726	51.914	51.914	1176670	EUR	
08/01/2002 00:00	51.795	53.69	51.504	52.36	2081390	EUR	
09/01/2002 00:00	52.479	53.162	51.75	52.643	1634923	EUR	
10/01/2002 00:00	52.479	53.289	51.868	52.278	1821972	EUR	
11/01/2002 00:00	52.433	53.244	52.315	52.843	1465226	EUR	
14/01/2002 00:00	52.843	52.925	51.75	52.078	1700180	EUR	
15/01/2002 00:00	51.267	52.797	51.067	52.761	2591116	EUR	
16/01/2002 00:00	52.36	52.36	51.586	51.996	2470266	EUR	
17/01/2002 00:00	52.397	52.879	51.504	52.761	2389798	EUR	
18/01/2002 00:00	51.95	53.69	51.95	53.043	2861076	EUR	
21/01/2002 00:00	53.244	53.49	52.724	53.08	1132036	EUR	
22/01/2002 00:00	53.08	54.054	52.643	53.571	1835012	EUR	
23/01/2002 00:00	53.08	55.065	53.08	54.419	2801950	EUR	
