date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	35	36.8	34.86	36.35	7278120	EUR	
09/11/2001 00:00	35.36	36	35.35	35.62	4650736	EUR	
12/11/2001 00:00	35.7	36.2	34.15	34.54	4010481	EUR	
13/11/2001 00:00	35.86	37.39	35.68	37.27	5397307	EUR	
14/11/2001 00:00	37.52	39.5	37.52	38.7	8465646	EUR	
15/11/2001 00:00	38.95	40	37.91	39.55	9895848	EUR	
16/11/2001 00:00	39.7	40.24	38.77	39.95	4853790	EUR	
19/11/2001 00:00	40.19	40.98	39.76	40	4638311	EUR	
20/11/2001 00:00	39.9	39.93	37.78	37.8	6923618	EUR	
21/11/2001 00:00	36.81	38.48	36.76	37.38	6755250	EUR	
22/11/2001 00:00	37.85	38.98	37.71	38.81	2901130	EUR	
23/11/2001 00:00	38.9	39.7	38.6	39.02	3831454	EUR	
26/11/2001 00:00	39.8	40.35	39.6	40	5290488	EUR	
27/11/2001 00:00	40.8	40.8	38.46	38.55	7684490	EUR	
28/11/2001 00:00	38.41	38.89	37.38	37.73	5466752	EUR	
29/11/2001 00:00	37	38.22	36.6	37.1	6956850	EUR	
30/11/2001 00:00	37.6	38.44	37.6	37.9	5041253	EUR	
03/12/2001 00:00	37.7	37.95	36.64	37.24	4948513	EUR	
04/12/2001 00:00	37.4	38.27	37.4	38.05	5028570	EUR	
05/12/2001 00:00	39.55	42.05	39.5	42.05	11013754	EUR	
06/12/2001 00:00	42.5	42.8	40.95	41.8	6454324	EUR	
07/12/2001 00:00	42.15	42.7	39.55	39.55	14164714	EUR	
10/12/2001 00:00	37.75	38.44	36.05	36.19	23097676	EUR	
11/12/2001 00:00	35.75	36.52	35.25	36.07	78200519	EUR	
12/12/2001 00:00	36.5	36.9	35.6	35.72	10481778	EUR	
13/12/2001 00:00	35.98	36.43	33.85	34.4	8983170	EUR	
14/12/2001 00:00	33.85	35.35	33.4	34.72	6083463	EUR	
17/12/2001 00:00	35.09	36.44	34.88	36.43	4528891	EUR	
18/12/2001 00:00	36.56	37.11	36.01	36.35	4599639	EUR	
19/12/2001 00:00	35.99	36.65	34.84	35.95	4671558	EUR	
20/12/2001 00:00	35.2	36.17	34.18	34.18	4148453	EUR	
21/12/2001 00:00	33.65	35.54	33.5	35.07	3919992	EUR	
24/12/2001 00:00	35.65	35.75	34.95	35.27	491528	EUR	
27/12/2001 00:00	35.79	36.16	35.51	36.14	1405477	EUR	
28/12/2001 00:00	36.2	36.39	35.87	36.05	2440016	EUR	
02/01/2002 00:00	36.15	36.8	36.02	36.74	3109480	EUR	
03/01/2002 00:00	37.75	38.87	37.41	38.8	8196533	EUR	
04/01/2002 00:00	39.7	39.7	38.02	38.8	7411551	EUR	
07/01/2002 00:00	39.26	39.57	38.09	38.42	5294102	EUR	
08/01/2002 00:00	37.9	38.15	37.11	37.4	7417191	EUR	
09/01/2002 00:00	38.02	38.7	37.03	38.64	7032775	EUR	
