date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	19	20.1	19	20.1	143127	EUR	
09/11/2001 00:00	19.6	20.8	19.25	20.75	83237	EUR	
12/11/2001 00:00	20.75	20.75	19.3	19.3	80865	EUR	
13/11/2001 00:00	20.2	20.63	20.1	20.49	44238	EUR	
14/11/2001 00:00	20.45	20.66	20.1	20.39	81892	EUR	
15/11/2001 00:00	20.4	20.68	19.71	20.39	50955	EUR	
16/11/2001 00:00	20.4	21.6	20.4	21.13	111045	EUR	
19/11/2001 00:00	21.5	22.95	20.67	22.53	171473	EUR	
20/11/2001 00:00	22.74	22.74	22.1	22.74	80882	EUR	
21/11/2001 00:00	22.1	22.16	21.51	21.68	65346	EUR	
22/11/2001 00:00	21.69	22.18	21.69	21.95	31223	EUR	
23/11/2001 00:00	21.71	22.17	21	21	36741	EUR	
26/11/2001 00:00	21.5	21.7	21	21.12	36006	EUR	
27/11/2001 00:00	21.3	23.1	21.3	21.5	148359	EUR	
28/11/2001 00:00	22.26	22.4	21.8	22.14	167828	EUR	
29/11/2001 00:00	21.6	22.2	21.55	22.2	57363	EUR	
30/11/2001 00:00	22.4	23	21.8	22	68777	EUR	
03/12/2001 00:00	22.81	22.81	21.8	21.93	88453	EUR	
04/12/2001 00:00	21.93	22.37	21.9	22.04	101069	EUR	
05/12/2001 00:00	22.4	23.45	22.4	23.45	72337	EUR	
06/12/2001 00:00	23.81	24.16	23.14	23.55	70073	EUR	
07/12/2001 00:00	23.5	24.42	23.4	24.4	39294	EUR	
10/12/2001 00:00	24.4	24.48	23.5	24.47	33336	EUR	
11/12/2001 00:00	24.4	24.4	23.7	23.9	31490	EUR	
12/12/2001 00:00	23.9	24.2	23.75	23.75	58431	EUR	
13/12/2001 00:00	23.3	23.6	22.11	22.25	75275	EUR	
14/12/2001 00:00	22.1	22.4	22.1	22.4	38042	EUR	
17/12/2001 00:00	22.9	23.3	22.5	23	18550	EUR	
18/12/2001 00:00	23	23.09	22.55	22.99	40269	EUR	
19/12/2001 00:00	22.51	22.99	22.51	22.75	34990	EUR	
20/12/2001 00:00	22.89	23.65	22.8	23.2	69024	EUR	
21/12/2001 00:00	22.74	23.41	22.32	23.45	30044	EUR	
24/12/2001 00:00	23.5	23.7	23.45	23.7	11900	EUR	
27/12/2001 00:00	23.5	24.15	23.5	24	27115	EUR	
28/12/2001 00:00	24.15	24.15	23	23.5	29226	EUR	
02/01/2002 00:00	23.88	23.9	23.03	23.9	14833	EUR	
03/01/2002 00:00	23.9	24.8	23.72	24.75	34179	EUR	
04/01/2002 00:00	24.6	25.09	24.6	24.75	91621	EUR	
07/01/2002 00:00	24.8	24.9	24.51	24.55	22706	EUR	
08/01/2002 00:00	24.55	24.85	24.55	24.56	20673	EUR	
09/01/2002 00:00	24.74	26.03	24.56	25.75	120763	EUR	
10/01/2002 00:00	25.51	25.52	24.82	25	28051	EUR	
11/01/2002 00:00	25	26.14	24.82	26.14	94712	EUR	
14/01/2002 00:00	26.3	26.49	25.01	26.03	134073	EUR	
15/01/2002 00:00	26.15	26.4	25.22	26.16	64883	EUR	
16/01/2002 00:00	26.1	26.15	24.84	24.84	135852	EUR	
17/01/2002 00:00	24.8	25.4	24.8	25.3	29886	EUR	
18/01/2002 00:00	25.97	25.97	25.6	25.7	23608	EUR	
21/01/2002 00:00	25.89	25.9	25.01	25.35	65153	EUR	
22/01/2002 00:00	25	25.25	24.51	24.55	52267	EUR	
23/01/2002 00:00	24.1	25.6	24.1	25.6	29161	EUR	
