date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	32.796	33.702	32.752	33.443	11046585	EUR	
09/11/2001 00:00	33.331	33.917	33.227	33.469	8662028	EUR	
12/11/2001 00:00	33.615	33.831	32.381	32.433	9995853	EUR	
13/11/2001 00:00	32.899	34.09	32.839	33.917	10644672	EUR	
14/11/2001 00:00	33.987	34.478	31.803	32.036	24636478	EUR	
15/11/2001 00:00	31.605	31.691	29.758	29.775	36878522	EUR	
16/11/2001 00:00	30.31	31.069	29.412	30.638	21349367	EUR	
19/11/2001 00:00	30.923	31.415	30.552	30.897	10344286	EUR	
20/11/2001 00:00	30.94	31.915	30.25	31.544	15564675	EUR	
21/11/2001 00:00	31.932	32.235	31.544	31.889	12851383	EUR	
22/11/2001 00:00	31.915	32.692	31.605	32.347	9088681	EUR	
23/11/2001 00:00	32.692	32.925	31.242	32.26	14450330	EUR	
26/11/2001 00:00	32.278	32.278	30.897	31.259	15669011	EUR	
27/11/2001 00:00	31.328	31.57	30.353	30.966	15284119	EUR	
28/11/2001 00:00	30.854	31.026	30.336	30.767	9965778	EUR	
29/11/2001 00:00	30.336	31.216	30.31	30.94	12249992	EUR	
30/11/2001 00:00	30.854	31.216	30.534	30.741	10167159	EUR	
03/12/2001 00:00	30.681	31.501	30.448	31.458	10539985	EUR	
04/12/2001 00:00	31.674	32.235	31.484	32.122	11931990	EUR	
05/12/2001 00:00	32.019	33.098	31.889	33.037	16152305	EUR	
06/12/2001 00:00	33.123	33.331	32.468	33.011	12689694	EUR	
07/12/2001 00:00	32.649	32.839	32.321	32.537	11178820	EUR	
10/12/2001 00:00	32.623	32.709	31.846	32.079	8412398	EUR	
11/12/2001 00:00	31.786	32.381	31.743	32.26	9024742	EUR	
12/12/2001 00:00	32.122	32.26	31.717	32.079	8246028	EUR	
13/12/2001 00:00	31.976	32.062	31.052	31.328	20855956	EUR	
14/12/2001 00:00	31.069	31.199	30.88	31	11547916	EUR	
17/12/2001 00:00	31.173	32.45	30.854	32.26	16648311	EUR	
18/12/2001 00:00	32.148	32.813	32.019	32.493	14361781	EUR	
19/12/2001 00:00	32.554	32.726	32.079	32.537	10804369	EUR	
20/12/2001 00:00	32.364	33.141	32.364	32.796	10646075	EUR	
21/12/2001 00:00	32.468	33.805	32.321	33.227	11701354	EUR	
24/12/2001 00:00	33.227	33.641	32.813	33.469	2468930	EUR	
27/12/2001 00:00	33.9	34.28	33.572	34.021	6881319	EUR	
28/12/2001 00:00	34.237	34.608	34.073	34.608	8171827	EUR	
02/01/2002 00:00	34.107	34.418	33.641	34.004	10538153	EUR	
03/01/2002 00:00	34.176	34.478	33.788	34.392	11409761	EUR	
04/01/2002 00:00	34.392	34.711	33.987	34.453	14289619	EUR	
07/01/2002 00:00	34.28	34.763	33.987	34.021	10352803	EUR	
08/01/2002 00:00	33.987	34.392	33.615	33.831	14652533	EUR	
09/01/2002 00:00	33.659	34.073	33.244	33.9	11078646	EUR	
10/01/2002 00:00	33.641	33.831	33.296	33.443	12443243	EUR	
11/01/2002 00:00	33.486	33.874	33.123	33.805	11318096	EUR	
14/01/2002 00:00	33.331	33.4	32.865	33.123	10118887	EUR	
15/01/2002 00:00	32.985	33.59	32.709	33.443	14876543	EUR	
16/01/2002 00:00	33.123	33.331	32.813	33.011	11106761	EUR	
17/01/2002 00:00	33.098	33.805	33.037	33.659	12080766	EUR	
18/01/2002 00:00	33.443	33.702	33.184	33.331	12262924	EUR	
21/01/2002 00:00	33.141	33.21	32.813	33.011	8737212	EUR	
22/01/2002 00:00	33.054	33.529	32.865	33.227	9063336	EUR	
23/01/2002 00:00	32.899	34.073	32.899	34.073	9426126	EUR	
24/01/2002 00:00	34.194	34.306	33.659	34.09	11331606	EUR	
25/01/2002 00:00	34.09	34.504	33.987	34.418	10717562	EUR	
28/01/2002 00:00	34.522	35.341	34.435	35.083	13865343	EUR	
29/01/2002 00:00	34.996	35.126	34.22	34.22	17173179	EUR	
30/01/2002 00:00	33.943	34.591	33.943	34.332	16408488	EUR	
31/01/2002 00:00	34.522	35.255	34.522	35.143	15627944	EUR	
01/02/2002 00:00	35.385	35.747	35.212	35.6	15183534	EUR	
04/02/2002 00:00	35.6	35.816	35.341	35.341	10388238	EUR	
05/02/2002 00:00	34.996	35.255	34.349	34.711	11150678	EUR	
06/02/2002 00:00	34.737	35.385	34.591	34.97	14255860	EUR	
07/02/2002 00:00	35.083	35.385	34.591	34.936	12484958	EUR	
08/02/2002 00:00	34.867	35.255	34.763	35.169	8848216	EUR	
11/02/2002 00:00	35.385	35.454	34.953	34.996	7319947	EUR	
12/02/2002 00:00	35.385	35.557	35.022	35.298	11146048	EUR	
13/02/2002 00:00	35.238	35.6	34.97	35.471	11044847	EUR	
14/02/2002 00:00	35.6	35.816	35.428	35.661	12905087	EUR	
15/02/2002 00:00	35.471	35.885	35.428	35.514	8940021	EUR	
