date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	40.649	40.929	40.206	40.341	1049104	EUR	
09/11/2001 00:00	40.302	40.495	39.3	39.319	821425	EUR	
12/11/2001 00:00	39.338	39.608	38.721	39.145	1220740	EUR	
13/11/2001 00:00	39.194	40.688	39.039	40.505	646269	EUR	
14/11/2001 00:00	40.688	41.122	40.138	41.122	483767	EUR	
15/11/2001 00:00	41.045	41.401	40.495	40.62	355867	EUR	
16/11/2001 00:00	40.784	41.459	40.736	40.784	229948	EUR	
19/11/2001 00:00	41.411	41.411	40.611	40.611	260720	EUR	
20/11/2001 00:00	40.302	41.189	40.09	41.189	311113	EUR	
21/11/2001 00:00	41.266	41.941	40.842	41.373	447327	EUR	
22/11/2001 00:00	41.652	41.835	40.9	41.643	177804	EUR	
23/11/2001 00:00	40.302	41.749	40.302	41.488	220210	EUR	
26/11/2001 00:00	41.575	42.423	41.575	42.038	387018	EUR	
27/11/2001 00:00	42.231	42.906	41.835	41.835	479404	EUR	
28/11/2001 00:00	41.7	42.019	40.977	41.469	656862	EUR	
29/11/2001 00:00	41.035	42.423	40.997	41.315	971489	EUR	
30/11/2001 00:00	40.968	40.968	38.808	39.531	2245490	EUR	
03/12/2001 00:00	39.724	39.82	38.75	38.798	914486	EUR	
04/12/2001 00:00	38.567	39.001	36.532	37.082	7119902	EUR	
05/12/2001 00:00	37.4	37.67	36.648	36.908	3503244	EUR	
06/12/2001 00:00	37.121	37.362	35.385	35.819	3884839	EUR	
07/12/2001 00:00	36.099	36.764	35.626	36.156	1672471	EUR	
10/12/2001 00:00	36.831	36.831	36.156	36.542	909003	EUR	
11/12/2001 00:00	36.494	36.831	36.205	36.397	1570636	EUR	
12/12/2001 00:00	36.494	36.725	36.156	36.156	1008094	EUR	
13/12/2001 00:00	36.638	36.638	35.645	35.857	1037080	EUR	
14/12/2001 00:00	35.588	36.802	35.588	36.6	666958	EUR	
17/12/2001 00:00	36.561	36.561	35.742	36.06	612686	EUR	
18/12/2001 00:00	36.301	36.301	35.481	35.915	685421	EUR	
19/12/2001 00:00	35.723	35.915	35.289	35.385	1095997	EUR	
20/12/2001 00:00	35.674	35.771	35.337	35.53	577529	EUR	
21/12/2001 00:00	35.202	35.713	34.807	35.472	687642	EUR	
24/12/2001 00:00	35.192	35.723	35.192	35.578	204524	EUR	
27/12/2001 00:00	35.096	36.349	35.096	36.156	881527	EUR	
28/12/2001 00:00	36.012	36.118	35.346	36.118	792438	EUR	
02/01/2002 00:00	36.32	36.32	35.443	35.549	284091	EUR	
03/01/2002 00:00	35.337	35.674	34.932	35.655	929817	EUR	
04/01/2002 00:00	35.481	35.655	34.247	34.421	1284595	EUR	
07/01/2002 00:00	34.691	34.807	34.006	34.652	1305662	EUR	
08/01/2002 00:00	34.334	35.915	34.334	35.732	2176335	EUR	
09/01/2002 00:00	36.07	36.61	35.51	36.523	1348041	EUR	
10/01/2002 00:00	36.06	36.542	35.298	35.771	1624590	EUR	
11/01/2002 00:00	35.674	36.156	35.539	35.867	560065	EUR	
14/01/2002 00:00	36.32	36.32	35.433	35.915	587169	EUR	
15/01/2002 00:00	35.732	36.735	35.655	36.638	1553032	EUR	
16/01/2002 00:00	37.072	37.217	36.012	36.349	1548946	EUR	
17/01/2002 00:00	36.542	36.928	36.156	36.928	846018	EUR	
18/01/2002 00:00	37.121	37.554	36.745	37.554	781423	EUR	
21/01/2002 00:00	37.41	37.564	36.947	37.121	771401	EUR	
22/01/2002 00:00	37.207	37.603	37.101	37.217	687197	EUR	
23/01/2002 00:00	37.313	37.362	36.262	36.841	941274	EUR	
24/01/2002 00:00	37.053	37.053	36.349	36.831	722665	EUR	
25/01/2002 00:00	36.831	37.362	36.446	37.121	550273	EUR	
28/01/2002 00:00	37.207	37.506	37.024	37.497	518251	EUR	
29/01/2002 00:00	37.41	37.795	37.024	37.458	424507	EUR	
30/01/2002 00:00	37.217	37.217	36.446	36.629	912437	EUR	
31/01/2002 00:00	36.638	37.101	36.349	37.014	508687	EUR	
01/02/2002 00:00	37.121	37.121	36.176	36.735	780043	EUR	
04/02/2002 00:00	37.063	37.198	36.272	37.121	668287	EUR	
05/02/2002 00:00	36.696	37.506	36.677	37.265	798254	EUR	
06/02/2002 00:00	37.121	37.458	36.667	37.121	521508	EUR	
07/02/2002 00:00	37.41	37.41	36.706	37.121	413568	EUR	
08/02/2002 00:00	36.783	37.121	36.253	36.629	1278605	EUR	
11/02/2002 00:00	36.822	36.822	36.475	36.638	495985	EUR	
12/02/2002 00:00	36.966	37.014	35.694	35.915	894321	EUR	
13/02/2002 00:00	35.78	36.108	35.578	35.674	586318	EUR	
14/02/2002 00:00	36.002	36.147	35.578	35.906	546181	EUR	
15/02/2002 00:00	35.578	36.581	35.578	36.455	456966	EUR	
18/02/2002 00:00	36.108	36.571	36.012	36.012	509650	EUR	
19/02/2002 00:00	36.349	36.388	35.819	35.973	832866	EUR	
20/02/2002 00:00	35.867	36.06	35.414	35.674	550649	EUR	
21/02/2002 00:00	36.079	36.205	35.433	35.481	677974	EUR	
22/02/2002 00:00	35.481	35.925	35.481	35.578	378460	EUR	
25/02/2002 00:00	35.674	36.224	35.481	36.166	452180	EUR	
26/02/2002 00:00	36.234	36.446	34.951	34.999	845202	EUR	
27/02/2002 00:00	35.144	35.607	35.048	35.366	350451	EUR	
28/02/2002 00:00	35.067	35.588	34.961	35.192	514406	EUR	
01/03/2002 00:00	35.115	35.645	35.115	35.645	411618	EUR	
