date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	15.94	16.134	15.91	16.075	730247	EUR	
09/11/2001 00:00	16.095	16.163	15.794	15.794	985953	EUR	
12/11/2001 00:00	16.017	16.153	15.823	15.92	708103	EUR	
13/11/2001 00:00	16.027	16.124	15.959	15.959	600247	EUR	
14/11/2001 00:00	16.163	16.163	15.901	15.94	659266	EUR	
15/11/2001 00:00	16.017	16.221	15.639	15.639	1574218	EUR	
16/11/2001 00:00	15.94	15.94	15.415	15.542	1396646	EUR	
19/11/2001 00:00	15.775	16.114	15.687	15.998	1004912	EUR	
20/11/2001 00:00	15.842	16.017	15.726	15.94	1039908	EUR	
21/11/2001 00:00	15.775	16.26	15.775	16.192	1141105	EUR	
22/11/2001 00:00	16.027	16.221	15.998	15.998	579546	EUR	
23/11/2001 00:00	15.794	16.008	15.794	15.842	990403	EUR	
26/11/2001 00:00	15.775	15.94	15.765	15.765	992006	EUR	
27/11/2001 00:00	15.648	15.901	15.532	15.532	1845594	EUR	
28/11/2001 00:00	15.454	15.842	15.454	15.677	1473181	EUR	
29/11/2001 00:00	15.532	15.775	15.289	15.444	1659892	EUR	
30/11/2001 00:00	15.163	15.444	15.008	15.221	3099335	EUR	
03/12/2001 00:00	15.046	15.483	15.046	15.435	1580246	EUR	
04/12/2001 00:00	15.299	16.037	15.299	16.017	2066642	EUR	
05/12/2001 00:00	15.775	15.969	15.59	15.59	995855	EUR	
06/12/2001 00:00	15.59	15.842	15.396	15.396	1017158	EUR	
07/12/2001 00:00	15.338	15.639	15.338	15.396	964633	EUR	
10/12/2001 00:00	15.289	15.58	15.144	15.144	1524697	EUR	
11/12/2001 00:00	15.046	15.61	15.027	15.386	1939737	EUR	
12/12/2001 00:00	15.289	15.726	15.241	15.415	2051013	EUR	
13/12/2001 00:00	15.289	15.58	15.095	15.095	1618608	EUR	
14/12/2001 00:00	14.988	15.522	14.988	15.182	2608080	EUR	
17/12/2001 00:00	15.085	15.425	15.085	15.357	896767	EUR	
18/12/2001 00:00	15.444	15.639	15.066	15.066	1507024	EUR	
19/12/2001 00:00	15.163	15.493	15.163	15.454	646031	EUR	
20/12/2001 00:00	15.493	15.755	15.415	15.483	849253	EUR	
21/12/2001 00:00	15.532	15.775	15.532	15.775	676560	EUR	
24/12/2001 00:00	15.648	15.736	15.532	15.542	83050	EUR	
27/12/2001 00:00	15.775	15.823	15.493	15.775	451482	EUR	
28/12/2001 00:00	15.775	15.978	15.677	15.978	550743	EUR	
02/01/2002 00:00	16.037	16.037	15.765	15.794	245623	EUR	
03/01/2002 00:00	15.648	15.94	15.532	15.794	797841	EUR	
04/01/2002 00:00	15.726	15.794	15.542	15.59	718367	EUR	
07/01/2002 00:00	15.736	15.978	15.59	15.94	939860	EUR	
08/01/2002 00:00	15.969	16.095	15.784	15.881	663247	EUR	
09/01/2002 00:00	16.017	16.017	15.532	15.532	1032664	EUR	
10/01/2002 00:00	15.726	15.726	15.26	15.318	1439014	EUR	
11/01/2002 00:00	15.328	15.444	14.872	15.338	2057589	EUR	
14/01/2002 00:00	15.415	15.872	15.415	15.512	938126	EUR	
15/01/2002 00:00	15.775	16.406	15.648	16.406	2089717	EUR	
16/01/2002 00:00	16.26	16.347	16.056	16.095	1006873	EUR	
17/01/2002 00:00	16.25	16.386	16.153	16.279	1203136	EUR	
18/01/2002 00:00	16.299	16.318	15.784	15.998	1081900	EUR	
21/01/2002 00:00	15.998	16.386	15.901	16.328	744607	EUR	
22/01/2002 00:00	16.328	16.367	16.008	16.008	633035	EUR	
23/01/2002 00:00	15.998	16.347	15.91	16.347	395088	EUR	
24/01/2002 00:00	16.347	16.561	16.134	16.308	985331	EUR	
25/01/2002 00:00	16.357	16.677	16.347	16.677	815798	EUR	
28/01/2002 00:00	16.619	16.813	16.609	16.745	1156223	EUR	
29/01/2002 00:00	16.745	16.988	16.706	16.784	1569088	EUR	
30/01/2002 00:00	16.91	16.91	16.425	16.503	1392154	EUR	
31/01/2002 00:00	16.503	16.969	16.444	16.813	1000037	EUR	
01/02/2002 00:00	16.658	17.134	16.619	17.134	1046567	EUR	
04/02/2002 00:00	17.172	17.25	17.066	17.24	1243109	EUR	
05/02/2002 00:00	17.163	17.279	17.066	17.25	1555362	EUR	
06/02/2002 00:00	17.231	17.328	17.085	17.231	1183423	EUR	
07/02/2002 00:00	17.104	17.182	16.833	16.871	1321235	EUR	
08/02/2002 00:00	17.027	17.396	16.891	17.24	1813618	EUR	
11/02/2002 00:00	17.376	17.473	17.211	17.231	784350	EUR	
12/02/2002 00:00	17.473	17.473	17.211	17.231	1225280	EUR	
13/02/2002 00:00	17.318	17.415	16.998	17.24	896318	EUR	
14/02/2002 00:00	17.231	17.434	17.182	17.231	1448021	EUR	
15/02/2002 00:00	17.25	17.58	17.25	17.58	1412827	EUR	
18/02/2002 00:00	17.473	17.58	17.396	17.522	653588	EUR	
19/02/2002 00:00	17.367	17.415	17.066	17.066	994388	EUR	
20/02/2002 00:00	17.231	17.231	16.871	17.104	1294839	EUR	
21/02/2002 00:00	17.337	17.57	17.182	17.483	892016	EUR	
22/02/2002 00:00	17.512	17.512	17.279	17.415	674273	EUR	
25/02/2002 00:00	17.328	17.415	16.988	17.036	1131751	EUR	
26/02/2002 00:00	17.182	17.328	17.036	17.036	1050003	EUR	
27/02/2002 00:00	17.231	17.231	17.046	17.046	1244383	EUR	
28/02/2002 00:00	16.988	17.182	16.988	17.104	647654	EUR	
01/03/2002 00:00	17.104	17.104	16.881	16.881	689668	EUR	
04/03/2002 00:00	17.425	17.551	16.891	16.988	2496660	EUR	
05/03/2002 00:00	17.124	17.367	17.036	17.182	1155564	EUR	
06/03/2002 00:00	17.299	17.396	17.163	17.396	612156	EUR	
07/03/2002 00:00	17.415	17.57	17.24	17.57	763751	EUR	
08/03/2002 00:00	17.648	18.017	17.619	18.017	2361353	EUR	
11/03/2002 00:00	18.075	18.153	17.609	17.697	1610466	EUR	
12/03/2002 00:00	17.619	17.842	17.522	17.658	1036636	EUR	
13/03/2002 00:00	17.716	17.784	17.066	17.066	2756248	EUR	
14/03/2002 00:00	17.328	17.357	17.134	17.357	1824905	EUR	
15/03/2002 00:00	17.415	17.58	17.104	17.58	965420	EUR	
18/03/2002 00:00	17.619	17.774	17.59	17.677	1434625	EUR	
19/03/2002 00:00	17.813	17.813	17.231	17.318	1293920	EUR	
20/03/2002 00:00	17.473	17.667	17.328	17.328	1004327	EUR	
21/03/2002 00:00	17.328	17.483	17.279	17.357	755568	EUR	
22/03/2002 00:00	17.299	17.59	17.279	17.473	1683132	EUR	
25/03/2002 00:00	17.473	17.551	17.454	17.512	1640905	EUR	
26/03/2002 00:00	17.473	17.755	17.473	17.58	1102924	EUR	
27/03/2002 00:00	17.629	18.065	17.609	17.92	4157789	EUR	
28/03/2002 00:00	18.075	18.182	17.842	18.017	1965062	EUR	
02/04/2002 00:00	18.075	18.075	17.522	17.949	9700130	EUR	
03/04/2002 00:00	17.939	17.968	17.677	17.959	3432384	EUR	
04/04/2002 00:00	17.842	17.949	17.735	17.803	2034213	EUR	
05/04/2002 00:00	17.813	17.823	17.357	17.357	1511276	EUR	
08/04/2002 00:00	17.454	17.522	17.211	17.231	1959585	EUR	
09/04/2002 00:00	17.211	17.483	17.143	17.143	1711634	EUR	
10/04/2002 00:00	17.163	17.619	17.163	17.396	1143631	EUR	
11/04/2002 00:00	17.677	17.697	17.299	17.473	1287612	EUR	
12/04/2002 00:00	17.473	18.075	17.415	18.075	1730313	EUR	
15/04/2002 00:00	18.153	18.153	17.667	17.697	1816561	EUR	
16/04/2002 00:00	17.667	17.784	17.551	17.667	1913497	EUR	
17/04/2002 00:00	17.716	17.784	17.454	17.454	2208196	EUR	
