date	ouv	haut	bas	clot	vol	devise	
08/11/2001 00:00	27.125	27.875	26.95	27.625	11765828	EUR	
09/11/2001 00:00	27.15	27.425	26.775	27	6705290	EUR	
12/11/2001 00:00	27.1	27.1	25	26.275	8047214	EUR	
13/11/2001 00:00	26.6	27.925	26.55	27.6	8950214	EUR	
14/11/2001 00:00	27.975	29.225	27.85	28.775	8851234	EUR	
15/11/2001 00:00	29.075	30.475	29	30.05	15043898	EUR	
16/11/2001 00:00	30.05	30.225	29.65	29.95	8480324	EUR	
19/11/2001 00:00	30.125	30.375	29.575	30.25	7731500	EUR	
20/11/2001 00:00	30.525	30.525	29.05	29.375	6928466	EUR	
21/11/2001 00:00	28.875	29.35	28.6	28.825	7106482	EUR	
22/11/2001 00:00	29.1	29.725	28.825	29.5	3496120	EUR	
23/11/2001 00:00	29.7	29.9	28.9	29.3	4463830	EUR	
26/11/2001 00:00	29.725	29.925	29.325	29.425	5072744	EUR	
27/11/2001 00:00	29.325	29.65	28.525	28.525	6289380	EUR	
28/11/2001 00:00	28.475	28.85	27.9	28.375	23891140	EUR	
29/11/2001 00:00	28.025	28.6	27.975	28.325	7175412	EUR	
30/11/2001 00:00	28.325	29.225	28.125	28.575	6020870	EUR	
03/12/2001 00:00	28.25	28.975	28.125	28.95	5375968	EUR	
04/12/2001 00:00	29.025	29.575	29.025	29.4	7005922	EUR	
05/12/2001 00:00	29.95	30.7	29.875	30.675	8795240	EUR	
06/12/2001 00:00	30.5	30.95	29.725	30	9918554	EUR	
07/12/2001 00:00	30.025	30.25	29.775	30	3982416	EUR	
10/12/2001 00:00	30.1	30.35	29.375	29.55	4710512	EUR	
11/12/2001 00:00	29.45	29.575	27.725	28.25	16428102	EUR	
12/12/2001 00:00	28.5	28.95	28.1	28.75	7564512	EUR	
13/12/2001 00:00	28.5	28.875	27.05	27.275	9573256	EUR	
14/12/2001 00:00	27.025	27.6	26.8	26.85	6589756	EUR	
17/12/2001 00:00	27.175	28.825	27.175	28.675	11485596	EUR	
18/12/2001 00:00	28.75	30.025	28.45	29.75	12477076	EUR	
19/12/2001 00:00	29.35	29.9	28.7	29.5	7140776	EUR	
20/12/2001 00:00	29.45	29.6	28.8	29.125	4938014	EUR	
21/12/2001 00:00	28.85	30.225	28.45	30.15	7992746	EUR	
24/12/2001 00:00	29.85	30.125	29.65	30.075	1195872	EUR	
27/12/2001 00:00	30.075	30.675	29.9	30.65	4610028	EUR	
